cell_class,gene,rank_score,adj_p_value,diff_mean_log_expr,cohen_d,pct_expr_case,pct_expr_control,traditional_rank,combined_ml_biomarker_score,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,ml_rank,random_forest_importance,rf_rank,traditional_score_scaled,ml_score_scaled,rf_score_scaled,consensus_score,mean_rank
epithelial cells,ORC5,0.1840407696164383,7.787295072062117e-05,0.01648150736454797,2.7178271759822024,0.040273972602739724,0.03533525550579719,143,0.7022543743810956,0.9666666666666666,1.0,1,0.03011044417767106,6,0.050392403358067724,1.0,1.0,0.6834641344526893,50.0
epithelial cells,TBL1XR1,1.1080554909366835,0.0015303911633564283,0.15700963838591983,2.506838297491226,0.2946450809464508,0.24139623335991656,4,0.4686416594905084,0.9333333333333332,0.9666666666666666,3,0.011364497079981118,20,0.38979536003926374,0.6293052274405108,0.3774270818764163,0.4655092231187303,9.0
epithelial cells,WFDC2,2.769319953259144,0.016636248877992647,0.9053743484441845,1.7194221924529385,0.7021917808219178,0.46690387092816393,1,0.2644265873931532,0.8416666666666666,0.8388888888888889,67,8.914826548924617e-19,285,1.0,0.30525839745609123,2.96070908031824e-17,0.4350861324853637,117.66666666666667
epithelial cells,MAP3K1,0.9077049392834993,0.00227651327355484,0.13898498255099673,2.471291968131452,0.19753424657534246,0.12747684191153916,8,0.4255473694618538,0.9,0.9666666666666666,6,0.010719969616009215,24,0.3162039247138171,0.5609235554571744,0.35602163663725694,0.4110497056027495,12.666666666666666
epithelial cells,HOXA3,0.4109774031876187,0.004973538556902753,0.07768393237415983,2.296834629793351,0.09058530510585305,0.046438868781056374,41,0.49207494807393537,0.9666666666666666,0.9666666666666666,2,0.01100159123055162,21,0.1337492618973822,0.666488980841188,0.36537459114303095,0.38853761129386705,21.333333333333332
epithelial cells,DYRK2,0.20558990257592766,0.004537313958748798,0.03996369506309682,2.195465257589946,0.06926525529265255,0.04202196184283173,120,0.44217600075505387,0.9333333333333332,0.9666666666666666,4,0.009748921765344398,26,0.05830768790019794,0.5873097335301248,0.32377210073087814,0.3231298407204003,50.0
epithelial cells,PROM1,0.8731848216166223,0.014834152902372544,0.24452117140409718,1.9527129177186524,0.20707347447073474,0.07735721734862892,10,0.3628476565052019,0.9,0.9166666666666666,17,0.0051063084112149505,51,0.30352422413028035,0.4614321564342362,0.16958595433147497,0.31151411163199716,26.0
epithelial cells,TNFAIP8,0.4295616308240974,0.0020677087919813287,0.0687543314201483,2.3273424551586657,0.1046824408468244,0.05613152567327158,36,0.32072490478727395,0.8166666666666667,0.9527777777777778,30,0.009351540470912151,28,0.14057549708814296,0.3945921136096395,0.31057464365958953,0.28191408478579066,31.333333333333332
epithelial cells,ITGB8,1.487207963989085,0.005704384995808943,0.3085964625135552,2.1478221864539555,0.33476961394769617,0.1964910128212993,2,0.24013119528055413,0.8166666666666667,0.8666666666666666,84,0.0012000000000000038,140,0.5290631307984838,0.2667066651257616,0.039853281237541005,0.2785410257205954,75.33333333333333
epithelial cells,SAMD12,0.5498164715757216,0.002014453565022895,0.07924768617322357,2.5735736506972935,0.13364881693648817,0.0962517636954788,24,0.3659499273048253,0.9083333333333332,0.9166666666666666,16,0.004894145476049673,53,0.18474670731303075,0.4663548147279979,0.162539796728705,0.27121377292324456,31.0
immune cells,TLR7,0.2669814162732502,0.0077285331353745546,0.054401594448969234,2.323782367104982,0.037667248400232695,0.0033944331296673455,8,0.4747563885876024,0.9416666666666667,0.975,4,0.010891027605719283,30,0.18300259452590315,1.0,1.0,0.7276675315086344,14.0
immune cells,ZFP36L1,0.9692191289805179,0.018147853764634087,0.33292000748828665,1.6720132934405847,0.4408086096567772,0.2919212491513917,1,0.335897286832025,0.8749999999999998,0.925,18,0.004004356469765721,59,1.0,0.663407618457454,0.3676748067062914,0.6770274750545818,26.0
immune cells,CD180,0.36235817164957546,0.0077285331353745546,0.06433962120786428,2.6667702889233014,0.04508435136707388,0.0033944331296673455,5,0.45402424564986243,0.9666666666666666,0.9666666666666666,6,0.0071078260869565195,44,0.29396582004762595,0.9497455962362649,0.6526313534660344,0.6321142565833083,18.333333333333332
