cell_class,gene,rank_score,adj_p_value,diff_mean_log_expr,cohen_d,pct_expr_case,pct_expr_control,traditional_rank,combined_ml_biomarker_score,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,ml_rank,random_forest_importance,rf_rank,traditional_score_scaled,ml_score_scaled,rf_score_scaled,consensus_score,mean_rank
endothelial cells,ZNF503,1.8260763766535577,0.00026145809188429054,0.21026566301437494,2.4241110582185583,0.2228483606557377,0.12051282051282051,4,0.4824327007055884,0.9666666666666666,0.9555555555555555,1,0.008680994095533037,33,0.3961218507480054,1.0,1.0,0.7987072835826684,12.666666666666666
endothelial cells,SOX18,4.512772568905885,0.002442449305373376,0.7419416481751089,2.32847468420576,0.7061987704918032,0.5241758241758242,1,0.33585846471438424,0.8499999999999999,0.9777777777777779,5,0.0038938879456706307,59,1.0,0.6572734092593722,0.44855323051933665,0.7019422132595695,21.666666666666668
endothelial cells,LPAR6,1.786539759411853,0.0038851195354386355,0.3061142921615708,2.4210553418147778,0.2989241803278688,0.18095238095238095,5,0.4416243434427159,0.9416666666666667,0.9583333333333333,2,0.006999999999999998,38,0.38723536059833574,0.9045800302908,0.8063592628869515,0.6993915512586958,15.0
endothelial cells,FOXP1,1.649866732164462,0.003481961585611714,0.3023126853387031,2.220135677743345,0.2973872950819672,0.17655677655677657,6,0.32184937583377443,0.8333333333333333,0.95,9,0.004416470734456606,54,0.3565159011429547,0.6245167161136411,0.5087517265711747,0.4965947812759235,23.0
endothelial cells,MARCKS,3.5782617262253154,0.0011406852688590613,0.5380759267037907,2.2597622595227818,0.4149590163934426,0.22417582417582418,2,0.2985665652937938,0.85,0.8333333333333334,20,0.0010000000000000002,138,0.7899536688363817,0.5700757823078775,0.1151941804124217,0.49174121051889363,53.333333333333336
endothelial cells,SFT2D2,0.7269030510399422,0.00473770737985152,0.1524428132219039,2.0514112596918217,0.19518442622950818,0.12124542124542124,10,0.34869049553874054,0.8583333333333332,0.8708333333333332,4,0.005133333333333333,49,0.14906498012272737,0.6872778513563734,0.5913301261170978,0.4758909858653995,21.0
endothelial cells,RUNX1T1,0.4800491541036608,0.012335427516867952,0.14190530141981011,1.7722143255933278,0.21875,0.1575091575091575,15,0.3067841623705479,0.8,0.875,16,0.005639574198731093,48,0.09358059939989051,0.5892905441052039,0.6496461276978679,0.44417242373432075,26.333333333333332
endothelial cells,VWF,2.1721706195802537,0.012252529047025626,0.566832768223808,2.0044829974587524,0.3319672131147541,0.13846153846153847,3,0.2923084002351806,0.8416666666666666,0.8638888888888889,22,0.0013179095436801724,112,0.47391209420315916,0.5554426541846013,0.1518155097419461,0.3937234193765688,45.666666666666664
endothelial cells,CALHM2,0.37770886974793894,0.005177167377818294,0.0826636516550318,1.9988669571618944,0.07914959016393443,0.039194139194139194,20,0.3147344386862252,0.8333333333333333,0.9333333333333332,11,0.004078191043837845,55,0.07057797569838196,0.6078802442574295,0.469783874860179,0.38274736493866346,28.666666666666668
endothelial cells,SOX4,0.7950666244504302,0.008927025032773322,0.18313510470740288,2.118496802170285,0.23770491803278687,0.1380952380952381,9,0.33248211833972596,0.8833333333333332,0.9416666666666667,6,0.0021048503611971105,81,0.164385838758039,0.6493786815514581,0.24246651224889088,0.35207701085279597,32.0
