gene,knn_permutation_importance_mean,knn_permutation_importance_std
ABLIM1,0.0,0.0
AC010997.5,0.0,0.0
ADCY1,0.0,0.0
ADIPOR2,0.0,0.0
AKAP12,0.0,0.0
ANKMY2,0.0,0.0
ANKS1A,0.0,0.0
ANXA1,0.0,0.0
APOL3,0.0,0.0
APOLD1,0.0,0.0
ARHGDIB,0.0,0.0
ARHGEF15,0.0,0.0
ARRDC2,0.0,0.0
ATL3,0.0,0.0
ATOH8,0.0,0.0
ATP6V1C1,0.0,0.0
B2M,0.0,0.0
B4GALT1,0.0,0.0
B4GALT6,0.0,0.0
BAIAP2,0.0,0.0
BMP2K,0.0,0.0
C1orf52,0.0,0.0
CA2,0.0,0.0
CA4,0.0,0.0
CALCOCO2,0.0,0.0
CALHM2,0.0,0.0
CAMK2N1,0.0,0.0
CCDC198,0.0,0.0
CD274,0.0,0.0
CD36,0.0,0.0
CD69,0.0,0.0
CD9,0.0,0.0
CDC42EP3,0.0,0.0
CDC42EP4,0.0,0.0
CDKN1C,0.0,0.0
CEBPB,0.0,0.0
CEBPD,0.0,0.0
CFI,0.0,0.0
CHIC1,0.0,0.0
CHSY1,0.0,0.0
CISD1,0.0,0.0
CLCNKB,0.0,0.0
CLEC1A,0.0,0.0
CLEC4E,0.0,0.0
CLIC5,0.0,0.0
CMTM8,0.0,0.0
CNN3,0.0,0.0
CNOT6L,0.0,0.0
CNST,0.0,0.0
COLGALT1,0.0,0.0
COPZ2,0.0,0.0
COTL1,0.0,0.0
CSRNP1,0.0,0.0
CTNNB1,0.0,0.0
CTSC,0.0,0.0
CTSL,0.0,0.0
CXXC5,0.0,0.0
DDAH1,0.0,0.0
DDIT4,0.0,0.0
DDIT4L,0.0,0.0
DECR2,0.0,0.0
DENND6A,0.0,0.0
DHRS3,0.0,0.0
DNAJC1,0.0,0.0
DUSP1,0.0,0.0
DYRK2,0.0,0.0
EFNB2,0.0,0.0
EGFR,0.0,0.0
EHD1,0.0,0.0
EIF1,0.0,0.0
EIF1B,0.0,0.0
ELK4,0.0,0.0
ELMSAN1,0.0,0.0
EML1,0.0,0.0
EPAS1,0.0,0.0
EPS8L2,0.0,0.0
ERRFI1,0.0,0.0
ESM1,0.0,0.0
ETAA1,0.0,0.0
EZR,0.0,0.0
F2RL3,0.0,0.0
FAM107A,0.0,0.0
FAM171A1,0.0,0.0
FGFR1,0.0,0.0
FKBP5,0.0,0.0
FLRT2,0.0,0.0
FLT1,0.0,0.0
FOXO3,0.0,0.0
FOXP1,0.0,0.0
FRMD6,0.0,0.0
FZD4,0.0,0.0
GAS6,0.0,0.0
GATA6,0.0,0.0
GMFG,0.0,0.0
GNA11,0.0,0.0
GNG12,0.0,0.0
GPR3,0.0,0.0
GRASP,0.0,0.0
GRB7,0.0,0.0
GYPC,0.0,0.0
HERPUD1,0.0,0.0
HLA-B,0.0,0.0
HLA-C,0.0,0.0
HLA-E,0.0,0.0
HS3ST3B1,0.0,0.0
HYAL2,0.0,0.0
IDI1,0.0,0.0
IFNGR1,0.0,0.0
IL18R1,0.0,0.0
IL4R,0.0,0.0
IMPA2,0.0,0.0
INPP1,0.0,0.0
IPO11,0.0,0.0
IRAK3,0.0,0.0
IRF2BP2,0.0,0.0
ITGA8,0.0,0.0
ITGB8,0.0,0.0
ITPRIP,0.0,0.0
JDP2,0.0,0.0
JUN,0.0,0.0
JUND,0.0,0.0
KAT2A,0.0,0.0
KCNMB4,0.0,0.0
KCTD2,0.0,0.0
KCTD3,0.0,0.0
KHDRBS3,0.0,0.0
KIAA0040,0.0,0.0
KIAA1211L,0.0,0.0
KIF12,0.0,0.0
KLF4,0.0,0.0
KLF6,0.0,0.0
KLF7,0.0,0.0
KLF9,0.0,0.0
KLHL5,0.0,0.0
KRT10,0.0,0.0
LBR,0.0,0.0
LGALSL,0.0,0.0
LONRF1,0.0,0.0
LPAR6,0.0,0.0
LRP6,0.0,0.0
LRRC8A,0.0,0.0
LRRC8C,0.0,0.0
LTB,0.0,0.0
MAL2,0.0,0.0
MALSU1,0.0,0.0
MAP1LC3A,0.0,0.0
MAP3K1,0.0,0.0
MAP3K6,0.0,0.0
MARCKS,0.0,0.0
MCL1,0.0,0.0
MED30,0.0,0.0
MEPCE,0.0,0.0
MET,0.0,0.0
MGP,0.0,0.0
MOB1B,0.0,0.0
MRPS36,0.0,0.0
MT1E,0.0,0.0
MT1M,0.0,0.0
MT1X,0.0,0.0
MT2A,0.0,0.0
MTSS1,0.0,0.0
MXD4,0.0,0.0
MYC,0.0,0.0
MYCN,0.0,0.0
MYL12A,0.0,0.0
MYO1B,0.0,0.0
MYO6,0.0,0.0
NAA40,0.0,0.0
NCOA3,0.0,0.0
NCOA7,0.0,0.0
NDEL1,0.0,0.0
NDUFB9,0.0,0.0
NDUFS4,0.0,0.0
NEDD9,0.0,0.0
NFE2L2,0.0,0.0
NFKBIA,0.0,0.0
NOSTRIN,0.0,0.0
NREP,0.0,0.0
NUCB2,0.0,0.0
NUDT16,0.0,0.0
OAF,0.0,0.0
OGT,0.0,0.0
P2RY8,0.0,0.0
PCTP,0.0,0.0
PDIA5,0.0,0.0
PDK4,0.0,0.0
PDLIM1,0.0,0.0
PER1,0.0,0.0
PERP,0.0,0.0
PEX2,0.0,0.0
PGD,0.0,0.0
PHC2,0.0,0.0
PINK1,0.0,0.0
PLAT,0.0,0.0
PLIN2,0.0,0.0
PNMA8A,0.0,0.0
PNMT,0.0,0.0
POMP,0.0,0.0
PPFIBP1,0.0,0.0
PPM1A,0.0,0.0
PPP1R18,0.0,0.0
PRDM1,0.0,0.0
PRKCA,0.0,0.0
PRTG,0.0,0.0
PRX,0.0,0.0
PSMA3,0.0,0.0
PSMB9,0.0,0.0
PSME2,0.0,0.0
PTBP3,0.0,0.0
PTPRB,0.0,0.0
PXDC1,0.0,0.0
RAB20,0.0,0.0
RAP2B,0.0,0.0
RARB,0.0,0.0
RASL10A,0.0,0.0
RASSF1,0.0,0.0
RASSF7,0.0,0.0
RASSF9,0.0,0.0
RC3H1,0.0,0.0
RGL1,0.0,0.0
RHOB,0.0,0.0
RHOU,0.0,0.0
RILPL2,0.0,0.0
RND3,0.0,0.0
RNF115,0.0,0.0
RPGR,0.0,0.0
RPL27A,0.0,0.0
RRAS,0.0,0.0
RUNX1T1,0.0,0.0
SDC1,0.0,0.0
SEC14L1,0.0,0.0
SERPINE1,0.0,0.0
SFT2D2,0.0,0.0
SFXN1,0.0,0.0
SH3BP5,0.0,0.0
SH3RF3-AS1,0.0,0.0
SIK2,0.0,0.0
SLC12A2,0.0,0.0
SLC16A7,0.0,0.0
SLC22A23,0.0,0.0
SLC31A2,0.0,0.0
SLC38A1,0.0,0.0
SLC7A6,0.0,0.0
SMAD1,0.0,0.0
SMTN,0.0,0.0
SOCS1,0.0,0.0
SOCS2,0.0,0.0
SOD1,0.0,0.0
SOX18,0.0,0.0
SOX4,0.0,0.0
SP1,0.0,0.0
SPARC,0.0,0.0
SPRY1,0.0,0.0
SPRY4,0.0,0.0
STARD13,0.0,0.0
STARD8,0.0,0.0
STMN1,0.0,0.0
STX7,0.0,0.0
SWI5,0.0,0.0
SYNE1,0.0,0.0
TACC1,0.0,0.0
TAF11,0.0,0.0
TAF7,0.0,0.0
TAL1,0.0,0.0
TBC1D8,0.0,0.0
TBL1XR1,0.0,0.0
TEAD2,0.0,0.0
TET2,0.0,0.0
TGFBR1,0.0,0.0
TIPARP,0.0,0.0
TMEM106B,0.0,0.0
TMEM204,0.0,0.0
TMEM51,0.0,0.0
TMEM88,0.0,0.0
TNFAIP3,0.0,0.0
TOX2,0.0,0.0
TP53I11,0.0,0.0
TP53INP2,0.0,0.0
TPT1,0.0,0.0
TRDMT1,0.0,0.0
TRIM35,0.0,0.0
TSC22D1,0.0,0.0
TSC22D3,0.0,0.0
TSLP,0.0,0.0
TSPAN14,0.0,0.0
TSPAN8,0.0,0.0
UBB,0.0,0.0
UBC,0.0,0.0
UBE2D2,0.0,0.0
USP13,0.0,0.0
VAMP5,0.0,0.0
VWF,0.0,0.0
WBP11,0.0,0.0
ZBTB16,0.0,0.0
ZFAND5,0.0,0.0
ZFP36,0.0,0.0
ZFP36L1,0.0,0.0
ZNF436,0.0,0.0
ZNF503,0.0,0.0
ZNF608,0.0,0.0
