gene,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score
KLF9,1.0,1.0,1.0,0.5
CSRNP1,1.0,1.0,1.0,0.5
MT1X,1.0,1.0,1.0,0.5
MT2A,1.0,1.0,1.0,0.5
MT1E,1.0,1.0,1.0,0.5
ARRDC2,1.0,1.0,1.0,0.5
APOLD1,1.0,1.0,1.0,0.5
FKBP5,1.0,1.0,1.0,0.5
PER1,1.0,1.0,1.0,0.5
MT1M,1.0,1.0,1.0,0.5
CEBPB,1.0,1.0,1.0,0.5
CDC42EP4,0.9714285714285715,0.975,1.0,0.475
SOCS1,0.9714285714285715,0.975,0.975,0.475
SPRY1,0.9714285714285715,0.9666666666666666,1.0,0.46666666666666656
TAL1,0.9666666666666666,0.9666666666666666,0.9666666666666666,0.46666666666666656
ZNF503,0.9666666666666666,0.9666666666666666,0.9555555555555555,0.46666666666666656
DUSP1,0.9714285714285715,0.9666666666666666,1.0,0.46666666666666656
SEC14L1,0.9666666666666666,0.9666666666666666,1.0,0.46666666666666656
ZFP36,0.9714285714285715,0.9666666666666666,0.9583333333333333,0.46666666666666656
TSC22D3,0.9714285714285715,0.9666666666666666,1.0,0.46666666666666656
IRAK3,0.9666666666666666,0.9666666666666666,1.0,0.46666666666666656
CEBPD,0.9666666666666666,0.9666666666666666,1.0,0.46666666666666656
LPAR6,0.9428571428571428,0.9416666666666667,0.9583333333333333,0.44166666666666665
ITPRIP,0.9380952380952381,0.9416666666666667,0.9666666666666666,0.44166666666666665
IFNGR1,0.9428571428571428,0.9416666666666667,0.975,0.44166666666666665
GPR3,0.9380952380952381,0.9416666666666667,0.9416666666666667,0.44166666666666665
PRDM1,0.9428571428571428,0.9416666666666667,0.975,0.44166666666666665
NEDD9,0.9428571428571428,0.9416666666666667,0.9666666666666666,0.44166666666666665
HERPUD1,0.9333333333333333,0.9416666666666667,0.975,0.44166666666666665
F2RL3,0.9380952380952381,0.9333333333333332,0.9666666666666666,0.43333333333333324
KIAA1211L,0.9380952380952381,0.9333333333333332,1.0,0.43333333333333324
GRASP,0.9380952380952381,0.9333333333333332,0.9666666666666666,0.43333333333333324
LRRC8C,0.9380952380952381,0.925,1.0,0.42500000000000004
RHOU,0.9380952380952381,0.925,1.0,0.42500000000000004
EPAS1,0.9095238095238095,0.9166666666666666,0.9666666666666666,0.41666666666666663
ESM1,0.9095238095238095,0.9166666666666666,0.975,0.41666666666666663
