cell_class,gene,diff_mean_log_expr,direction,cohen_d,adj_p_value,rank_score,pct_expr_case,pct_expr_control,random_forest_importance,knn_permutation_importance_mean,knn_permutation_importance_std,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score,traditional_score_scaled,rf_score_scaled,knn_score_scaled,combined_ml_biomarker_score
endothelial cells,MT2A,-2.2557700625245865,down_in_CKD,-4.558898668201697,6.207236548391305e-09,84.40041519349066,0.4853995901639344,0.921978021978022,0.024,0.0,0.0,1.0,1.0,1.0,0.5,1.0,0.7272727272727273,1.0,0.8909090909090909
endothelial cells,MT1E,-1.117332090868249,down_in_CKD,-4.189271765580927,1.777529175118966e-08,36.27711811891196,0.26895491803278687,0.6871794871794872,0.033,0.0,0.0,1.0,1.0,1.0,0.5,0.4298215599502147,1.0,1.0,0.885964311990043
endothelial cells,MT1X,-1.108239141846169,down_in_CKD,-2.804176483549008,3.300627456060345e-05,13.92684929539561,0.19262295081967212,0.6399267399267399,0.033,0.0,0.0,1.0,1.0,1.0,0.5,0.16500925100270966,1.0,1.0,0.833001850200542
endothelial cells,FKBP5,-0.8656276008551046,down_in_CKD,-3.498699443476396,2.735635544607425e-06,16.84776301247211,0.08094262295081968,0.5490842490842491,0.02910989010989011,0.0,0.0,1.0,1.0,1.0,0.5,0.1996170631844414,0.8821178821178821,1.0,0.7927705654840411
endothelial cells,CSRNP1,-0.4889114526829876,down_in_CKD,-3.599092889548776,2.768605723802197e-06,9.779607056582485,0.02663934426229508,0.35604395604395606,0.029,0.0,0.0,1.0,1.0,1.0,0.5,0.11587155151029083,0.8787878787878788,1.0,0.7746894618172098
endothelial cells,TSC22D3,-0.7388270298341955,down_in_CKD,-3.6249348146095586,1.4542125306599623e-07,18.311848790769538,0.2681864754098361,0.6457875457875458,0.029,0.0,0.0,0.9714285714285715,0.9666666666666666,1.0,0.46666666666666656,0.2169639657434035,0.8787878787878788,0.9322033898305083,0.7677893005960356
endothelial cells,CEBPD,-1.2888464475526855,down_in_CKD,-3.106365109982781,1.4265072691191323e-05,19.400482577801228,0.19800204918032788,0.684981684981685,0.028119565217391302,0.0,0.0,0.9666666666666666,0.9666666666666666,1.0,0.46666666666666656,0.22986240687708703,0.8521080368906455,0.9322033898305083,0.759697052063879
endothelial cells,PER1,-0.31191385201366456,down_in_CKD,-3.8983668975465515,2.1069917482038294e-08,9.334077760337331,0.07402663934426229,0.2725274725274725,0.027107499999999996,0.0,0.0,1.0,1.0,1.0,0.5,0.11059279434750005,0.8214393939393938,1.0,0.7506943164452575
endothelial cells,ARRDC2,-0.44442909887989274,down_in_CKD,-3.646893855294444,1.598291301905862e-06,9.394631860012794,0.07479508196721311,0.3710622710622711,0.027,0.0,0.0,1.0,1.0,1.0,0.5,0.11131025645401506,0.8181818181818181,1.0,0.7495347785635303
endothelial cells,RHOU,-0.2425043521736117,down_in_CKD,-2.5175640563161394,3.71633362094564e-05,2.7045346423364767,0.08452868852459017,0.2575091575091575,0.032,0.0,0.0,0.9380952380952381,0.925,1.0,0.42500000000000004,0.03204409168054736,0.9696969696969697,0.8474576271186441,0.7332706570623551
endothelial cells,KLF9,-0.8835945142203375,down_in_CKD,-5.055721166222607,6.207236548391305e-09,36.66282618605374,0.2617827868852459,0.6842490842490843,0.02,0.0,0.0,1.0,1.0,1.0,0.5,0.4343915382643917,0.6060606060606061,1.0,0.7293025500771209
endothelial cells,CEBPB,-0.813070329428331,down_in_CKD,-4.245042320442925,1.5174650709438287e-07,23.535491248624464,0.1011782786885246,0.5307692307692308,0.022,0.0,0.0,1.0,1.0,1.0,0.5,0.2788551595945185,0.6666666666666666,1.0,0.7224376985855705
endothelial cells,MT1M,-1.1958968517680117,down_in_CKD,-3.0233818206829666,2.1089584194049243e-05,16.906546571126917,0.12038934426229508,0.6216117216117216,0.023,0.0,0.0,1.0,1.0,1.0,0.5,0.20031354741997556,0.6969696969696969,1.0,0.7188505882718739
endothelial cells,SPRY1,-0.6124081397863279,down_in_CKD,-2.1367370614919694,0.0010367639233193702,3.905147523712267,0.1554815573770492,0.44175824175824174,0.027,0.0,0.0,0.9714285714285715,0.9666666666666666,1.0,0.46666666666666656,0.04626929280809331,0.8181818181818181,0.9322033898305083,0.7094079417665493
endothelial cells,APOLD1,-1.0333010614854405,down_in_CKD,-3.2075101548593743,1.2841905233183959e-05,16.21158504821194,0.052510245901639344,0.5326007326007326,0.022105219552609776,0.0,0.0,1.0,1.0,1.0,0.5,0.19207944665966822,0.669855137957872,1.0,0.7063579445150824
endothelial cells,CDC42EP4,-0.30554922718836075,down_in_CKD,-3.4686780273885485,4.714201768843527e-07,6.705250316021713,0.10553278688524591,0.31794871794871793,0.025,0.0,0.0,0.9714285714285715,0.975,1.0,0.475,0.07944570297017747,0.7575757575757576,0.9491525423728813,0.698580460573491
endothelial cells,DUSP1,-1.1404126782590225,down_in_CKD,-2.5832529426040627,9.542434842216254e-05,11.843821094442486,0.23181352459016394,0.6476190476190476,0.024,0.0,0.0,0.9714285714285715,0.9666666666666666,1.0,0.46666666666666656,0.14032894349263741,0.7272727272727273,0.9322033898305083,0.6918562355398218
endothelial cells,SEC14L1,-0.74437248000531,down_in_CKD,-3.784910019086021,8.170351380716057e-07,17.15154859508283,0.5558401639344263,0.8205128205128205,0.02210596026490066,0.0,0.0,0.9666666666666666,0.9666666666666666,1.0,0.46666666666666656,0.20321640072222813,0.6698775837848685,0.9322033898305083,0.6814756695905964
endothelial cells,F2RL3,-0.3240009223836462,down_in_CKD,-3.037132388285123,1.9111949395404277e-05,4.643354890368902,0.015368852459016393,0.23663003663003662,0.023107500000000003,0.0,0.0,0.9380952380952381,0.9333333333333332,0.9666666666666666,0.43333333333333324,0.05501578256130449,0.7002272727272728,0.8644067796610168,0.6368567774675767
endothelial cells,ITPRIP,-0.40174181052993413,down_in_CKD,-3.065082657673049,2.6394547696388967e-06,6.869190385161338,0.07633196721311475,0.3128205128205128,0.015866666666666668,0.0,0.0,0.9380952380952381,0.9416666666666667,0.9666666666666666,0.44166666666666665,0.08138811129558425,0.4808080808080808,0.8813559322033898,0.5611432274637052
endothelial cells,KIAA1211L,-0.18700333852780754,down_in_CKD,-3.122193546081341,2.6937085010151195e-06,3.251898935024757,0.036116803278688527,0.17435897435897435,0.01689388794567063,0.0,0.0,0.9380952380952381,0.9333333333333332,1.0,0.43333333333333324,0.03852941869503455,0.5119359983536553,0.8644067796610168,0.5582429949448757
endothelial cells,ADCY1,-0.1448167449058254,down_in_CKD,-2.4789269236649507,4.4158064705612626e-05,1.5633984059813708,0.03483606557377049,0.15421245421245422,0.018,0.0,0.0,0.9095238095238095,0.9083333333333332,0.95,0.4083333333333332,0.018523586671904752,0.5454545454545454,0.813559322033898,0.5473102643297584
endothelial cells,TAL1,-0.201540716499713,down_in_CKD,-2.598447095796681,3.300627456060345e-05,2.3468791436221688,0.07172131147540983,0.21245421245421245,0.012581395224518888,0.0,0.0,0.9666666666666666,0.9666666666666666,0.9666666666666666,0.46666666666666656,0.027806488134470345,0.3812544007429966,0.9322033898305083,0.5309444138562961
endothelial cells,IFNGR1,-0.24771488964574756,down_in_CKD,-3.126819073824352,1.0863561651342945e-06,4.619495210708911,0.234375,0.41135531135531134,0.01378653973509934,0.0,0.0,0.9428571428571428,0.9416666666666667,0.975,0.44166666666666665,0.05473308632568419,0.41777393136664664,0.8813559322033898,0.5305985626931514
endothelial cells,PRDM1,-0.1604297227779324,down_in_CKD,-2.9540475227527314,3.5711658328258876e-06,2.581516071769434,0.048668032786885244,0.16080586080586082,0.011784268318010169,0.0,0.0,0.9428571428571428,0.9416666666666667,0.975,0.44166666666666665,0.030586532848816274,0.3570990399397021,0.8813559322033898,0.501499295427
endothelial cells,ESM1,-0.6171636545297088,down_in_CKD,-3.3179558991204696,6.68029096996745e-07,12.645101048980116,0.09042008196721311,0.36336996336996336,0.010542096239969257,0.0,0.0,0.9095238095238095,0.9166666666666666,0.975,0.41666666666666663,0.14982273511321972,0.3194574618172502,0.8305084745762711,0.4899509215800525
endothelial cells,NEDD9,-0.5219627325869525,down_in_CKD,-3.413123235947897,2.625942176611443e-07,11.723695707628202,0.16290983606557377,0.45567765567765567,0.009000848896434632,0.0,0.0,0.9428571428571428,0.9416666666666667,0.9666666666666666,0.44166666666666665,0.13890566392062473,0.2727529968616555,0.8813559322033898,0.4894247044101431
endothelial cells,ZNF503,0.21026566301437494,up_in_CKD,2.4241110582185583,0.00026145809188429054,1.8260763766535577,0.2228483606557377,0.12051282051282051,0.008680994095533037,0.0,0.0,0.9666666666666666,0.9666666666666666,0.9555555555555555,0.46666666666666656,0.02163586959219595,0.26306042713736477,0.9322033898305083,0.4824327007055884
endothelial cells,NOSTRIN,-0.4599490252035707,down_in_CKD,-2.840324529394577,5.160996319073274e-06,6.907308676233705,0.31839139344262296,0.5619047619047619,0.012,0.0,0.0,0.9095238095238095,0.9,0.9666666666666666,0.4,0.08183974759364013,0.36363636363636365,0.7966101694915255,0.48046656276988375
endothelial cells,GRASP,-0.7186854159099096,down_in_CKD,-3.384286909438438,3.046894667163996e-07,15.848807233405834,0.25973360655737704,0.6168498168498169,0.006999999999999999,0.0,0.0,0.9380952380952381,0.9333333333333332,0.9666666666666666,0.43333333333333324,0.18778115246319507,0.2121212121212121,0.8644067796610168,0.46816742720553056
endothelial cells,ZFP36,-1.0528655489118608,down_in_CKD,-1.8511107759047685,0.004048613828309322,4.663289961007777,0.19211065573770492,0.5904761904761905,0.006856643356643357,0.0,0.0,0.9714285714285715,0.9666666666666666,0.9583333333333333,0.46666666666666656,0.05525197891878891,0.20777707141343504,0.9322033898305083,0.46704258028133516
endothelial cells,RARB,-0.22561430800692395,down_in_CKD,-2.082400373200563,0.0006204912705936376,1.5068347411791607,0.1098872950819672,0.2805860805860806,0.014576797736885713,0.0,0.0,0.8380952380952381,0.8583333333333332,0.975,0.35833333333333317,0.017853404366846938,0.44172114354199127,0.7118644067796607,0.4650049010020302
