gene,random_forest_importance
MT1E,0.033
MT1X,0.033
RHOU,0.032
FKBP5,0.02910989010989011
CSRNP1,0.029
TSC22D3,0.029
CEBPD,0.028119565217391302
PER1,0.027107499999999996
SPRY1,0.027
ARRDC2,0.027
CDC42EP4,0.025
MT2A,0.024
DUSP1,0.024
F2RL3,0.023107500000000003
MT1M,0.023
SEC14L1,0.02210596026490066
APOLD1,0.022105219552609776
CEBPB,0.022
KLF9,0.02
ADCY1,0.018
KIAA1211L,0.01689388794567063
ITPRIP,0.015866666666666668
RARB,0.014576797736885713
IFNGR1,0.01378653973509934
TAL1,0.012581395224518888
NOSTRIN,0.012
PRDM1,0.011784268318010169
ANKS1A,0.010893887945670628
ESM1,0.010542096239969257
NEDD9,0.009000848896434632
MAP1LC3A,0.008897343376452009
RND3,0.008856643356643356
ZNF503,0.008680994095533037
SH3RF3-AS1,0.008667708333333333
SPRY4,0.008
TACC1,0.007470335514300611
GRASP,0.006999999999999999
LPAR6,0.006999999999999998
ZFP36,0.006856643356643357
BAIAP2,0.006105219552609777
ZNF436,0.006008361835464638
STARD8,0.006000000000000001
IL4R,0.0058947804473902235
TSC22D1,0.005892173913043478
SMTN,0.005794011976047904
SIK2,0.005784846732215155
FZD4,0.005779597760729837
RUNX1T1,0.005639574198731093
SFT2D2,0.005133333333333333
NUDT16,0.005106112054329371
GAS6,0.0048612975391498885
NFKBIA,0.004787280447390225
TIPARP,0.0047869543604337015
FOXP1,0.004416470734456606
CALHM2,0.004078191043837845
CNN3,0.004004517289495485
CA4,0.004
RNF115,0.003894736842105263
SOX18,0.0038938879456706307
FAM107A,0.0038925
CD9,0.0032005527043031967
SLC16A7,0.0031317128504294274
TNFAIP3,0.003107826086956521
KIF12,0.003105263157894736
ITGB8,0.0030435811972043697
CD274,0.0030039298449894484
ERRFI1,0.0030000000000000005
JUN,0.003
KLF6,0.003
PHC2,0.0029999999999999996
HERPUD1,0.002905559350026174
SMAD1,0.0028947804473902234
TAF7,0.0028894878706199473
PPM1A,0.0028645720476706384
CMTM8,0.0027879276807699664
RASSF7,0.0026679608938014214
NREP,0.0024464927860126115
ZBTB16,0.00230596026490066
ELK4,0.002112496644236854
MAP3K6,0.0021052631578947364
SOX4,0.0021048503611971105
AKAP12,0.002000000000000001
LRRC8C,0.0020000000000000005
PLIN2,0.0020000000000000005
EIF1B,0.0020000000000000005
B2M,0.002
SH3BP5,0.002
PNMT,0.002
KLF7,0.002
KAT2A,0.0019999999999999996
CDC42EP3,0.0019999999999999996
SLC7A6,0.0019999999999999996
MAP3K1,0.0019999999999999996
