gene,knn_permutation_importance_mean,knn_permutation_importance_std
ABCC3,0.0,0.0
AC005697.2,0.0,0.0
ACKR4,0.0,0.0
ACO2,0.0,0.0
ADAM10,0.0,0.0
ADAM12,0.0,0.0
ADAMTS5,0.0,0.0
AGPS,0.0,0.0
AGRP,0.0,0.0
AIDA,0.0,0.0
ALDH1L1-AS2,0.0,0.0
ANKRD9,0.0,0.0
APOL6,0.0,0.0
ARG2,0.0,0.0
ARNT,0.0,0.0
AUH,0.0,0.0
B3GALT5,0.0,0.0
BCL2L15,0.0,0.0
BRCA2,0.0,0.0
BTG2,0.0,0.0
C2CD2,0.0,0.0
CASP1,0.0,0.0
CASP10,0.0,0.0
CCDC102A,0.0,0.0
CCDC51,0.0,0.0
CCNA2,0.0,0.0
CCNB1IP1,0.0,0.0
CD83,0.0,0.0
CDADC1,0.0,0.0
CDH6,0.0,0.0
CDIP1,0.0,0.0
CEBPD,0.0,0.0
CFI,0.0,0.0
CHCHD10,0.0,0.0
CISH,0.0,0.0
CMC1,0.0,0.0
CNBP,0.0,0.0
COL4A2,0.0,0.0
COX5B,0.0,0.0
COX6B1,0.0,0.0
COX6C,0.0,0.0
COX7B,0.0,0.0
COX7C,0.0,0.0
COX8A,0.0,0.0
CREM,0.0,0.0
CRY2,0.0,0.0
CSNK1G1,0.0,0.0
CSRNP1,0.0,0.0
CTH,0.0,0.0
CTSS,0.0,0.0
CTXN1,0.0,0.0
CYCS,0.0,0.0
CYSTM1,0.0,0.0
CYTIP,0.0,0.0
DCDC1,0.0,0.0
DDX58,0.0,0.0
DESI1,0.0,0.0
DGKH,0.0,0.0
DHRS3,0.0,0.0
DNAJC19,0.0,0.0
DNMT3B,0.0,0.0
DSEL,0.0,0.0
DTX4,0.0,0.0
DUSP1,0.0,0.0
DUSP6,0.0,0.0
DUSP8,0.0,0.0
DYRK2,0.0,0.0
ECT2,0.0,0.0
EFCAB12,0.0,0.0
EIF1,0.0,0.0
ELK3,0.0,0.0
ELL2,0.0,0.0
EMD,0.0,0.0
ENAH,0.0,0.0
ENC1,0.0,0.0
ENPP5,0.0,0.0
EPB41L4A,0.0,0.0
EPG5,0.0,0.0
ERF,0.0,0.0
ERRFI1,0.0,0.0
FAM111A,0.0,0.0
FAM117B,0.0,0.0
FAM181B,0.0,0.0
FAM227A,0.0,0.0
FAS,0.0,0.0
FIGN,0.0,0.0
FIGNL1,0.0,0.0
FKBP5,0.0,0.0
FLOT2,0.0,0.0
FMNL2,0.0,0.0
FZD1,0.0,0.0
GABARAPL1,0.0,0.0
GABBR1,0.0,0.0
GADD45A,0.0,0.0
GADD45G,0.0,0.0
GALNT1,0.0,0.0
GALNT7,0.0,0.0
GBP4,0.0,0.0
GIMAP2,0.0,0.0
GNG7,0.0,0.0
GOT1,0.0,0.0
GPC4,0.0,0.0
GPX8,0.0,0.0
GRAMD1B,0.0,0.0
GRHL3,0.0,0.0
GRPEL1,0.0,0.0
GSTCD,0.0,0.0
HERPUD1,0.0,0.0
HNF1B,0.0,0.0
HOXA3,0.0,0.0
HOXB3,0.0,0.0
HSPA9,0.0,0.0
IDI1,0.0,0.0
IER3,0.0,0.0
IFI16,0.0,0.0
IKZF2,0.0,0.0
IL18BP,0.0,0.0
ING2,0.0,0.0
IP6K3,0.0,0.0
ISCA1,0.0,0.0
ITGB6,0.0,0.0
ITGB8,0.0,0.0
JMJD6,0.0,0.0
JOSD1,0.0,0.0
KANSL1L,0.0,0.0
KIF5A,0.0,0.0
KLF15,0.0,0.0
KLF6,0.0,0.0
KLF9,0.0,0.0
LGALS9,0.0,0.0
LINC00473,0.0,0.0
LRRC10B,0.0,0.0
LRRK2,0.0,0.0
LTB,0.0,0.0
MALT1,0.0,0.0
MAP3K1,0.0,0.0
MCL1,0.0,0.0
MCM7,0.0,0.0
MCTP2,0.0,0.0
MDK,0.0,0.0
MED9,0.0,0.0
MEPCE,0.0,0.0
MIDN,0.0,0.0
MIR181A1HG,0.0,0.0
MIR22HG,0.0,0.0
MMP2,0.0,0.0
MPC1,0.0,0.0
MRPL15,0.0,0.0
MRPL41,0.0,0.0
MRPL54,0.0,0.0
MRPS36,0.0,0.0
MST1R,0.0,0.0
MTFR2,0.0,0.0
NAP1L5,0.0,0.0
NDUFA8,0.0,0.0
NDUFAF4,0.0,0.0
NDUFB1,0.0,0.0
NDUFB6,0.0,0.0
NDUFB7,0.0,0.0
NDUFV3,0.0,0.0
NFIL3,0.0,0.0
NFKBIA,0.0,0.0
NR4A1,0.0,0.0
NR4A2,0.0,0.0
NR4A3,0.0,0.0
NRP1,0.0,0.0
NUDT16,0.0,0.0
OGDHL,0.0,0.0
ORC4,0.0,0.0
ORC5,0.0,0.0
PAM,0.0,0.0
PAPPA-AS1,0.0,0.0
PARP8,0.0,0.0
PDE5A,0.0,0.0
PDK4,0.0,0.0
PER1,0.0,0.0
PIM3,0.0,0.0
PINK1,0.0,0.0
PLEKHA1,0.0,0.0
PLEKHH1,0.0,0.0
PLS1,0.0,0.0
PPIF,0.0,0.0
PPP1R15B,0.0,0.0
PPTC7,0.0,0.0
PQLC1,0.0,0.0
PRKD3,0.0,0.0
PROM1,0.0,0.0
PRR15,0.0,0.0
PRR26,0.0,0.0
PTEN,0.0,0.0
PTP4A1,0.0,0.0
RAB3A,0.0,0.0
RAB3D,0.0,0.0
RAC2,0.0,0.0
RASD1,0.0,0.0
RASGEF1B,0.0,0.0
RASGRP1,0.0,0.0
RASSF3,0.0,0.0
RBBP8NL,0.0,0.0
