gene,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score
SLC25A33,1.0,1.0,1.0,0.5
CSRNP1,1.0,1.0,1.0,0.5
NFIL3,1.0,1.0,1.0,0.5
PDK4,1.0,1.0,1.0,0.5
PER1,1.0,1.0,1.0,0.5
NR4A2,0.9714285714285715,0.975,0.975,0.475
TIPARP,0.9714285714285715,0.975,1.0,0.475
ZFAND5,0.9714285714285715,0.975,1.0,0.475
ORC5,0.9714285714285715,0.9666666666666666,1.0,0.46666666666666656
GADD45A,0.9666666666666666,0.9666666666666666,0.9666666666666666,0.46666666666666656
HOXA3,0.9714285714285715,0.9666666666666666,0.9666666666666666,0.46666666666666656
ERRFI1,0.9666666666666666,0.9666666666666666,1.0,0.46666666666666656
LRRC10B,0.9428571428571428,0.95,0.975,0.44999999999999996
NR4A3,0.9428571428571428,0.95,1.0,0.44999999999999996
IP6K3,0.9428571428571428,0.95,0.9333333333333332,0.44999999999999996
NR4A1,0.9428571428571428,0.95,0.9333333333333332,0.44999999999999996
ERF,0.9380952380952381,0.9416666666666667,0.9388888888888889,0.44166666666666665
RGS2,0.9380952380952381,0.9416666666666667,0.913888888888889,0.44166666666666665
TSPYL2,0.9380952380952381,0.9416666666666667,1.0,0.44166666666666665
CEBPD,0.9380952380952381,0.9416666666666667,0.9416666666666667,0.44166666666666665
CISH,0.9380952380952381,0.9416666666666667,0.9111111111111111,0.44166666666666665
KANSL1L,0.9428571428571428,0.9416666666666667,0.9416666666666668,0.44166666666666665
GIMAP2,0.9380952380952381,0.9333333333333332,0.9444444444444443,0.43333333333333324
TBL1XR1,0.9380952380952381,0.9333333333333332,0.9666666666666666,0.43333333333333324
GRHL3,0.9428571428571428,0.9333333333333332,0.9333333333333332,0.43333333333333324
PDE5A,0.9428571428571428,0.9333333333333332,0.9333333333333332,0.43333333333333324
TSC22D3,0.9333333333333333,0.9333333333333332,0.9777777777777779,0.43333333333333324
USP2,0.9333333333333333,0.9333333333333332,1.0,0.43333333333333324
STK10,0.9333333333333333,0.9333333333333332,0.888888888888889,0.43333333333333324
DYRK2,0.9428571428571428,0.9333333333333332,0.9666666666666666,0.43333333333333324
ADAMTS5,0.9428571428571428,0.9333333333333332,0.9583333333333333,0.43333333333333324
DDX58,0.9095238095238095,0.9166666666666666,0.9666666666666666,0.41666666666666663
SLC45A4,0.9095238095238095,0.9166666666666666,0.9416666666666667,0.41666666666666663
TP53INP2,0.9095238095238095,0.9166666666666666,0.975,0.41666666666666663
JMJD6,0.9095238095238095,0.9166666666666666,0.9111111111111111,0.41666666666666663
B3GALT5,0.9142857142857143,0.9166666666666666,0.9166666666666666,0.41666666666666663
TMEM139,0.9095238095238095,0.9166666666666666,0.9166666666666666,0.41666666666666663
SLC25A25,0.9095238095238095,0.9166666666666666,0.9666666666666666,0.41666666666666663
