gene,random_forest_importance
PDK4,0.03599999999999999
PER1,0.034112676056338026
NR4A3,0.03345346253133276
ERRFI1,0.031107228915662647
CSRNP1,0.030125
ORC5,0.03011044417767106
NFIL3,0.02825051440329217
ZFAND5,0.027999999999999997
USP2,0.02742885381743275
TIPARP,0.02321067958189007
SLC25A33,0.023124999999999993
SLC25A25,0.019129682863356114
TSC22D3,0.017882259632342683
KLF9,0.013785726987015133
TSPYL2,0.013146919438712476
MCL1,0.0130139151742136
GADD45A,0.012782965612271338
ELL2,0.012770270389191462
LRRC10B,0.012541935687339972
TBL1XR1,0.011364497079981118
HOXA3,0.01100159123055162
KLF15,0.010987879919867376
NFKBIA,0.010895251245397444
MAP3K1,0.010719969616009215
CEBPD,0.010673050930677106
DYRK2,0.009748921765344398
GRHL3,0.00962619980908284
TNFAIP8,0.009351540470912151
NR4A2,0.008908309117732525
TP53INP2,0.00845294197234132
GIMAP2,0.008105416423995338
GABARAPL1,0.008006070058970803
FAS,0.007795841329333597
LINC00473,0.007784076356079617
RGS2,0.007690952244329248
RASSF3,0.007227831472213058
CDADC1,0.007
FAM117B,0.006893691588785042
DDX58,0.0068040183722176744
NR4A1,0.006715829301497439
TMEM139,0.0061244086339444104
CSNK1G1,0.006000000000000001
FKBP5,0.005999999999999999
ADAMTS5,0.005999999999999997
C2CD2,0.005999999999999996
ZNF799,0.005942767612179807
SYT16,0.005873408769448372
FZD1,0.005202272727272724
ERF,0.005109461966604824
APOL6,0.005107964601769912
PROM1,0.0051063084112149505
CTH,0.004994951848400123
SAMD12,0.004894145476049673
STK10,0.004893691588785044
DGKH,0.004784229622180221
SGK1,0.004767035398230087
PRR26,0.004640161346767959
CASP1,0.004493916459102978
MIR22HG,0.004323825203436318
DUSP8,0.004232964601769911
GALNT7,0.0041446280991735505
SLC3A2,0.0041054164239953395
DESI1,0.0040024795759011555
ENAH,0.004000000000000001
LGALS9,0.004
ADAM10,0.003999999999999999
TNFRSF11B,0.003983742146984372
CREM,0.0038945835760046585
NRP1,0.003894145476049672
CYCS,0.003893691588785046
SEL1L3,0.0038750000000000017
IKZF2,0.003874999999999997
DUSP1,0.0038690147942543147
WDR5B,0.003867117117117115
TRIM22,0.0038465608465608433
CISH,0.0037875079264426113
DUSP6,0.0036947368421052624
DNMT3B,0.0036599944379309404
STAT1,0.003635533168274567
TCEAL2,0.003106308411214956
RUFY3,0.003083180147058824
ZNF331,0.003045474551669241
ACO2,0.00301739421048836
AGRP,0.0030000000000000014
PAM,0.0030000000000000005
ARG2,0.002999999999999999
IL18BP,0.002999999999999998
ING2,0.002984247135842881
RASD1,0.002894145476049676
UBE2B,0.0028927710843373506
RCAN1,0.0028895558223289318
MIDN,0.002887323943661974
MALT1,0.0028771186440677944
TMEM159,0.002873408769448375
PRR15,0.0027977272727272746
IP6K3,0.002794425087108018
RPS20,0.0027704236552920755
LTB,0.0027405258865654874
FAM181B,0.0023731133777303423
TOB2,0.0022557639446299993
HERPUD1,0.0022166908822674795
JOSD1,0.0021280652019844077
KANSL1L,0.0021058545239503257
DHRS3,0.0021058545239503253
ARNT,0.0021017187574942117
