cell_class,gene,rank_score,adj_p_value,diff_mean_log_expr,cohen_d,pct_expr_case,pct_expr_control,traditional_rank,combined_ml_biomarker_score,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,ml_rank,random_forest_importance,rf_rank,traditional_score_scaled,ml_score_scaled,rf_score_scaled,consensus_score,mean_rank
immune cells,TLR7,0.2669814162732502,0.0077285331353745546,0.054401594448969234,2.323782367104982,0.037667248400232695,0.0033944331296673455,8,0.4747563885876024,0.9416666666666667,0.975,4,0.010891027605719283,30,0.18300259452590315,1.0,1.0,0.7276675315086344,14.0
immune cells,ZFP36L1,0.9692191289805179,0.018147853764634087,0.33292000748828665,1.6720132934405847,0.4408086096567772,0.2919212491513917,1,0.335897286832025,0.8749999999999998,0.925,18,0.004004356469765721,59,1.0,0.663407618457454,0.3676748067062914,0.6770274750545818,26.0
immune cells,CD180,0.36235817164957546,0.0077285331353745546,0.06433962120786428,2.6667702889233014,0.04508435136707388,0.0033944331296673455,5,0.45402424564986243,0.9666666666666666,0.9666666666666666,6,0.0071078260869565195,44,0.29396582004762595,0.9497455962362649,0.6526313534660344,0.6321142565833083,18.333333333333332
immune cells,TNF,0.8896262455875192,0.0036818474501267373,0.16004529742940987,2.2837882496908795,0.13830715532286214,0.05974202308214528,2,0.24932023278690896,0.8083333333333333,0.925,75,0.001894736842105263,103,0.9074000469504986,0.4535461370021135,0.17397227430681247,0.5116394860864748,60.0
immune cells,MAP3K1,0.6618760582934463,0.005980824738148094,0.14533597281667232,2.0484124772833825,0.14688772542175685,0.08214528173794976,3,0.24268913408887458,0.8166666666666667,0.8444444444444444,92,0.0007594320248782493,173,0.6424309221819714,0.43747245313986416,0.06973006151223438,0.38321114561135666,89.33333333333333
immune cells,MAPK8IP3,0.28340121006582125,0.0007299702569155131,0.038871449688831834,2.32433484933598,0.03664921465968586,0.018329938900203666,7,0.34130769833899877,0.9083333333333332,0.9222222222222222,15,0.0021052631578947364,89,0.20210571115464834,0.6765223748632893,0.1933025270075694,0.3573102043418357,37.0
immune cells,ZMIZ2,0.33147628505006793,0.0013308902891996813,0.054609326589247935,2.110659817958322,0.05977312390924956,0.03598099117447386,6,0.29663993829764074,0.8583333333333332,0.9444444444444444,31,0.0022134602649006613,86,0.2580372152868896,0.568248393968927,0.2032370447521674,0.34317421800266135,41.0
immune cells,SP1,0.4168484656423887,0.0013308902891996813,0.06970579469250174,2.079418602624777,0.07547993019197208,0.04005431093007468,4,0.23593754733001468,0.8083333333333332,0.8666666666666666,100,0.0009360241528383115,160,0.35736091833139894,0.4211067080239557,0.08594452118978833,0.28813738251504767,88.0
immune cells,MYO1C,0.16165458904580313,0.013320918716708884,0.04462135960608517,1.9316840097977024,0.04057591623036649,0.021045485403937542,11,0.28628048247083626,0.85,0.925,38,0.0020520578803111507,90,0.060463256329587864,0.5431372283042761,0.18841728756922238,0.26400592406769546,46.333333333333336
immune cells,TP53,0.24796778206376313,0.016441030664439957,0.07631995084196125,1.8211472035635519,0.08885980221058755,0.05295315682281059,9,0.1884195398674983,0.7583333333333332,0.8222222222222223,130,0.0008856607310215567,167,0.16088175205804786,0.30592377009801275,0.08132021725447307,0.1827085798035112,102.0
immune cells,IQCB1,0.11121694647183757,0.013165649010056457,0.035343364827165685,1.673309990347202,0.050319953461314716,0.03801765105227427,15,0.2572943525572771,0.8416666666666666,0.9277777777777778,70,0.0002511827303131646,176,0.0017830937927500094,0.47287528381553734,0.023063271842342793,0.16590721648354337,87.0
immune cells,RABGAP1,0.1096843152808772,0.029693681400245267,0.04681966318848965,1.5338456801581752,0.053810354857475276,0.034623217922606926,16,0.1702523051993698,0.7333333333333333,0.8416666666666666,152,0.0013597177791097087,113,0.0,0.2618866655389515,0.1248475192915377,0.1289113949434964,93.66666666666667
immune cells,CCR2,0.15220254120023333,0.026208442909383272,0.057852862075052414,1.6634575282956736,0.05962769051774287,0.028513238289205704,12,0.18685442709460748,0.7666666666666666,0.8194444444444444,133,0.00013171285042942897,189,0.04946655474761708,0.30212996019322685,0.012093702743004763,0.12123007256128289,111.33333333333333
immune cells,ARHGAP17,0.14454902652161314,0.014065388219414159,0.04482856286239864,1.7412252378167665,0.04392088423502036,0.02376103190767142,14,0.09574332547140256,0.6583333333333333,0.7694444444444444,179,0.000894736842105265,162,0.040562302637481305,0.08127801536140235,0.08215357397821713,0.06799796399236692,118.33333333333333
immune cells,KIF22,0.16670373295216204,0.034110325298208496,0.07317187048516532,1.5528777434138492,0.10383944153577661,0.07196198234894773,10,0.10971472400757905,0.6833333333333333,0.7236111111111111,176,0.00010750000000000096,197,0.06633753137451152,0.11514447602056328,0.009870510285324006,0.06378417256013294,127.66666666666667
immune cells,FAM199X,0.14687358924256183,0.01575966755241646,0.04735993000717699,1.7205556325719653,0.056719022687609075,0.035302104548540394,13,0.06221258376584869,0.6333333333333333,0.8083333333333332,182,1.1011135023718216e-18,217,0.043266745417341754,0.0,0.0,0.014422248472447252,137.33333333333334
