gene,knn_permutation_importance_mean,knn_permutation_importance_std
AC002553.2,0.0,0.0
AC004540.1,0.0,0.0
AC004585.1,0.0,0.0
AC005070.3,0.0,0.0
AC008014.1,0.0,0.0
AC009065.4,0.0,0.0
AC010531.6,0.0,0.0
AC016027.1,0.0,0.0
AC018647.2,0.0,0.0
AC021016.3,0.0,0.0
AC022364.1,0.0,0.0
AC023908.3,0.0,0.0
AC034236.2,0.0,0.0
AC064805.1,0.0,0.0
AC067852.2,0.0,0.0
AC074117.1,0.0,0.0
AC083843.3,0.0,0.0
AC116913.1,0.0,0.0
ADAMTSL3,0.0,0.0
ADGRL1,0.0,0.0
ADH1B,0.0,0.0
AKAP13,0.0,0.0
AL022328.4,0.0,0.0
AL080317.1,0.0,0.0
AL138899.1,0.0,0.0
AL160272.1,0.0,0.0
AL450384.2,0.0,0.0
AMBP,0.0,0.0
ANKRD33B,0.0,0.0
ANO9,0.0,0.0
AP001437.1,0.0,0.0
AP002490.1,0.0,0.0
AP5S1,0.0,0.0
AREG,0.0,0.0
ARHGAP17,0.0,0.0
ARHGDIB,0.0,0.0
ARL4A,0.0,0.0
ARL6,0.0,0.0
AVPI1,0.0,0.0
AXIN2,0.0,0.0
BAHCC1,0.0,0.0
BIK,0.0,0.0
BTG1,0.0,0.0
C1orf226,0.0,0.0
C3AR1,0.0,0.0
C5AR1,0.0,0.0
C9orf139,0.0,0.0
CADPS2,0.0,0.0
CARMIL1,0.0,0.0
CBR3,0.0,0.0
CCDC24,0.0,0.0
CCNH,0.0,0.0
CCR2,0.0,0.0
CCR5,0.0,0.0
CD163,0.0,0.0
CD180,0.0,0.0
CD200R1,0.0,0.0
CD207,0.0,0.0
CD209,0.0,0.0
CD247,0.0,0.0
CD55,0.0,0.0
CDH2,0.0,0.0
CDHR1,0.0,0.0
CEBPB,0.0,0.0
CEBPD,0.0,0.0
CELF2,0.0,0.0
CENPO,0.0,0.0
CH25H,0.0,0.0
CHKA,0.0,0.0
CHST11,0.0,0.0
CLEC4E,0.0,0.0
CMYA5,0.0,0.0
CNOT6L,0.0,0.0
COL5A2,0.0,0.0
CPLANE2,0.0,0.0
CREM,0.0,0.0
CXCR4,0.0,0.0
CYTIP,0.0,0.0
DBI,0.0,0.0
DCAF4L1,0.0,0.0
DCTN3,0.0,0.0
DDIT4,0.0,0.0
DGUOK,0.0,0.0
DNAAF4,0.0,0.0
DNAJB6,0.0,0.0
DNALI1,0.0,0.0
DTX4,0.0,0.0
DUSP2,0.0,0.0
DYNLT1,0.0,0.0
DZIP1,0.0,0.0
E2F2,0.0,0.0
ELF1,0.0,0.0
ELFN1-AS1,0.0,0.0
ENAH,0.0,0.0
EPHB3,0.0,0.0
ERCC6,0.0,0.0
ETS1,0.0,0.0
ETS2,0.0,0.0
FAM111B,0.0,0.0
FAM171A1,0.0,0.0
FAM199X,0.0,0.0
FAM49A,0.0,0.0
FAT1,0.0,0.0
FGFR3,0.0,0.0
FHL2,0.0,0.0
FILIP1L,0.0,0.0
FKBP5,0.0,0.0
FLRT3,0.0,0.0
FPR1,0.0,0.0
FRAS1,0.0,0.0
FRK,0.0,0.0
FRZB,0.0,0.0
FUT7,0.0,0.0
FYN,0.0,0.0
FZD2,0.0,0.0
GAREM1,0.0,0.0
GAS6-AS1,0.0,0.0
GATA2,0.0,0.0
GIPR,0.0,0.0
GLUL,0.0,0.0
GNAZ,0.0,0.0
GPR68,0.0,0.0
GRASP,0.0,0.0
HAVCR2,0.0,0.0
HBEGF,0.0,0.0
HCFC2,0.0,0.0
HERPUD1,0.0,0.0
HIST1H2BH,0.0,0.0
HMGB1,0.0,0.0
HMGB2,0.0,0.0
HNRNPH1,0.0,0.0
ID2,0.0,0.0
IGHG3,0.0,0.0
IL21R,0.0,0.0
INTU,0.0,0.0
IPCEF1,0.0,0.0
IQCB1,0.0,0.0
IRS2,0.0,0.0
ISG20,0.0,0.0
JCHAIN,0.0,0.0
JDP2,0.0,0.0
KCNN4,0.0,0.0
KIF22,0.0,0.0
KLC2,0.0,0.0
KLF9,0.0,0.0
KLRF1,0.0,0.0
LAD1,0.0,0.0
LCA5,0.0,0.0
LFNG,0.0,0.0
LINC00954,0.0,0.0
LINC01355,0.0,0.0
LINC01410,0.0,0.0
LINC01480,0.0,0.0
LINC01943,0.0,0.0
LINC02345,0.0,0.0
LITAF,0.0,0.0
LPP-AS2,0.0,0.0
LTA,0.0,0.0
MACC1,0.0,0.0
MAP3K1,0.0,0.0
MAP3K8,0.0,0.0
MAPK8IP3,0.0,0.0
MCL1,0.0,0.0
MCU,0.0,0.0
METRNL,0.0,0.0
MILR1,0.0,0.0
MIR3142HG,0.0,0.0
MPP5,0.0,0.0
MRPL10,0.0,0.0
MTFR2,0.0,0.0
MYO1C,0.0,0.0
MZF1-AS1,0.0,0.0
NAMPT,0.0,0.0
NCKAP1,0.0,0.0
NECTIN3,0.0,0.0
NEK5,0.0,0.0
NFIL3,0.0,0.0
NFKBIA,0.0,0.0
NHS,0.0,0.0
NLRP12,0.0,0.0
NOD2,0.0,0.0
NOMO2,0.0,0.0
NPIPB13,0.0,0.0
NR2F1,0.0,0.0
NR6A1,0.0,0.0
NUAK2,0.0,0.0
NUDT16,0.0,0.0
OSGEPL1-AS1,0.0,0.0
P2RY6,0.0,0.0
PAPPA,0.0,0.0
PAX8,0.0,0.0
PCDH9,0.0,0.0
PDE4A,0.0,0.0
PER1,0.0,0.0
PGAP1,0.0,0.0
PGM3,0.0,0.0
PHC2,0.0,0.0
PIK3C2B,0.0,0.0
PIK3IP1,0.0,0.0
PIK3R1,0.0,0.0
PIP4K2A,0.0,0.0
PKP2,0.0,0.0
PLA2G16,0.0,0.0
PLCB3,0.0,0.0
PLIN2,0.0,0.0
PPP2R5C,0.0,0.0
PRDM1,0.0,0.0
PRDM5,0.0,0.0
PRKAG2-AS1,0.0,0.0
PRR35,0.0,0.0
PSTPIP2,0.0,0.0
RAB38,0.0,0.0
RABGAP1,0.0,0.0
RARG,0.0,0.0
RDH5,0.0,0.0
REL,0.0,0.0
RGS1,0.0,0.0
RILPL2,0.0,0.0
RNF144B,0.0,0.0
RNF43,0.0,0.0
ROR1,0.0,0.0
RTL5,0.0,0.0
RUNX3,0.0,0.0
S100A1,0.0,0.0
S100Z,0.0,0.0
SAP30,0.0,0.0
SEC14L1,0.0,0.0
SEMA3B,0.0,0.0
SESN3,0.0,0.0
SGK1,0.0,0.0
SGO1,0.0,0.0
SH2D3C,0.0,0.0
SH3BP5,0.0,0.0
SH3TC1,0.0,0.0
SIAH2,0.0,0.0
SIGLEC1,0.0,0.0
SLA,0.0,0.0
SLC11A1,0.0,0.0
SLC22A5,0.0,0.0
SLC31A2,0.0,0.0
SLC37A2,0.0,0.0
SMAP2,0.0,0.0
SOCS1,0.0,0.0
SORCS2,0.0,0.0
SP1,0.0,0.0
SP100,0.0,0.0
SPIN3,0.0,0.0
SPON2,0.0,0.0
SPTBN1,0.0,0.0
SRGAP1,0.0,0.0
SRGAP2,0.0,0.0
SRGN,0.0,0.0
STK17B,0.0,0.0
STOX2,0.0,0.0
STX11,0.0,0.0
SUCNR1,0.0,0.0
SYAP1,0.0,0.0
SYTL3,0.0,0.0
TAB2,0.0,0.0
THBD,0.0,0.0
THEMIS2,0.0,0.0
THRB,0.0,0.0
TIFA,0.0,0.0
TIPARP,0.0,0.0
TLR10,0.0,0.0
TLR7,0.0,0.0
TMCC3,0.0,0.0
TMTC4,0.0,0.0
TNF,0.0,0.0
TNFAIP3,0.0,0.0
TNFAIP8L1,0.0,0.0
TP53,0.0,0.0
TP53BP2,0.0,0.0
TSC22D3,0.0,0.0
TXK,0.0,0.0
TXNIP,0.0,0.0
TXNRD3,0.0,0.0
UPP1,0.0,0.0
USP53,0.0,0.0
WASF2,0.0,0.0
WEE1,0.0,0.0
ZBTB16,0.0,0.0
ZFP36L1,0.0,0.0
ZFP36L2,0.0,0.0
ZFYVE9,0.0,0.0
ZMIZ2,0.0,0.0
ZNF296,0.0,0.0
ZNF584,0.0,0.0
ZNF629,0.0,0.0
ZNF696,0.0,0.0
ZNF724,0.0,0.0
ZNF79,0.0,0.0
ZNF792,0.0,0.0
C2orf81,0.0,0.0
TAS2R4,0.0,0.0
YY2,0.0,0.0
FAM53B,0.0,0.0
HOXB5,0.0,0.0
AL117379.1,0.0,0.0
AC092279.1,0.0,0.0
