gene,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score
SRGN,1.0,1.0,1.0,0.5
SH3BP5,1.0,1.0,1.0,0.5
C9orf139,1.0,1.0,1.0,0.5
PCDH9,1.0,1.0,1.0,0.5
CD163,1.0,1.0,1.0,0.5
DDIT4,1.0,1.0,1.0,0.5
ZBTB16,1.0,1.0,1.0,0.5
FKBP5,1.0,1.0,1.0,0.5
CLEC4E,1.0,1.0,1.0,0.5
TSC22D3,1.0,1.0,1.0,0.5
HERPUD1,0.9714285714285715,0.975,0.9666666666666668,0.475
PKP2,0.9714285714285715,0.975,0.975,0.475
SMAP2,0.9714285714285715,0.975,1.0,0.475
JDP2,0.9714285714285715,0.975,0.975,0.475
PER1,0.9666666666666666,0.9666666666666666,1.0,0.46666666666666656
METRNL,0.9714285714285715,0.9666666666666666,1.0,0.46666666666666656
HMGB2,0.9714285714285715,0.9666666666666666,1.0,0.46666666666666656
IL21R,0.9714285714285715,0.9666666666666666,0.9666666666666666,0.46666666666666656
GATA2,0.9666666666666666,0.9666666666666666,0.9777777777777779,0.46666666666666656
CXCR4,0.9666666666666666,0.9666666666666666,1.0,0.46666666666666656
CD180,0.9714285714285715,0.9666666666666666,0.9666666666666666,0.46666666666666656
SLA,0.9666666666666668,0.9666666666666666,1.0,0.46666666666666656
NFIL3,0.9666666666666668,0.9666666666666666,1.0,0.46666666666666656
CHKA,0.9428571428571428,0.95,0.975,0.44999999999999996
KLF9,0.9380952380952381,0.9416666666666667,1.0,0.44166666666666665
MCL1,0.9380952380952381,0.9416666666666667,0.9416666666666667,0.44166666666666665
TLR7,0.9428571428571428,0.9416666666666667,0.975,0.44166666666666665
GRASP,0.9380952380952381,0.9416666666666667,0.9666666666666666,0.44166666666666665
SAP30,0.9380952380952381,0.9333333333333332,1.0,0.43333333333333324
FGFR3,0.9428571428571428,0.9333333333333332,0.9333333333333332,0.43333333333333324
PSTPIP2,0.9095238095238095,0.9166666666666666,0.925,0.41666666666666663
CEBPB,0.9047619047619048,0.9166666666666666,1.0,0.41666666666666663
FAT1,0.9380952380952381,0.9166666666666666,0.95,0.41666666666666663
ISG20,0.9333333333333333,0.9166666666666666,1.0,0.41666666666666663
AP5S1,0.9095238095238095,0.9166666666666666,0.9416666666666668,0.41666666666666663
CELF2,0.9047619047619048,0.9083333333333332,0.975,0.4083333333333332
MAPK8IP3,0.9095238095238095,0.9083333333333332,0.9222222222222222,0.4083333333333332
SH3TC1,0.9095238095238095,0.9083333333333332,0.9833333333333332,0.4083333333333332
SEC14L1,0.9047619047619048,0.9083333333333332,1.0,0.4083333333333332
SYTL3,0.9095238095238095,0.9083333333333332,0.975,0.4083333333333332
