gene,random_forest_importance
CXCR4,0.03420088388911209
METRNL,0.032
SH3BP5,0.03
PER1,0.03
CLEC4E,0.025
ZBTB16,0.025
GRASP,0.024781987870619943
DDIT4,0.02410611205432937
SRGN,0.024105960264900663
NFIL3,0.023
SLA,0.023
FKBP5,0.021
PCDH9,0.020353632867212437
KLF9,0.02006218142826198
ISG20,0.018305772256912975
C9orf139,0.018240913031432375
SEC14L1,0.01747133291593608
TSC22D3,0.017105219552609775
SMAP2,0.017
GATA2,0.016673620380705387
HERPUD1,0.015859435398697413
SH3TC1,0.015
HMGB2,0.014588267478186364
AREG,0.013867708333333333
CEBPB,0.012577444970265453
SAP30,0.012211038961038959
ELF1,0.012
NUDT16,0.011986930251248166
SYTL3,0.011573865115582442
TLR7,0.010891027605719283
FAT1,0.010867708333333332
CHKA,0.010784846732215156
CELF2,0.010765961326803946
GLUL,0.010609429809847963
MCL1,0.01
FLRT3,0.009759942508084797
BTG1,0.009558468605948769
CEBPD,0.009
JDP2,0.008894780447390222
PKP2,0.008880434782608694
SOCS1,0.008580957289931516
IL21R,0.008112820512820512
USP53,0.007961906514538094
CD180,0.0071078260869565195
CREM,0.0068650051921079975
IRS2,0.0068612975391498885
SRGAP1,0.006786539735099338
FAM111B,0.005999999999999998
CD200R1,0.005595534205353274
S100A1,0.005132291666666666
PHC2,0.005
C5AR1,0.004865005192107996
AKAP13,0.00481375988992088
PRDM1,0.004797468354430378
SUCNR1,0.004670112995032575
CD163,0.0041527078565980185
AP5S1,0.004104227802336538
PPP2R5C,0.004092726617346674
ZFP36L1,0.004004356469765721
STK17B,0.004
KCNN4,0.003999999999999999
FILIP1L,0.003999999999999999
PSTPIP2,0.003986954360433701
THRB,0.003866873065015481
SYAP1,0.00378896103896104
WASF2,0.0037839978357805185
MCU,0.0032909542017325825
FRK,0.003112604828380606
HMGB1,0.003107500000000001
TLR10,0.0030039298449894467
YY2,0.003
FGFR3,0.0029999999999999996
PAX8,0.002999999999999999
RAB38,0.002999999999999999
CCDC24,0.002925879339869974
ETS2,0.0029066161108879073
CNOT6L,0.002893887945670629
TMCC3,0.002892500000000001
ID2,0.0027926675094816686
CH25H,0.00279073241599444
IGHG3,0.0027499999999999994
DYNLT1,0.0026742855187974488
WEE1,0.0022470053444935863
TNFAIP8L1,0.00223750101126047
LFNG,0.0022193359091262606
ZMIZ2,0.0022134602649006613
MAP3K8,0.002207332490518331
SLC11A1,0.002105615208590037
MAPK8IP3,0.0021052631578947364
MYO1C,0.0020520578803111507
TIPARP,0.002000000000000001
CYTIP,0.0020000000000000005
FAM53B,0.002
TAB2,0.002
RNF144B,0.002
REL,0.002
GIPR,0.0019999999999999996
LINC00954,0.001999999999999999
SGK1,0.001999999999999999
ZFP36L2,0.001994602232159635
ARL6,0.0019470932232542129
AVPI1,0.0018947368421052637
TNF,0.001894736842105263
MILR1,0.0018925000000000003
RARG,0.0018865096274561907
MIR3142HG,0.0018503067484662576
DTX4,0.0018503067484662568
PIK3R1,0.0017887765772046
RGS1,0.0017848467322151543
SPTBN1,0.0016994195366453707
PIP4K2A,0.0016938965582781313
HNRNPH1,0.0014175080728215195
RABGAP1,0.0013597177791097087
PIK3C2B,0.0012110389610389604
FZD2,0.001200552704303198
P2RY6,0.0011378535644154782
HIST1H2BH,0.0011349948078920038
ROR1,0.0011333333333333325
TXNRD3,0.0011143392689784443
TXNIP,0.0011061120543293722
SLC37A2,0.001106112054329371
CHST11,0.001105960264900661
DUSP2,0.0011052631578947368
CADPS2,0.00110485036119711
PGAP1,0.001076245783516539
NOD2,0.0010003260869565222
HBEGF,0.0010000000000000015
CBR3,0.0010000000000000009
DNALI1,0.0010000000000000009
PAPPA,0.0010000000000000009
SIGLEC1,0.0010000000000000005
ANKRD33B,0.0010000000000000005
INTU,0.0010000000000000005
AC005070.3,0.0010000000000000005
FPR1,0.0010000000000000005
MACC1,0.0010000000000000005
ARHGDIB,0.0010000000000000005
CENPO,0.0010000000000000002
ETS1,0.001
ZNF629,0.001
TAS2R4,0.001
NR2F1,0.001
CCR5,0.001
NOMO2,0.001
LINC01943,0.001
LINC01355,0.001
AC021016.3,0.001
DZIP1,0.001
ZNF79,0.001
AL160272.1,0.001
TP53BP2,0.001
BIK,0.0009999999999999998
LINC01410,0.0009999999999999996
ADAMTSL3,0.0009999999999999996
AP001437.1,0.0009999999999999996
AL117379.1,0.0009999999999999996
MZF1-AS1,0.0009999999999999996
AMBP,0.0009999999999999994
CDH2,0.0009993028929940748
SP1,0.0009360241528383115
TIFA,0.0008947804473902248
ARHGAP17,0.000894736842105265
KLC2,0.0008947368421052626
FAM171A1,0.0008940397350993389
TNFAIP3,0.0008940397350993377
NFKBIA,0.0008867761452031131
TP53,0.0008856607310215567
FRAS1,0.0008856607310215558
GNAZ,0.0008677083333333331
STOX2,0.0008612975391498877
DCTN3,0.0007940119760479046
NHS,0.0007889610389610395
MAP3K1,0.0007594320248782493
HAVCR2,0.00044284079212975167
FHL2,0.00031784461989838475
IQCB1,0.0002511827303131646
SESN3,0.00023834648759429638
CPLANE2,0.00015816993464052347
RDH5,0.00013870246085011275
FRZB,0.0001387024608501111
AL138899.1,0.0001354279523293608
ZFYVE9,0.00013499480789200388
NECTIN3,0.0001333333333333334
LINC02345,0.00013333333333333301
ANO9,0.00013229166666666812
JCHAIN,0.0001322916666666674
AL450384.2,0.00013229166666666633
CD209,0.00013223140495867826
CCR2,0.00013171285042942897
SPON2,0.00011956521739130477
SLC31A2,0.00011322385479688765
SLC22A5,0.00011051212938005441
RNF43,0.00010989010989011
DBI,0.00010989010989010985
HOXB5,0.00010782608695652264
CD247,0.0001078260869565214
KIF22,0.00010750000000000096
NCKAP1,0.00010611205432937177
SH2D3C,0.0001061120543293713
S100Z,0.00010596026490066268
CCNH,0.0001059602649006613
DGUOK,0.00010526315789473796
PGM3,0.00010526315789473792
UPP1,0.00010526315789473753
NUAK2,0.00010521955260977699
ZNF296,0.00010521955260977688
STX11,0.00010521955260977665
CDHR1,1.776356839400249e-18
C3AR1,1.6620449872351415e-18
LITAF,1.6304779622044883e-18
NLRP12,1.4291918618587329e-18
THEMIS2,1.30095364680435e-18
ZNF792,1.2717100100251788e-18
CARMIL1,1.22503475934311e-18
RTL5,1.205556705429151e-18
BAHCC1,1.1764468541642007e-18
FAM199X,1.1011135023718216e-18
GAREM1,1.030040250624451e-18
FAM49A,1.0057314458369062e-18
RUNX3,1.0037454947780644e-18
GPR68,9.284754035568901e-19
DNAJB6,8.881784197001247e-19
PDE4A,8.650768092887326e-19
THBD,8.611847618464939e-19
LPP-AS2,8.578996099376207e-19
RILPL2,8.302949970487276e-19
AC004585.1,7.962205530140009e-19
CD55,7.127357688951619e-19
AC067852.2,6.5524927531798435e-19
PLIN2,6.552492753179837e-19
NAMPT,6.266592183439769e-19
ERCC6,5.69914485974247e-19
LCA5,4.9636955333770245e-19
ENAH,4.914974261521395e-19
IPCEF1,4.843861937068276e-19
AC018647.2,4.794699436018531e-19
SEMA3B,4.744542840278445e-19
LTA,4.440892098500627e-19
SPIN3,4.440892098500626e-19
TXK,4.1777281222931804e-19
HCFC2,4.1381040008755837e-19
ZNF696,3.8241015292644276e-19
ZNF724,3.7007434154171873e-19
ARL4A,3.133296091719884e-19
KLRF1,0.0
LAD1,0.0
LINC01480,0.0
ELFN1-AS1,0.0
E2F2,0.0
EPHB3,0.0
AC074117.1,0.0
AC083843.3,0.0
AC016027.1,0.0
AC010531.6,0.0
AC023908.3,0.0
AC004540.1,0.0
AC008014.1,0.0
AC009065.4,0.0
FYN,0.0
DNAAF4,0.0
GAS6-AS1,0.0
FUT7,0.0
ZNF584,0.0
AC022364.1,0.0
AC034236.2,0.0
AC064805.1,0.0
DCAF4L1,0.0
OSGEPL1-AS1,0.0
PRDM5,0.0
PRR35,0.0
PRKAG2-AS1,0.0
PLCB3,0.0
CD207,0.0
PIK3IP1,0.0
PLA2G16,0.0
COL5A2,0.0
NEK5,0.0
MPP5,0.0
MRPL10,0.0
MTFR2,0.0
CMYA5,0.0
NPIPB13,0.0
NR6A1,0.0
SGO1,0.0
AC116913.1,0.0
SRGAP2,0.0
SORCS2,0.0
SP100,0.0
SIAH2,0.0
AXIN2,0.0
C1orf226,0.0
AL080317.1,0.0
AP002490.1,0.0
AL022328.4,0.0
ADH1B,0.0
ADGRL1,0.0
TMTC4,0.0
C2orf81,0.0
AC002553.2,0.0
AC092279.1,0.0
