cell_class,gene,mean_expr_case,mean_expr_control,diff_mean_log_expr,direction,cohen_d,t_stat,p_value,adj_p_value,pct_expr_case,pct_expr_control,pct_expr_diff,n_case_patients,n_control_patients,passes_expression_filter,rank_score
immune cells,ZFP36L1,0.8544388551198977,0.521518847631611,0.33292000748828665,up_in_CKD,1.6720132934405847,4.750510753944435,4.9921280582326774e-05,0.018147853764634087,0.4408086096567772,0.2919212491513917,0.14888736050538548,14,18,True,0.9692191289805179
immune cells,TNF,0.25039619558016385,0.09035089815075396,0.16004529742940987,up_in_CKD,2.2837882496908795,6.038949891114951,6.255566056040573e-06,0.0036818474501267373,0.13830715532286214,0.05974202308214528,0.07856513224071686,14,18,True,0.8896262455875192
immune cells,MAP3K1,0.24691186746053856,0.10157589464386622,0.14533597281667232,up_in_CKD,2.0484124772833825,5.54637175030882,1.1290661587658215e-05,0.005980824738148094,0.14688772542175685,0.08214528173794976,0.06474244368380709,14,18,True,0.6618760582934463
immune cells,SP1,0.11777238334177516,0.04806658864927342,0.06970579469250174,up_in_CKD,2.079418602624777,5.924660653061056,1.8574372941386089e-06,0.0013308902891996813,0.07547993019197208,0.04005431093007468,0.0354256192618974,14,18,True,0.4168484656423887
immune cells,CD180,0.06597246060230627,0.0016328393944419874,0.06433962120786428,up_in_CKD,2.6667702889233014,6.598015658415824,1.5096962799914152e-05,0.0077285331353745546,0.04508435136707388,0.0033944331296673455,0.04168991823740653,14,18,True,0.36235817164957546
immune cells,ZMIZ2,0.095353132534628,0.04074380594538007,0.054609326589247935,up_in_CKD,2.110659817958322,5.96495040210645,1.8067947601148603e-06,0.0013308902891996813,0.05977312390924956,0.03598099117447386,0.0237921327347757,14,18,True,0.33147628505006793
immune cells,MAPK8IP3,0.056791552749442496,0.017920103060610662,0.038871449688831834,up_in_CKD,2.32433484933598,6.437572929562499,7.283953480548539e-07,0.0007299702569155131,0.03664921465968586,0.018329938900203666,0.018319275759482195,14,18,True,0.28340121006582125
immune cells,TLR7,0.058109502438637405,0.003707907989668168,0.054401594448969234,up_in_CKD,2.323782367104982,5.975497792780854,1.5215289074496832e-05,0.0077285331353745546,0.037667248400232695,0.0033944331296673455,0.034272815270565346,14,18,True,0.2669814162732502
immune cells,TP53,0.1323057548033694,0.05598580396140815,0.07631995084196125,up_in_CKD,1.8211472035635519,4.9588018943611365,4.478274264046482e-05,0.016441030664439957,0.08885980221058755,0.05295315682281059,0.03590664538777696,14,18,True,0.24796778206376313
immune cells,KIF22,0.1561370844276227,0.08296521394245737,0.07317187048516532,up_in_CKD,1.5528777434138492,4.427590214946999,0.00012055118966359771,0.034110325298208496,0.10383944153577661,0.07196198234894773,0.03187745918682888,14,18,True,0.16670373295216204
immune cells,MYO1C,0.06739158909728547,0.022770229491200306,0.04462135960608517,up_in_CKD,1.9316840097977024,5.187117410312843,3.197307890472197e-05,0.013320918716708884,0.04057591623036649,0.021045485403937542,0.01953043082642895,14,18,True,0.16165458904580313
immune cells,CCR2,0.08812734542849622,0.030274483353443807,0.057852862075052414,up_in_CKD,1.6634575282956736,4.618838473597028,8.570188170530307e-05,0.026208442909383272,0.05962769051774287,0.028513238289205704,0.03111445222853717,14,18,True,0.15220254120023333
immune cells,FAM199X,0.09401941212309997,0.04665948211592298,0.04735993000717699,up_in_CKD,1.7205556325719653,4.836021818149697,4.250180030317277e-05,0.01575966755241646,0.056719022687609075,0.035302104548540394,0.02141691813906868,14,18,True,0.14687358924256183
immune cells,ARHGAP17,0.07154229831312142,0.026713735450722784,0.04482856286239864,up_in_CKD,1.7412252378167665,4.897689142694474,3.565659365223654e-05,0.014065388219414159,0.04392088423502036,0.02376103190767142,0.02015985232734894,14,18,True,0.14454902652161314
immune cells,IQCB1,0.08175013423765545,0.04640676941048977,0.035343364827165685,up_in_CKD,1.673309990347202,4.905450577810552,3.101812728034971e-05,0.013165649010056457,0.050319953461314716,0.03801765105227427,0.012302302409040448,14,18,True,0.11121694647183757
immune cells,RABGAP1,0.08696405617435485,0.040144392985865196,0.04681966318848965,up_in_CKD,1.5338456801581752,4.472151917610836,0.00010330326053483386,0.029693681400245267,0.053810354857475276,0.034623217922606926,0.01918713693486835,14,18,True,0.1096843152808772
