patient,condition.l1,n_immune_cells,n_SPP1_positive,fraction_SPP1_positive,mean_SPP1_expression
1153EO1,Ref,107,6,0.056074766355140186,0.10765434935993337
1153EO2,Ref,63,2,0.031746031746031744,0.053817514984038764
1153EO3,Ref,244,10,0.040983606557377046,0.09912076590620532
1157EO1,Ref,76,5,0.06578947368421052,0.14259565954400583
1157EO2,Ref,40,2,0.05,0.12258121961377907
1157EO3,Ref,70,2,0.02857142857142857,0.06778711237487042
1158EO1,Ref,15,0,0.0,0.0
1158EO2,Ref,34,3,0.08823529411764706,0.1651426399535563
1158EO3,Ref,32,0,0.0,0.0
1162EO1,Ref,17,1,0.058823529411764705,0.12106943352477571
1162EO2,Ref,45,6,0.13333333333333333,0.23096326813003054
27-10039,CKD,144,25,0.1736111111111111,0.36456359588408066
28-10051,CKD,8,0,0.0,0.0
29-10006,CKD,1099,217,0.19745222929936307,0.6542637938653472
29-10008,CKD,83,2,0.024096385542168676,0.04422741251539754
29-10010,CKD,366,36,0.09836065573770492,0.18227888284199217
29-10011,CKD,657,62,0.0943683409436834,0.17061022381123286
29-10012,CKD,1504,296,0.19680851063829788,0.414188491352746
29-10013,CKD,449,41,0.09131403118040089,0.19901368262204083
29-10016,CKD,409,64,0.15647921760391198,0.28943354045051467
30-10018,AKI,924,208,0.22510822510822512,0.7169697722407156
30-10034,AKI,214,6,0.028037383177570093,0.023806217727721943
30-10123,AKI,97,21,0.21649484536082475,0.599700085678941
30-10125,AKI,1822,109,0.05982436882546652,0.12763900490348584
31-10000,CKD,183,62,0.33879781420765026,0.8887516670943952
31-10001,CKD,313,11,0.03514376996805112,0.06223728206304791
31-10013,CKD,223,37,0.16591928251121077,0.38456936047959206
31-10035,CKD,493,45,0.09127789046653144,0.21286704727262565
31-10040,CKD,713,134,0.1879382889200561,0.30630973051665616
31-10042,CKD,240,11,0.04583333333333333,0.07181523951104235
32-10003,AKI,517,108,0.20889748549323017,0.4097744983231397
32-10034,AKI,766,62,0.08093994778067885,0.124586819998404
32-10074,AKI,1918,413,0.21532846715328466,0.4807610000962846
33-10005,AKI,419,145,0.3460620525059666,0.7813827791367854
33-10006,AKI,146,13,0.08904109589041095,0.13918816715863191
34-10050,AKI,1652,409,0.24757869249394673,0.48164191385004257
34-10184,AKI,79,10,0.12658227848101267,0.2347903227036487
34-10187,AKI,265,66,0.2490566037735849,0.4690635013372646
PRE018,Ref,96,5,0.052083333333333336,0.17204791746229506
PRE019,Ref,218,18,0.08256880733944955,0.18719884856161842
PRE027,Ref,44,5,0.11363636363636363,0.26305702867292724
PRE038,Ref,80,11,0.1375,0.22132135678880652
PRE055,Ref,119,1,0.008403361344537815,0.013305841869715356
PRE062,Ref,114,5,0.043859649122807015,0.15306832871858514
PRE098,Ref,59,6,0.1016949152542373,0.22551040628384747
