predicted.subclass.l3,n_immune_cells,n_SPP1_positive,fraction_SPP1_positive,mean_SPP1_expression
C-TAL,11,11,1.0,2.298761116661073
M-TAL,2,2,1.0,3.7072988892593024
dDCT,2,2,1.0,5.933146750014332
DTL1,1,1,1.0,2.991754899830457
DTL2,1,1,1.0,2.8319801935291387
PEC,1,1,1.0,0.9225183958684895
POD,1,1,1.0,0.3090232940865666
PT-S1,1,1,1.0,2.778578101344809
PT-S3,1,1,1.0,2.8210062032576912
cycDCT,1,1,1.0,1.8111431547150096
tPC-IC,1,1,1.0,2.392316350960767
aTAL2,15,13,0.8666666666666667,4.2336298352203245
DCT1,14,12,0.8571428571428571,3.822131273753861
dCNT,6,5,0.8333333333333334,3.5836913036318934
aTAL1,22,17,0.7727272727272727,2.6465283669406903
aPT,102,78,0.7647058823529411,2.2414758832131203
PapE,12,9,0.75,1.9632576572197202
MD,4,3,0.75,2.6102431243283464
CNT,14,10,0.7142857142857143,2.2032199100987238
dC-TAL,7,5,0.7142857142857143,3.137754420568124
dM-TAL,10,7,0.7,1.8868121785599339
cycPT,3,2,0.6666666666666666,0.7889934946589235
dPT,105,53,0.5047619047619047,1.3535775188466708
dC-IC-A,6,3,0.5,1.7873604124188995
IMCD,27,13,0.48148148148148145,1.4355966414556032
dIMCD,18,8,0.4444444444444444,1.5536777894439702
dOMCD-PC,15,6,0.4,0.9723573738362679
CCD-IC-A,3,1,0.3333333333333333,0.21797286405886576
dFIB,3,1,0.3333333333333333,0.03277423643413286
CCD-PC,8,2,0.25,0.37868961113907496
dPT/DTL,68,16,0.23529411764705882,0.4888058640157864
MAC-M2,790,185,0.23417721518987342,0.6061891271497056
cycMNP,175,40,0.22857142857142856,0.4480324642028029
MDC,2173,447,0.20570639668660837,0.4587381702063047
PL,658,134,0.20364741641337386,0.6165173366931479
ncMON,2469,482,0.19522073714054272,0.4925946666103431
N,544,106,0.1948529411764706,0.4324268754896755
MAST,58,11,0.1896551724137931,0.5658299677557919
cDC,187,28,0.1497326203208556,0.1959389030495778
pDC,110,15,0.13636363636363635,0.18091364913345243
T,4914,582,0.11843711843711843,0.20448670022866208
B,1199,108,0.09007506255212677,0.16330193097986287
NKT,3397,276,0.08124816014130115,0.1461231434597277
EC-AVR,1,0,0.0,0.0
EC-GC,1,0,0.0,0.0
EC-PTC,4,0,0.0,0.0
IC-B,1,0,0.0,0.0
OMCD-PC,1,0,0.0,0.0
VSMC,1,0,0.0,0.0
VSMC/P,3,0,0.0,0.0
aFIB,1,0,0.0,0.0
dEC,3,0,0.0,0.0
dVSMC,1,0,0.0,0.0
