sc.subclass.l2,n_immune_cells,n_SPP1_positive,fraction_SPP1_positive,mean_SPP1_expression
M-TAL,6,6,1.0,3.508967708691507
EC-AEA,1,1,1.0,3.2366869342369955
POD,1,1,1.0,0.3090232940865666
PT-S3,1,1,1.0,0.7730753990964555
DCT1,10,9,0.9,4.692690850054799
iCNT,10,9,0.9,2.411315699353792
iPT,13,11,0.8461538461538461,2.384611600350502
iC-TAL,90,76,0.8444444444444444,3.1304269269524094
ATL/TAL,12,10,0.8333333333333334,3.410841536907011
aPT,123,99,0.8048780487804879,2.2890066508011775
PT-S1/S2,5,4,0.8,1.6330498661173052
PT/DTL,44,34,0.7727272727272727,2.1433233722441147
iDCT,4,3,0.75,2.2242661169455373
iATL/TAL,31,22,0.7096774193548387,2.199173914626902
iPT/DTL,17,12,0.7058823529411765,2.118387567714227
C-TAL,13,9,0.6923076923076923,1.9486054360427305
DTL1,28,19,0.6785714285714286,1.838936536408697
CNT,12,8,0.6666666666666666,1.7029149414216542
PEC,6,4,0.6666666666666666,0.9205685984832089
CNT-IC-A,14,8,0.5714285714285714,1.59158587440388
CNT-PC,2,1,0.5,1.311380798068727
iCNT-PC,72,28,0.3888888888888889,1.1321609515238538
NA,996,350,0.3514056224899598,0.8808015717208384
iIC-A,3,1,0.3333333333333333,0.21797286405886576
tPC-IC,3,1,0.3333333333333333,0.45794545034742384
MDC,1329,383,0.28818660647103084,0.8021879999493389
MAC-M2,892,244,0.273542600896861,0.7751662550420175
PC,23,6,0.2608695652173913,0.7108118358291944
cycMNP,207,50,0.24154589371980675,0.5739313561352205
iPC,11,2,0.18181818181818182,0.5630868160968071
cDC,1676,290,0.1730310262529833,0.3415625488550815
MAST,31,5,0.16129032258064516,0.3717135082499035
FIB,14,2,0.14285714285714285,0.06073395560748501
MAC-M1,367,42,0.11444141689373297,0.184362866186922
cycT,230,26,0.11304347826086956,0.1300073624481252
T,4349,443,0.10186249712577604,0.16668315938767583
pDC,207,21,0.10144927536231885,0.1317109993482812
MON,1329,130,0.09781790820165538,0.14256628978098174
NK2,204,18,0.08823529411764706,0.1472847929691273
B,1141,88,0.07712532865907099,0.12890134770987097
T-CYT,947,67,0.07074973600844774,0.10765421179324443
T-REG,241,17,0.07053941908713693,0.10967828970119717
NK1,791,51,0.06447534766118837,0.09955283274310772
NKT,1252,71,0.05670926517571885,0.076627808917582
PL,406,18,0.04433497536945813,0.06120923960163009
EC-GC,1,0,0.0,0.0
EC-PTC,6,0,0.0,0.0
IC-A,2,0,0.0,0.0
IC-B,1,0,0.0,0.0
cycEPI,1,0,0.0,0.0
iEC-PTC,1,0,0.0,0.0
