gene,knn_permutation_importance_mean,knn_permutation_importance_std
ABHD10,0.0,0.0
ABHD2,0.0,0.0
ABRACL,0.0,0.0
AC245060.5,0.0,0.0
ACER3,0.0,0.0
ADAMTS1,0.0,0.0
ADAMTS8,0.0,0.0
ADRA2C,0.0,0.0
AGAP9,0.0,0.0
AGRN,0.0,0.0
AL355488.1,0.0,0.0
AMOTL2,0.0,0.0
ANKRD10,0.0,0.0
APOBEC3H,0.0,0.0
ARHGAP24,0.0,0.0
ARHGEF12,0.0,0.0
ARID5B,0.0,0.0
ARMC2,0.0,0.0
B3GAT3,0.0,0.0
BEX4,0.0,0.0
BHLHE41,0.0,0.0
BHMT2,0.0,0.0
BOK,0.0,0.0
BRSK2,0.0,0.0
BTG2,0.0,0.0
BUB3,0.0,0.0
C11orf96,0.0,0.0
C19orf33,0.0,0.0
C1QB,0.0,0.0
C1QTNF6,0.0,0.0
C4orf48,0.0,0.0
C6orf132,0.0,0.0
C6orf62,0.0,0.0
CAMK2N1,0.0,0.0
CAMSAP3,0.0,0.0
CASC15,0.0,0.0
CCDC107,0.0,0.0
CCDC198,0.0,0.0
CCDC91,0.0,0.0
CCNL1,0.0,0.0
CD24,0.0,0.0
CD74,0.0,0.0
CDC5L,0.0,0.0
CDH16,0.0,0.0
CDH6,0.0,0.0
CDKN1A,0.0,0.0
CEBPB,0.0,0.0
CEBPD,0.0,0.0
CLCN3,0.0,0.0
CLDN15,0.0,0.0
CLSTN1,0.0,0.0
CNN1,0.0,0.0
COL1A2,0.0,0.0
COL3A1,0.0,0.0
COX6A2,0.0,0.0
CPM,0.0,0.0
CPNE8,0.0,0.0
CREM,0.0,0.0
CRNDE,0.0,0.0
CSDC2,0.0,0.0
CSRNP1,0.0,0.0
CSRP1,0.0,0.0
CTSD,0.0,0.0
CXADR,0.0,0.0
CYBA,0.0,0.0
CYLD,0.0,0.0
DACT1,0.0,0.0
DAPK1,0.0,0.0
DDIT4,0.0,0.0
DDIT4L,0.0,0.0
DENND3,0.0,0.0
DES,0.0,0.0
DGKG,0.0,0.0
DHRS7,0.0,0.0
DPYSL2,0.0,0.0
DUSP1,0.0,0.0
DUSP2,0.0,0.0
DYNLT1,0.0,0.0
EGR1,0.0,0.0
EGR3,0.0,0.0
EIF1,0.0,0.0
ELL2,0.0,0.0
ELN,0.0,0.0
EPB41L4A,0.0,0.0
EPS8L2,0.0,0.0
EVA1B,0.0,0.0
FAM3C,0.0,0.0
FANCC,0.0,0.0
FBXO32,0.0,0.0
FBXW4,0.0,0.0
FCGBP,0.0,0.0
FGF13,0.0,0.0
FHOD1,0.0,0.0
FIBIN,0.0,0.0
FILIP1,0.0,0.0
FKBP5,0.0,0.0
FLNC,0.0,0.0
FLRT3,0.0,0.0
FN1,0.0,0.0
FOLR1,0.0,0.0
FOXO3,0.0,0.0
FTX,0.0,0.0
GADD45B,0.0,0.0
GADD45G,0.0,0.0
GATA6,0.0,0.0
GK5,0.0,0.0
GLS,0.0,0.0
GLUL,0.0,0.0
GNAS,0.0,0.0
GNG7,0.0,0.0
HAPLN2,0.0,0.0
HDAC6,0.0,0.0
HLA-DQB1,0.0,0.0
HLA-DRA,0.0,0.0
HNF1B,0.0,0.0
HNMT,0.0,0.0
HNRNPA1,0.0,0.0
HOXA9,0.0,0.0
HRH2,0.0,0.0
ID1,0.0,0.0
IFI44,0.0,0.0
IFIT2,0.0,0.0
IFIT3,0.0,0.0
IRS2,0.0,0.0
ITGB8,0.0,0.0
ITM2B,0.0,0.0
ITPRIP,0.0,0.0
JADE1,0.0,0.0
JKAMP,0.0,0.0
JMJD6,0.0,0.0
JPH2,0.0,0.0
JUNB,0.0,0.0
JUND,0.0,0.0
KCNA5,0.0,0.0
KCNJ15,0.0,0.0
KCNMA1,0.0,0.0
KCTD12,0.0,0.0
KIAA0232,0.0,0.0
KIF12,0.0,0.0
KITLG,0.0,0.0
KLF15,0.0,0.0
KLF9,0.0,0.0
KLHL5,0.0,0.0
LAMP2,0.0,0.0
LINC02532,0.0,0.0
LMBRD1,0.0,0.0
LMOD1,0.0,0.0
LRRC10B,0.0,0.0
MAFF,0.0,0.0
MAP3K1,0.0,0.0
MARCKS,0.0,0.0
MDM4,0.0,0.0
MEF2D,0.0,0.0
MIR99AHG,0.0,0.0
MITF,0.0,0.0
MOXD1,0.0,0.0
MSANTD3,0.0,0.0
MT1A,0.0,0.0
MT1E,0.0,0.0
MT1M,0.0,0.0
MT1X,0.0,0.0
MT2A,0.0,0.0
MTHFD2,0.0,0.0
MTHFR,0.0,0.0
MUC1,0.0,0.0
MYC,0.0,0.0
MYH9,0.0,0.0
NANS,0.0,0.0
NAPSA,0.0,0.0
NEDD4L,0.0,0.0
NEDD9,0.0,0.0
NEXN,0.0,0.0
NFKBIA,0.0,0.0
NPR1,0.0,0.0
NPY1R,0.0,0.0
NR2F1,0.0,0.0
