gene,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score
ZFP36,1.0,1.0,1.0,0.5
KLF9,1.0,1.0,1.0,0.5
MT1A,1.0,1.0,1.0,0.5
MT1M,1.0,1.0,1.0,0.5
RGCC,0.9714285714285715,0.975,1.0,0.475
MT1E,0.9714285714285715,0.975,1.0,0.475
FKBP5,0.9714285714285715,0.975,0.975,0.475
CEBPD,0.9666666666666666,0.9666666666666666,1.0,0.46666666666666656
CDKN1A,0.9666666666666666,0.9666666666666666,0.9666666666666666,0.46666666666666656
TIPARP,0.9666666666666668,0.9666666666666666,1.0,0.46666666666666656
BTG2,0.9666666666666666,0.9666666666666666,1.0,0.46666666666666656
PER1,0.9714285714285715,0.9666666666666666,0.9583333333333333,0.46666666666666656
NR4A1,0.9714285714285715,0.9666666666666666,1.0,0.46666666666666656
HAPLN2,0.9428571428571428,0.95,0.975,0.44999999999999996
MAFF,0.9428571428571428,0.95,0.9166666666666666,0.44999999999999996
TSPYL2,0.9428571428571428,0.95,0.9416666666666668,0.44999999999999996
JUND,0.9380952380952381,0.9416666666666667,1.0,0.44166666666666665
MT2A,0.9380952380952381,0.9416666666666667,1.0,0.44166666666666665
CSRNP1,0.9333333333333333,0.9416666666666667,1.0,0.44166666666666665
CEBPB,0.9380952380952381,0.9416666666666667,0.9666666666666666,0.44166666666666665
NEDD4L,0.9333333333333333,0.9333333333333332,0.9444444444444444,0.43333333333333324
C19orf33,0.9095238095238095,0.9166666666666666,0.8833333333333334,0.41666666666666663
FOXO3,0.9142857142857143,0.9166666666666666,0.9333333333333332,0.41666666666666663
SLC6A17,0.9095238095238095,0.9166666666666666,0.9055555555555556,0.41666666666666663
NR4A3,0.9047619047619048,0.9083333333333334,0.9,0.40833333333333344
KCNA5,0.9047619047619048,0.9083333333333334,0.961111111111111,0.40833333333333344
NPY1R,0.9142857142857143,0.9083333333333332,0.8833333333333332,0.4083333333333332
C4orf48,0.9,0.9083333333333332,0.9,0.4083333333333332
DDIT4,0.9095238095238095,0.9,0.9666666666666666,0.4
PDK4,0.9095238095238095,0.9,1.0,0.4
ELL2,0.9095238095238095,0.9,0.9416666666666667,0.4
MYC,0.9047619047619048,0.8999999999999998,0.9166666666666667,0.3999999999999998
ITGB8,0.8761904761904761,0.8833333333333332,0.961111111111111,0.3833333333333332
BRSK2,0.8857142857142858,0.8833333333333332,0.9333333333333332,0.3833333333333332
ZFAND5,0.880952380952381,0.8833333333333332,0.9833333333333332,0.3833333333333332
PROM1,0.880952380952381,0.8833333333333332,0.9416666666666667,0.3833333333333332
TOB2,0.8761904761904763,0.8833333333333332,0.8833333333333334,0.3833333333333332
ELN,0.9,0.8833333333333332,0.8777777777777779,0.3833333333333332
SYNM,0.8714285714285716,0.875,0.9166666666666666,0.375
GADD45B,0.8761904761904763,0.875,1.0,0.375
PRSS8,0.8714285714285716,0.8666666666666666,0.8722222222222223,0.3666666666666666
SLC39A10,0.8761904761904763,0.8666666666666666,0.9444444444444444,0.3666666666666666
DUSP1,0.8714285714285716,0.8666666666666666,0.9333333333333333,0.3666666666666666
ABHD10,0.8761904761904763,0.8666666666666666,0.9166666666666666,0.3666666666666666
KCNMA1,0.8476190476190476,0.8583333333333334,0.95,0.3583333333333334
GATA6,0.8476190476190476,0.8583333333333332,0.9333333333333332,0.35833333333333317
RHOD,0.8476190476190476,0.8583333333333332,0.8277777777777778,0.35833333333333317
FLNC,0.8761904761904763,0.8583333333333332,0.8597222222222222,0.35833333333333317
SOX4,0.8761904761904763,0.8583333333333332,0.9416666666666667,0.35833333333333317
TSC22D3,0.8714285714285716,0.85,0.9666666666666666,0.35
DUSP2,0.8428571428571429,0.85,0.9083333333333334,0.35
ADAMTS8,0.8523809523809526,0.85,0.925,0.35
RNASE1,0.8476190476190475,0.85,0.9166666666666667,0.35
SLC44A4,0.8761904761904763,0.85,0.85,0.35
WFDC2,0.8428571428571429,0.85,0.9333333333333333,0.35
DYNLT1,0.8428571428571429,0.85,0.9111111111111111,0.35
OGT,0.8428571428571429,0.85,0.8666666666666666,0.35
PCSK1N,0.8428571428571429,0.85,0.9333333333333333,0.35
NR2F2,0.8571428571428571,0.85,0.875,0.35
NFKBIA,0.8666666666666668,0.85,0.9166666666666666,0.35
ADAMTS1,0.8476190476190476,0.85,0.9222222222222222,0.35
FCGBP,0.8523809523809526,0.85,0.875,0.35
ZNF331,0.8476190476190476,0.8499999999999999,0.8194444444444444,0.34999999999999987
NHLRC4,0.8476190476190476,0.8416666666666666,0.8583333333333334,0.34166666666666656
TNFRSF11B,0.8428571428571429,0.8416666666666666,0.8402777777777779,0.34166666666666656
SALL1,0.8523809523809524,0.8416666666666666,0.8972222222222221,0.34166666666666656
BOK,0.8428571428571429,0.8416666666666666,0.8805555555555555,0.34166666666666656
SAMD9L,0.8428571428571429,0.8416666666666666,0.8722222222222221,0.34166666666666656
CPM,0.819047619047619,0.8416666666666666,0.8833333333333332,0.34166666666666656
EPB41L4A,0.8428571428571429,0.8416666666666666,0.8944444444444445,0.34166666666666656
JADE1,0.8142857142857143,0.8416666666666666,0.8833333333333332,0.34166666666666656
GK5,0.8476190476190476,0.8416666666666666,0.8722222222222221,0.34166666666666656
ZBTB16,0.8428571428571429,0.8416666666666666,0.8652777777777778,0.34166666666666656
FANCC,0.8428571428571429,0.8416666666666666,0.8694444444444445,0.34166666666666656
AGAP9,0.8476190476190475,0.8416666666666666,0.875,0.34166666666666656
ARHGAP24,0.8333333333333334,0.8416666666666666,0.9111111111111111,0.34166666666666656
KCNJ15,0.8476190476190476,0.8333333333333333,0.8916666666666666,0.33333333333333326
GADD45G,0.8428571428571429,0.8333333333333333,0.9277777777777778,0.33333333333333326
SMIM24,0.8476190476190476,0.8333333333333333,0.7444444444444445,0.33333333333333326
SLC25A25-AS1,0.8476190476190476,0.8333333333333333,0.8333333333333333,0.33333333333333326
TMEM204,0.8523809523809524,0.8333333333333333,0.9083333333333332,0.33333333333333326
SOX12,0.8476190476190476,0.8333333333333333,0.8055555555555556,0.33333333333333326
TMEM191C,0.8523809523809524,0.8333333333333333,0.8805555555555555,0.33333333333333326
TSC22D1,0.8380952380952381,0.825,1.0,0.32499999999999996
NEXN,0.8142857142857143,0.825,0.8583333333333334,0.32499999999999996
NEDD9,0.8,0.825,0.9,0.32499999999999996
CREM,0.819047619047619,0.825,0.8472222222222223,0.32499999999999996
HLA-DRA,0.819047619047619,0.825,0.9,0.32499999999999996
NUDT4,0.8190476190476191,0.825,0.8722222222222221,0.32499999999999996
SPON2,0.8238095238095238,0.825,0.7666666666666666,0.32499999999999996
SPAG17,0.8238095238095238,0.825,0.9,0.32499999999999996
RUNX1T1,0.8238095238095238,0.825,0.9333333333333332,0.32499999999999996
PNRC1,0.8095238095238095,0.825,0.9055555555555556,0.32499999999999996
FN1,0.819047619047619,0.8249999999999998,0.8222222222222222,0.32499999999999984
TM4SF1,0.8142857142857143,0.8249999999999998,0.9583333333333333,0.32499999999999984
