cell_class,gene,diff_mean_log_expr,direction,cohen_d,adj_p_value,rank_score,pct_expr_case,pct_expr_control,random_forest_importance,knn_permutation_importance_mean,knn_permutation_importance_std,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score,traditional_score_scaled,rf_score_scaled,knn_score_scaled,combined_ml_biomarker_score
stroma cells,NEDD4L,0.06578980788367374,up_in_CKD,1.9183321668806288,0.008504026675094941,0.26129525501833634,0.07383040935672515,0.039301310043668124,0.015136773556903833,0.0,0.0,0.9333333333333333,0.9333333333333332,0.9444444444444444,0.43333333333333324,0.00805502543005518,0.3501225315727172,0.8666666666666665,0.4883266843817646
stroma cells,C4orf48,0.18492225339274476,up_in_CKD,2.0879135638781268,0.029756729417817148,0.5893513219528277,0.1695906432748538,0.05589519650655022,0.009043778836638677,0.0,0.0,0.9,0.9083333333333332,0.9,0.4083333333333332,0.018168105981233865,0.20918795735194826,0.8166666666666664,0.4139754708036927
stroma cells,WFDC2,0.3088553466566586,up_in_CKD,1.6829895658832135,0.11462615361331559,0.48898462908062607,0.23684210526315788,0.11877729257641921,0.01404427395838578,0.0,0.0,0.8428571428571429,0.85,0.9333333333333333,0.35,0.01507407251568399,0.324852369226868,0.7,0.41295576219388397
stroma cells,PROM1,0.06374743315663192,up_in_CKD,2.228952308708019,0.011042045243408235,0.27806307050055845,0.06652046783625731,0.013100436681222707,0.008291338999976678,0.0,0.0,0.880952380952381,0.8833333333333332,0.9416666666666667,0.3833333333333332,0.008571931793725252,0.19178357857347972,0.7666666666666664,0.38509448445480354
stroma cells,RNASE1,0.10067322336192666,up_in_CKD,1.3593643291908881,0.08278698298851556,0.14807861173578793,0.08845029239766082,0.025327510917030567,0.008866803024099684,0.0,0.0,0.8476190476190475,0.85,0.9166666666666667,0.35,0.004564862776001564,0.20509440205891621,0.7,0.36295073337876677
stroma cells,NPY1R,0.24575754012558343,up_in_CKD,1.6205301705369093,0.061003031256272926,0.4837429187572119,0.30116959064327486,0.2244541484716157,0.0035185900379285846,0.0,0.0,0.9142857142857143,0.9083333333333332,0.8833333333333332,0.4083333333333332,0.014912484774838405,0.08138707017151726,0.8166666666666664,0.3622039916902412
stroma cells,C19orf33,0.0541633376172522,up_in_CKD,1.6082719843668558,0.13802717569057796,0.07491714902085891,0.05043859649122807,0.005240174672489083,0.0011103603399513432,0.0,0.0,0.9095238095238095,0.9166666666666666,0.8833333333333334,0.41666666666666663,0.0023094929162334175,0.025683291866673532,0.8333333333333333,0.34406854866324943
stroma cells,RUNX1T1,0.19584133560791417,up_in_CKD,2.384627018559714,0.0084860445565171,0.9673123106480938,0.20029239766081872,0.09606986899563319,0.007984094568827042,0.0,0.0,0.8238095238095238,0.825,0.9333333333333332,0.32499999999999996,0.029819620186095797,0.18467683302818044,0.6499999999999999,0.3398346572484913
stroma cells,PRSS8,0.027893572062200767,up_in_CKD,1.8167525441539691,0.020318342210301075,0.08574897683844056,0.03654970760233918,0.025327510917030567,0.0029126289780854967,0.0,0.0,0.8714285714285716,0.8666666666666666,0.8722222222222223,0.3666666666666666,0.0026434088479194958,0.06737083219919304,0.7333333333333332,0.3208103479825944
stroma cells,ITGB8,0.09725011420336555,up_in_CKD,1.9352040005284592,0.06351547130407806,0.22529664888498954,0.07967836257309942,0.013100436681222707,0.0011321877996737163,0.0,0.0,0.8761904761904761,0.8833333333333332,0.961111111111111,0.3833333333333332,0.006945285845115912,0.0261881739293581,0.7666666666666664,0.31853099340743296
