gene,random_forest_importance
MT1E,0.04323278907218819
CEBPD,0.04114193548387097
MT1A,0.0382
FKBP5,0.037
BTG2,0.034
KLF9,0.032107826086956524
MT1M,0.031
TIPARP,0.028
PDK4,0.02661574601096915
RGCC,0.025222910216718266
DDIT4,0.024153700195738006
MT2A,0.019861297539149888
JUND,0.01950785745744047
CSRNP1,0.01889473684210526
CDKN1A,0.018752428770696234
NR4A1,0.01854544494983741
PER1,0.017482294254707712
TSPYL2,0.017165142263644288
CEBPB,0.0158925
NEDD4L,0.015136773556903833
ZFAND5,0.014756077986540111
WFDC2,0.01404427395838578
GADD45B,0.013744670981380207
HAPLN2,0.013260660406799416
DUSP1,0.013059146876076212
TSC22D1,0.011475701518762762
ADAMTS1,0.010875925868875983
ELN,0.01041843719578017
EPS8L2,0.009773660555443665
BRSK2,0.009368025421527593
SLC6A17,0.009212879879286867
C4orf48,0.009043778836638677
RNASE1,0.008866803024099684
ZFP36,0.008617193788685874
PROM1,0.008291338999976678
RUNX1T1,0.007984094568827042
NFKBIA,0.006705882352941176
ADAMTS8,0.006642502836284712
FOXO3,0.006239506133310511
C11orf96,0.006122925713399504
SLC25A4,0.005678778283170744
NR4A3,0.005676649625209228
DYNLT1,0.00540557298165994
TSC22D3,0.004964469443599879
FLRT3,0.004936078952896097
MT1X,0.004748119566517155
EGR1,0.004592801611698776
JADE1,0.004470497852556922
EPB41L4A,0.004224234573218591
RHOB,0.004105960264900663
TNFSF10,0.004100795966420967
CREM,0.003983493779221985
KIF12,0.00396736925046784
ELL2,0.003892173913043478
CDC5L,0.003888701251257955
IFIT3,0.0038699309224253255
TMEM204,0.0037762408868470994
SERPINA1,0.003775148601641502
MYC,0.0036325905516196265
MIR99AHG,0.003614142502669144
NPY1R,0.0035185900379285846
AGAP9,0.00339063823311542
TNFRSF11B,0.0030111252383979658
JMJD6,0.0030001953947136712
PALLD,0.003000000000000001
CDH6,0.0029624453551912564
ZNF703,0.002958609632109732
PRSS8,0.0029126289780854967
NHLRC4,0.002894039735099337
GADD45G,0.0027971915694860066
MUC1,0.0027843368685467112
PKHD1,0.0027832339188938082
EGR3,0.0027415042752679305
SAMD9,0.002703600065290779
TOB2,0.002671021334237323
XBP1,0.002657320817921699
SPRY2,0.002647116066187129
ZBTB16,0.0026401651158209183
TBC1D1,0.0025690635451505028
SPON2,0.0024555802826918592
KCTD12,0.002406046637698751
STAT1,0.0023496316182648113
FAM3C,0.002343130008908607
LRRC10B,0.0021999999999999993
AGRN,0.002191143269931052
RRAD,0.0021354279523293613
SPINT2,0.002112659865269641
FBXO32,0.0021105121293800554
SOX4,0.0021051249965828075
CAMK2N1,0.00201243586231347
PAX8,0.0020037780555607378
LMOD1,0.0020000000000000005
KCNA5,0.0019999999999999996
SAMD9L,0.0019895359432456658
SLC16A4,0.001987934782608695
PTP4A1,0.001963284068738809
HLA-DRA,0.001956524685000686
BOK,0.0019075717366849555
FGF13,0.0018947804473902238
PTBP3,0.0018938879456706283
MITF,0.0018894878706199466
DUSP2,0.001880434782608698
TM4SF1,0.0018781705255560411
PAX2,0.0018677685950413215
DENND3,0.001866975038503194
ABRACL,0.001807065487274985
SLC35A1,0.0017499352063031308
TMEM139,0.001694039735099338
CRNDE,0.0016731022920903646
TMSB10,0.0014285727627855013
RIC3,0.0014150016597167907
SERINC2,0.0013961142156348003
BUB3,0.0013890321042593769
SLC39A10,0.0013359972653238174
GLS,0.001326338158064738
FANCC,0.0012659960215970448
ZNF331,0.001238244514106583
ANKRD10,0.0012032786885245908
ADRA2C,0.0012008838891120932
PCSK1N,0.0011999999999999997
ZEB2,0.0011785464508733468
C1QTNF6,0.0011387024608501119
SLC44A4,0.0011322916666666673
ITGB8,0.0011321877996737163
C19orf33,0.0011103603399513432
SLC40A1,0.0011080242878342495
MAFF,0.0011076532677848454
SALL1,0.0011075000000000015
ODC1,0.0011074999999999991
RAB3IP,0.0011061120543293709
PDGFB,0.001105960264900662
CSRP1,0.0011052195526097767
DAPK1,0.0010956643365023179
HOXA9,0.001069417776018211
CASC15,0.0010308763738935908
BEX4,0.0010030121293800533
KLF15,0.0010022804473902227
CD74,0.0010000000000000007
DACT1,0.001
PCDH18,0.001
CD24,0.001
IRS2,0.0009962503056816041
ABHD10,0.0009960701550105532
EVA1B,0.0009756974993182113
JKAMP,0.0009601968583563662
KLHL5,0.0009123399656847946
DGKG,0.0009028333658047808
CLSTN1,0.000901984469370146
NR4A2,0.0008947368421052627
COX6A2,0.000894039735099338
FBXW4,0.0008940397350993377
RGS2,0.0008901098901098924
ABHD2,0.0008901098901098907
FILIP1,0.0008894878706199461
SPAG17,0.0008867761452031122
KIAA0232,0.0008804347826086955
SLC19A2,0.0008666666666666685
DHRS7,0.0008645720476706393
GNG7,0.0008645720476706392
FTX,0.0008645720476706392
WDR72,0.0008644940177367841
PMEPA1,0.0008612975391498887
NEDD9,0.000856643356643357
CDH16,0.000794011976047905
ARID5B,0.0007940119760479038
NEXN,0.0007821205821205827
CXADR,0.0007821205821205823
CLCN3,0.0007634367883734619
OGT,0.000543750365903636
HNF1B,0.0005375635057147307
RYK,0.0004968490522195228
SPP1,0.00047016946057796844
HDAC6,0.0004658150553426605
TMEM116,0.0004532786885245906
HRH2,0.00042538107958923837
IFIT2,0.00040833049748825186
MDM4,0.0004049016365398873
UHMK1,0.0003866812727366969
RAP1GAP,0.0003603273838320146
RUFY3,0.0003455954013164535
PLAU,0.00033981241475849463
COL3A1,0.0003252161968466301
ARHGAP24,0.00032126532211421816
WFDC1,0.00031699042081414553
AMOTL2,0.00030837879125972055
CYBA,0.0002883957123838537
GK5,0.0002709338658087895
PJVK,0.0002666666666666664
PCMTD1,0.00026561631249814817
C6orf62,0.00025118273031316516
DPYSL2,0.0002465285478066336
NR2F1,0.00023669197221773552
NR2F2,0.0002221653559349664
SESN1,0.0002160021642194808
RASSF7,0.00021510966249988533
OSGEPL1,0.0002136120543293719
RBM24,0.00021346026490066123
HLA-DQB1,0.0002132867132867137
KITLG,0.0002124522570122932
ITPRIPL2,0.00021117981751043853
KCNMA1,0.00021043910521955245
CCDC107,0.00020690794267670624
TPM1,0.00020598802395209508
MSANTD3,0.0002032786885245906
SOX13,0.00020088388911209358
ITPRIP,0.0002000000000000005
NAPSA,0.00018478260869565248
LMBRD1,0.00014969325153374246
CCDC198,0.000143356643356643
HNMT,0.00014294430401813027
CSDC2,0.00013870246085011243
PTMS,0.00013542795232936156
PDGFA,0.00013542795232936126
PTK7,0.00013542795232936077
AC245060.5,0.00013542795232936075
BHLHE41,0.00013495276653171427
C1QB,0.00013495276653171392
SLC44A3,0.00013238042880703735
CTSD,0.00013229166666666763
SOX12,0.00013223140495867804
KCNJ15,0.00013171285042942803
CYLD,0.00013157894736842146
PLEKHH2,0.00012500000000000008
SRSF6,0.00011956521739130489
SLFN11,0.00011956521739130439
SLC7A8,0.00011433926897844468
RHOD,0.00011433926897844377
MTHFD2,0.00011322385479688865
TMEM181,0.00011322385479688815
PPP3R1,0.00011051212938005424
FOLR1,0.00010989010989011036
CCNL1,0.00010989010989010927
CPM,0.0001078260869565217
USP2,0.00010782608695652116
NANS,0.00010750000000000044
TMEM176A,0.00010611205432937215
LAMP2,0.00010611205432937214
ARHGEF12,0.0001061120543293718
NPR1,0.00010611205432937119
SRGN,0.00010596026490066219
ID1,0.00010526315789473705
GLUL,0.00010526315789473692
GATA6,0.00010526315789473685
BHMT2,0.00010521955260977631
MOXD1,0.00010485036119711089
SENP1,0.00010483870967741934
SLC3A1,2.6459630379288025e-18
LINC02532,1.732290946325407e-18
STARD4-AS1,1.7053896421398968e-18
MTHFR,1.3212428705831643e-18
SMIM24,1.2335811384723956e-18
CLDN15,1.2335811384723952e-18
DES,9.767221325282548e-19
CAMSAP3,9.360703933114064e-19
UNC45B,9.36070393311406e-19
CPNE8,9.297306264697213e-19
SYNM,8.476758389869481e-19
PPIF,6.552492753179839e-19
ACER3,6.26659218343977e-19
NUDT4,6.266592183439769e-19
PNRC1,6.01987595574529e-19
FN1,5.616422359868439e-19
ARMC2,4.843861937068277e-19
MAP3K1,4.843861937068275e-19
APOBEC3H,4.710581902053298e-19
TPD52L1,4.454598555594761e-19
B3GAT3,4.368328502119895e-19
IFI44,4.1941758708061485e-19
C6orf132,3.7442815732456244e-19
TOB1,2.6727591333568585e-19
MYH9,1.278438634416847e-19
JPH2,1.1058692088423138e-19
AL355488.1,0.0
MARCKS,0.0
ITM2B,0.0
JUNB,0.0
MEF2D,0.0
HNRNPA1,0.0
NRGN,0.0
GNAS,0.0
FIBIN,0.0
FHOD1,0.0
FCGBP,0.0
FLNC,0.0
EIF1,0.0
NUFIP1,0.0
PFKFB2,0.0
PLEKHO1,0.0
DDIT4L,0.0
SEL1L3,0.0
SESN3,0.0
SFTA2,0.0
SRL,0.0
SNRK,0.0
SLC25A25-AS1,0.0
CCDC91,0.0
CNN1,0.0
COL1A2,0.0
TJP1,0.0
TMEM191C,0.0
