gene,mean_expr_case,mean_expr_control,diff_mean_log_expr,cohen_d,t_stat,p_value,adj_p_value,pct_expr_case,pct_expr_control,pct_expr_diff,n_case_groups,n_control_groups,passes_expression_filter,direction,rank_score,diff_mean_log_expr_CKD_vs_AKI,adj_p_value_CKD_vs_AKI,pct_expr_CKD,pct_expr_AKI,ckd_specificity_score,combined_biomarker_score
PDK4,0.14016515537514515,0.9770571631953469,-0.8368920078202017,-4.135404463522513,-12.912062588997014,1.1590233676988443e-10,7.58132539267898e-07,0.10695033834155293,0.5350577367205542,-0.4281073983790013,15,18,True,down_in_case,21.181510152848258,0.042978575824929185,0.9725079514753338,0.10695033834155293,0.08256701232635492,0.012106839084267055,21.43795128783056
ZFAND5,0.35178824689925225,0.9000471989175567,-0.5482589520183044,-4.088845992895222,-12.176236263512632,6.091375512178555e-13,1.2238062570015618e-08,0.27394196582176855,0.5855427251732102,-0.3116007593514416,15,18,True,down_in_case,17.73734178992397,-0.01941513461258254,1.0,0.27394196582176855,0.28563043295972274,0.0,17.73734178992397
CEBPD,0.4919359181978134,1.3076637403616838,-0.8157278221638704,-2.907898654774179,-8.949724159913794,9.392177782133193e-09,2.9021829346791565e-05,0.3212715525480751,0.6564434180138569,-0.33517186546578176,15,18,True,down_in_case,10.76266108429115,-0.12889516513565208,0.9725079514753338,0.3212715525480751,0.3508399250915393,0.0,10.76266108429115
KLF9,0.16416456627134773,0.5761277252314803,-0.4119631589601325,-3.59877751873338,-11.042265060926027,1.4312102952738095e-10,7.58132539267898e-07,0.12165003631914975,0.4181062355658199,-0.2964561992466701,15,18,True,down_in_case,9.073668031195279,0.048538695297176845,0.9725079514753338,0.12165003631914975,0.09145540431003159,0.012106839084267055,9.18352146995302
GADD45A,0.22046047835645857,0.6222350065225292,-0.4017745281660706,-3.4697994196342106,-10.561000784257116,1.3090586493068697e-10,7.58132539267898e-07,0.16691516611232174,0.4208775981524249,-0.25396243204010316,15,18,True,down_in_case,8.532106689420248,0.019112827924753717,0.9725079514753338,0.16691516611232174,0.15216479861363447,0.012106839084267055,8.635403532158858
PER1,0.0550615697977205,0.34469308321110403,-0.28963151341338356,-4.0638825003683285,-12.599412597490497,5.565193481913014e-11,6.878579143644484e-07,0.044481400772259816,0.30184757505773674,-0.2573661742854769,15,18,True,down_in_case,7.253439239575569,0.004370260783033611,1.0,0.044481400772259816,0.04187047544511837,-0.0,7.253439239575569
NFKBIA,0.28492091859358104,0.7022551607462311,-0.41733424215265,-2.8931668355264857,-8.752890576818201,3.204339540652514e-09,1.1881691016739523e-05,0.20468708185189433,0.4674364896073903,-0.262749407755496,15,18,True,down_in_case,5.9466786222963375,-0.10458288944101041,0.9725079514753338,0.20468708185189433,0.23336221594879392,0.0,5.9466786222963375
HERPUD1,0.5762212359912441,0.8611035200164214,-0.28488228402517735,-3.2627158249406394,-9.619896751052565,9.861970810485038e-11,7.58132539267898e-07,0.3879076346675842,0.564203233256351,-0.1762955985887668,15,18,True,down_in_case,5.688715302880374,0.04464605674498223,0.9725079514753338,0.3879076346675842,0.36506694244905946,0.012106839084267055,5.757587663648555
TSC22D3,0.26753861799374945,0.7158396138307911,-0.44830099583704164,-2.6834224425884963,-8.137852129006424,1.531307793903452e-08,4.055778071281429e-05,0.1821883243491226,0.4274364896073903,-0.24524816525826768,15,18,True,down_in_case,5.28340310629775,-0.05366826482109471,0.9725079514753338,0.1821883243491226,0.1895910780669145,0.0,5.28340310629775
ERRFI1,0.057893996505787054,0.37333356254432404,-0.31543956603853696,-3.339899314850779,-10.396124227151656,2.6569612223997713e-09,1.0946680236287057e-05,0.045284245135145465,0.27681293302540416,-0.2315286878902587,15,18,True,down_in_case,5.226296480737175,0.00648885364294504,1.0,0.045284245135145465,0.04639852419151969,-0.0,5.226296480737175
NR4A1,0.08547374703117039,0.8395070919923092,-0.7540333449611388,-2.2099058886466905,-6.9297981237555355,2.128540184417598e-06,0.0010465240234516762,0.06405551095309095,0.4488683602771363,-0.38481284932404536,15,18,True,down_in_case,4.966119248262925,0.004727444860842964,1.0,0.06405551095309095,0.05081476926517036,-0.0,4.966119248262925
SLC25A33,0.08015389779293706,0.22070924627014665,-0.14055534847720957,-4.287671668178624,-12.955612108748198,6.60089674758124e-13,1.2238062570015618e-08,0.07103261077340674,0.21764434180138567,-0.14661173102797892,15,18,True,down_in_case,4.768380988827694,0.02169501312014456,0.9725079514753338,0.07103261077340674,0.0519048550744892,0.012106839084267055,4.82611101015191
FKBP5,0.08927440880268575,0.5185646827957151,-0.4292902739930293,-2.726710769891713,-8.415242210731183,3.4398858252800024e-08,7.971935400086405e-05,0.05682991168712008,0.33260969976905314,-0.27577978808193304,15,18,True,down_in_case,4.79742622285122,0.0006580737745601334,1.0,0.05682991168712008,0.06884311149621265,-0.0,4.79742622285122
RASD1,0.11915575213630575,0.48421517158008764,-0.3650594194437819,-2.702698715858232,-8.128247532563934,9.25345285766291e-09,2.9021829346791565e-05,0.08745268952861567,0.29293302540415705,-0.20548033587554138,15,18,True,down_in_case,4.4766827373426406,-0.06457320300516947,0.9725079514753338,0.08745268952861567,0.12376666573496939,0.0,4.4766827373426406
SGK1,0.1927379834634464,0.6259850977623299,-0.4332471142988835,-2.5406291290429603,-7.759263225619817,5.8724205658914155e-08,0.00010450156101417017,0.1219749971326987,0.3932101616628175,-0.2712351645301188,15,18,True,down_in_case,4.3818321260349355,-0.029885418899111366,0.9725079514753338,0.1219749971326987,0.14540067641222015,0.0,4.3818321260349355
GABARAPL1,0.3669094375191278,0.6219690898483804,-0.2550596523292526,-2.929729360356549,-8.768546944156,1.513442543537374e-09,7.0148061892957285e-06,0.2762358068585847,0.45861431870669744,-0.18237851184811277,15,18,True,down_in_case,3.8513444318260857,0.01523560055599893,1.0,0.2762358068585847,0.25670123263549205,-0.0,3.8513444318260857
TIPARP,0.04259948079968415,0.2766537383552833,-0.23405425755559914,-3.225158410154999,-10.121835131279502,1.1331916418487035e-08,3.2322112369038404e-05,0.03586038154222579,0.21071593533487298,-0.1748555537926472,15,18,True,down_in_case,3.3897082672575265,0.0014880257992807011,1.0,0.03586038154222579,0.03532996058920536,-0.0,3.3897082672575265
DUSP1,0.5117602669575103,1.128871087650625,-0.6171108206931146,-1.8068163066195797,-5.343143628953072,8.78848512837029e-06,0.002187094151409197,0.2866536682341247,0.5791685912240184,-0.29251492298989373,15,18,True,down_in_case,2.966063439007861,-0.07193354800235385,1.0,0.2866536682341247,0.2812700897224474,0.0,2.966063439007861
KLF6,0.34922605783902966,0.8752952175136584,-0.5260691596746288,-1.982901989656726,-6.108044537054858,4.096574754369677e-06,0.0015343534534548245,0.23509959093168176,0.5161662817551963,-0.28106669082351454,15,18,True,down_in_case,2.9354838464335344,-0.05027461521797605,0.9744581190410875,0.23509959093168176,0.24764513514268943,0.0,2.9354838464335344
CYCS,0.7067783184723455,1.038439379622642,-0.3316610611502966,-2.2762202804915854,-6.777795454244454,1.9000139563559085e-07,0.0002201641171927409,0.45416140994762394,0.6082217090069284,-0.15406029905930446,15,18,True,down_in_case,2.7609836450712977,-0.07898701644325012,0.9725079514753338,0.45416140994762394,0.4828241607736814,0.0,2.7609836450712977
USP2,0.09699924525970591,0.38572904814395853,-0.28872980288425265,-2.4122272997983054,-7.443662520348659,2.4331894987732034e-07,0.00026536078416032464,0.07128111021906182,0.28013856812933025,-0.20885745791026844,15,18,True,down_in_case,2.4907330264354597,0.03160775598907549,0.9725079514753338,0.07128111021906182,0.058277664421276236,0.012106839084267055,2.5208879303883833
