gene,mean_expr_case,mean_expr_control,diff_mean_log_expr,cohen_d,t_stat,p_value,adj_p_value,pct_expr_case,pct_expr_control,pct_expr_diff,n_case_groups,n_control_groups,passes_expression_filter,direction,rank_score
ACPP,0.14722203541951065,0.05887083063097303,0.08835120478853761,1.7342314025543397,4.7568694234339715,8.836772088003213e-05,0.5461125150385986,0.09146691134304392,0.04729295357352489,0.04417395776951903,15,12,True,up_in_case,0.04025400884831658
RALYL,0.10451546343372839,0.042879997290018686,0.061635466143709704,1.7502907990973067,4.797061107935442,7.913032112965536e-05,0.5461125150385986,0.08710861337309324,0.04142326075411577,0.045685352618977465,15,12,True,up_in_case,0.02834200108806678
MT-ND3,5.644924775097455,4.814930413138986,0.8299943619584695,0.987121837613596,2.332291843974382,0.035914062483236954,0.9725079514753338,0.9998470772642123,0.9993850797998715,0.00046199746434083533,15,12,True,up_in_case,0.009919200573166798
MT-ND1,4.152185544694458,3.5144139611148133,0.6377715835796445,1.1830321994586825,2.821398471897851,0.013370847432931444,0.9725079514753338,0.9976488129372635,0.9858288844788551,0.011819928458408402,15,12,True,up_in_case,0.009134662381840507
SPP1,1.377981414124623,1.9928766636992865,-0.6148952495746636,-1.1659660810090624,-2.8438867699260233,0.011295114272266621,0.9725079514753338,0.5271629009442979,0.6202029236660425,-0.09304002272174461,15,12,True,down_in_case,0.008679962013947636
MT-ND4L,3.8356483432546704,2.9999485460632602,0.8356997971914102,0.835229785919046,2.1085028696504535,0.04704541163714661,0.9725079514753338,0.9901364835416906,0.9601419906643933,0.029994492877297274,15,12,True,up_in_case,0.008450590178817366
TMSB10,2.345745541891226,2.9470641729817224,-0.6013186310904963,-1.1493344106249639,-2.90564635409744,0.008351174617692482,0.9725079514753338,0.8455862675383262,0.8928641305866898,-0.047277863048363566,15,12,True,down_in_case,0.008367232554884942
MT-ND2,4.511795116634308,3.8762659950002867,0.6355291216340211,1.0829274979254062,2.6294192580722258,0.018017426567177933,0.9725079514753338,0.9985472340100164,0.9951365402353467,0.0034106937746697374,15,12,True,up_in_case,0.008332313611133645
ADIRF,0.9247773314072244,0.4933151748105573,0.4314621565966671,1.4904168436485108,3.9034240940570095,0.0006451442772954268,0.9725079514753338,0.39587873227052034,0.23526287838555496,0.16061585388496538,15,12,True,up_in_case,0.00778540536465667
RPS4Y1,0.33287389183159843,0.9222620209280211,-0.5893881290964227,-1.0839264501195984,-2.7449223171219104,0.011942292561074463,0.9725079514753338,0.12201322781664564,0.45791989266847416,-0.3359066648518285,15,12,True,down_in_case,0.007734495100538123
MT-ND5,3.630832738873443,2.9736479025943368,0.6571848362791064,0.9025411348522395,2.2723013357504374,0.033764078340400246,0.9725079514753338,0.9892762931528845,0.9653408614472986,0.023935431705585875,15,12,True,up_in_case,0.007181006319576073
FXYD2,2.1623431146745906,1.5020408567238945,0.6603022579506961,0.8926798196849551,2.279981633240198,0.03237759208494534,0.9725079514753338,0.7269946859349313,0.5705061911283785,0.1564884948065528,15,12,True,up_in_case,0.0071362370764120634
CYBA,1.1199173019009803,1.626189660454874,-0.5062723585538937,-1.1065588828305621,-2.6883419119138745,0.015922398352695367,0.9725079514753338,0.5531406506862407,0.665036196439053,-0.11189554575281224,15,12,True,down_in_case,0.0067824955164099004
MT-CO3,5.30242111466784,4.731486704973039,0.570934409694801,0.940191410245536,2.2531151419912185,0.03985438120161833,0.9725079514753338,0.9998088465802654,0.999748441736311,6.040484395430923e-05,15,12,True,up_in_case,0.006498801432304853
MT-ATP8,1.7313162922937149,1.1622717035761505,0.5690445887175644,0.933694348814954,2.3811521226432846,0.026153062610556808,0.9725079514753338,0.7758343846771418,0.6247589233306314,0.1510754613465104,15,12,True,up_in_case,0.006432529671463583
RPS19,2.566890845166836,2.9669596671856144,-0.40006882201877847,-1.287566102085674,-3.1865542191785714,0.0049393245567043095,0.9725079514753338,0.9035630997438544,0.9334768147133633,-0.029913714969508898,15,12,True,down_in_case,0.006236415065425689
SH3BGRL3,0.8112520650811265,1.2072311277506582,-0.39597906266953176,-1.2885499591107386,-3.0865922692405077,0.007634725141430933,0.9725079514753338,0.4635470428565967,0.571959638874137,-0.10841259601754033,15,12,True,down_in_case,0.006177379106823353
PFN1,1.5090995909636633,1.9067630517459409,-0.39766346078227754,-1.255107980779345,-3.001121943615466,0.009185795263614191,0.9725079514753338,0.7126772947968039,0.7777342985717081,-0.0650570037749042,15,12,True,down_in_case,0.0060426515171729785
RPS2,1.6561420736056747,2.0568195336050636,-0.400677459999389,-1.2266766996868674,-3.1238936610862886,0.004892263658340646,0.9725079514753338,0.7507741713499254,0.8215054364535875,-0.07073126510366212,15,12,True,down_in_case,0.005950532043251615
RPL28,2.743907560058385,3.1198967017241563,-0.37598914166577124,-1.2362710603051479,-3.034270229587456,0.007265113891718327,0.9725079514753338,0.9268073555835914,0.9480951449255108,-0.02128778934191944,15,12,True,down_in_case,0.005627555361336959
XIST,0.7499708925363447,0.255124795309524,0.49484609722682077,0.9238337868479783,2.4376743859313716,0.02224595353548925,0.9725079514753338,0.4171541078869901,0.12910529110881291,0.2880488167781772,15,12,True,up_in_case,0.005534708606574698
