gene,elasticnet_coefficient,abs_elasticnet_coefficient,selected_by_model,best_C,best_l1_ratio,rank_score,adj_p_value,diff_mean_log_expr,cohen_d,pct_expr_case,pct_expr_control
PDK4,-0.26640684064354,0.26640684064354,True,0.3593813663804626,0.5,21.181510152848258,7.58132539267898e-07,-0.8368920078202017,-4.135404463522513,0.10695033834155293,0.5350577367205542
ERRFI1,-0.22056865994755998,0.22056865994755998,True,0.3593813663804626,0.5,5.226296480737175,1.0946680236287057e-05,-0.31543956603853696,-3.339899314850779,0.045284245135145465,0.27681293302540416
SLC25A33,-0.21755538850989392,0.21755538850989392,True,0.3593813663804626,0.5,4.768380988827694,1.2238062570015618e-08,-0.14055534847720957,-4.287671668178624,0.07103261077340674,0.21764434180138567
ZFAND5,-0.19690211794938817,0.19690211794938817,True,0.3593813663804626,0.5,17.73734178992397,1.2238062570015618e-08,-0.5482589520183044,-4.088845992895222,0.27394196582176855,0.5855427251732102
PER1,-0.16664750330934086,0.16664750330934086,True,0.3593813663804626,0.5,7.253439239575569,6.878579143644484e-07,-0.28963151341338356,-4.0638825003683285,0.044481400772259816,0.30184757505773674
GABARAPL1,-0.16304624871757056,0.16304624871757056,True,0.3593813663804626,0.5,3.8513444318260857,7.0148061892957285e-06,-0.2550596523292526,-2.929729360356549,0.2762358068585847,0.45861431870669744
HERPUD1,-0.14898538737938016,0.14898538737938016,True,0.3593813663804626,0.5,5.688715302880374,7.58132539267898e-07,-0.28488228402517735,-3.2627158249406394,0.3879076346675842,0.564203233256351
GADD45A,-0.13469254632268488,0.13469254632268488,True,0.3593813663804626,0.5,8.532106689420248,7.58132539267898e-07,-0.4017745281660706,-3.4697994196342106,0.16691516611232174,0.4208775981524249
TIPARP,-0.1325089484216946,0.1325089484216946,True,0.3593813663804626,0.5,3.3897082672575265,3.2322112369038404e-05,-0.23405425755559914,-3.225158410154999,0.03586038154222579,0.21071593533487298
KLF9,-0.12610449295668152,0.12610449295668152,True,0.3593813663804626,0.5,9.073668031195279,7.58132539267898e-07,-0.4119631589601325,-3.59877751873338,0.12165003631914975,0.4181062355658199
DHRS3,-0.12085145349187447,0.12085145349187447,True,0.3593813663804626,0.5,1.6019660596593677,0.00014007138065559184,-0.17286704414496593,-2.4047435568889504,0.15255954429024735,0.3097921478060046
NAP1L5,-0.10281294795156191,0.10281294795156191,True,0.3593813663804626,0.5,0.36589614449238933,8.801405053738058e-05,-0.0356547844893655,-2.5304699323106807,0.027201131628244828,0.07806004618937644
CEBPD,-0.0843606836171824,0.0843606836171824,True,0.3593813663804626,0.5,10.76266108429115,2.9021829346791565e-05,-0.8157278221638704,-2.907898654774179,0.3212715525480751,0.6564434180138569
PIP5K1B,-0.08424502032688588,0.08424502032688588,True,0.3593813663804626,0.5,0.3493713929682095,0.00010450156101417017,-0.036215061075101765,-2.423367817733665,0.030909507971097604,0.08124711316397229
RASD1,-0.08131114887990765,0.08131114887990765,True,0.3593813663804626,0.5,4.4766827373426406,2.9021829346791565e-05,-0.3650594194437819,-2.702698715858232,0.08745268952861567,0.29293302540415705
USP2,-0.07883404760099284,0.07883404760099284,True,0.3593813663804626,0.5,2.4907330264354597,0.00026536078416032464,-0.28872980288425265,-2.4122272997983054,0.07128111021906182,0.28013856812933025
MAP3K1,0.07658387217852172,0.07658387217852172,True,0.3593813663804626,0.5,1.2140945006723722,0.0005733932015604863,0.13422413659194687,2.790419436427797,0.18165309477386551,0.1115473441108545
NFKBIA,-0.07084195386523673,0.07084195386523673,True,0.3593813663804626,0.5,5.9466786222963375,1.1881691016739523e-05,-0.41733424215265,-2.8931668355264857,0.20468708185189433,0.4674364896073903
HSPA9,-0.06707876909283754,0.06707876909283754,True,0.3593813663804626,0.5,0.7034385763222549,0.001674370033871872,-0.1299651737666122,-1.949649250173198,0.32241847306648314,0.4559815242494226
SGK1,-0.06251470133616355,0.06251470133616355,True,0.3593813663804626,0.5,4.3818321260349355,0.00010450156101417017,-0.4332471142988835,-2.5406291290429603,0.1219749971326987,0.3932101616628175
CTH,-0.056338070305475246,0.056338070305475246,True,0.3593813663804626,0.5,0.23777798762933247,0.00013201541416433987,-0.025841980331767843,-2.371832702958535,0.02754520778376725,0.06674364896073903
TSC22D3,-0.051926840265394986,0.051926840265394986,True,0.3593813663804626,0.5,5.28340310629775,4.055778071281429e-05,-0.44830099583704164,-2.6834224425884963,0.1821883243491226,0.4274364896073903
CREM,-0.050574315480207806,0.050574315480207806,True,0.3593813663804626,0.5,2.228063073456282,7.971935400086405e-05,-0.19786146742781602,-2.747565619293845,0.13363535573651414,0.28960739030023097
TBL1XR1,0.04694382085266037,0.04694382085266037,True,0.3593813663804626,0.5,0.937512014911631,0.0011592476120147925,0.13639700676965233,2.3412188763036816,0.27245096914783806,0.22558891454965357
MRPL54,-0.04409714650051119,0.04409714650051119,True,0.3593813663804626,0.5,0.676546408086941,0.0015444530377235067,-0.1242303454291328,-1.9371990539625763,0.3537294032190236,0.5015704387990763
SEMA3B-AS1,-0.04126553468531523,0.04126553468531523,True,0.3593813663804626,0.5,0.2348214334266559,0.00013201541416433987,-0.025693491155990487,-2.3558780896143934,0.025308712772871507,0.06304849884526559
ENPP5,0.04108753286700692,0.04108753286700692,True,0.3593813663804626,0.5,0.21394034498867076,0.003733647928403674,0.0418056667240556,2.107816066503541,0.09014795274687463,0.06775981524249422
CISH,-0.04060246076481306,0.04060246076481306,True,0.3593813663804626,0.5,0.5163987804543416,0.0013112877867301578,-0.09036675561990125,-1.982608833951094,0.07078411132775166,0.17145496535796767
SESN3,0.03963024468158373,0.03963024468158373,True,0.3593813663804626,0.5,0.5309839759809721,0.0015706268160175687,0.08570027922052673,2.209695732166867,0.13048132431089193,0.10147806004618938
ZNF331,-0.03870927869688822,0.03870927869688822,True,0.3593813663804626,0.5,0.7868176946751104,0.0008952444834324765,-0.116435209646604,-2.217004183339205,0.04274190465267424,0.13699769053117783
TMEM159,0.038268331707162685,0.038268331707162685,True,0.3593813663804626,0.5,0.28947728065548956,0.005705841309885092,0.06105681388654785,2.1130966886391542,0.10886187253889971,0.06983833718244804
ELL2,-0.0360756361350278,0.0360756361350278,True,0.3593813663804626,0.5,0.8654135607340565,0.00011999718120382385,-0.08560021840443985,-2.5785225071631612,0.04583859005237604,0.1382448036951501
COX7A1,-0.035293828474568675,0.035293828474568675,True,0.3593813663804626,0.5,2.31054311523934,0.0007657205799389801,-0.3580353553478392,-2.07109735651963,0.26858967006919754,0.4472055427251732
XRCC4,0.027550466630900654,0.027550466630900654,True,0.3593813663804626,0.5,0.1801139266255536,0.0008619969179712013,0.02676569987181758,2.1958864275159127,0.07298237565470046,0.06526558891454966
PGAM2,-0.024913881533715765,0.024913881533715765,True,0.3593813663804626,0.5,0.4922870374210923,9.444459993478599e-05,-0.05007738441051556,-2.442474235423499,0.023416293917498183,0.0727944572748268
ITGB8,0.02168273182139022,0.02168273182139022,True,0.3593813663804626,0.5,1.4808660810546963,0.0027316851941731357,0.24249115091667559,2.3821813502610247,0.2645372175708223,0.1499769053117783
DUSP6,-0.02087409109331988,0.02087409109331988,True,0.3593813663804626,0.5,1.0805233127577947,0.0009719078020632647,-0.177029402703232,-2.0261878768347574,0.1349543143326834,0.27912240184757503
GALNT7,0.018300718763466717,0.018300718763466717,True,0.3593813663804626,0.5,0.32017280247948543,0.0014247982663157335,0.04688668379511397,2.399177568167874,0.08403104331536491,0.059907621247113164
SAMD12,0.01699267412017625,0.01699267412017625,True,0.3593813663804626,0.5,0.3991979420684075,0.001674370033871872,0.05998649851667359,2.3971327150612525,0.10733264518102228,0.07653579676674364
FKBP5,-0.016608108046631674,0.016608108046631674,True,0.3593813663804626,0.5,4.79742622285122,7.971935400086405e-05,-0.4292902739930293,-2.726710769891713,0.05682991168712008,0.33260969976905314
GADD45G,-0.016036166996479993,0.016036166996479993,True,0.3593813663804626,0.5,0.501718091706025,0.0017628077240374933,-0.09697430337804251,-1.8787607453042878,0.08412662002523225,0.15861431870669745
SEL1L3,0.013968951270485919,0.013968951270485919,True,0.3593813663804626,0.5,0.26487452696901426,0.003564391409725565,0.04650963807087426,2.3263937826078567,0.05109530909507971,0.015889145496535795
NUDT16,-0.013850755179882528,0.013850755179882528,True,0.3593813663804626,0.5,0.6628378100420822,0.0010157915460810673,-0.11095418109763458,-1.9958529089958073,0.16127614023014872,0.28457274826789836
LRRK2,0.008409824807493674,0.008409824807493674,True,0.3593813663804626,0.5,0.8802791359083698,0.0027316851941731357,0.14903397671598795,2.3040401761783382,0.17566999273617004,0.10304849884526558
ITGB6,0.007635773184977934,0.007635773184977934,True,0.3593813663804626,0.5,0.528968306553548,0.010213004807403605,0.14238940807256267,1.8660109982749724,0.1604541805252896,0.09080831408775981
TP53INP2,-0.00458119246193745,0.00458119246193745,True,0.3593813663804626,0.5,1.1281200327933611,0.00016113855975695974,-0.11521568209483721,-2.5815688611062932,0.057613640708032265,0.1894688221709007
DYRK2,0.0019047527162154596,0.0019047527162154596,True,0.3593813663804626,0.5,0.23403177831488847,0.004456255358060782,0.04567830572237272,2.179248158487828,0.07141491761287609,0.042309468822170904
