gene_set,gene_set_label,library_short,library_name,rank,term,p_value,z_score,combined_score,overlap_genes,overlap_n,adjusted_p_value,old_p_value,old_adjusted_p_value,neg_log10_adjusted_p_value,gene_list_size
endothelial_consensus,Endothelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,1,Negative Regulation of DNA-templated Transcription (GO:0045892),9.469205931162875e-06,5.140915279086816,59.46736015634168,CXXC5;FOXP1;ELK4;PPM1A;KAT2A;TBL1XR1;SOX18;ZNF503;CTNNB1;EZR;OGT;SOX4;RUNX1T1,13,0.007262880949201925,0,0,2.138891074595099,58
endothelial_consensus,Endothelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,2,Endothelial Cell Development (GO:0001885),5.738724601054727e-05,47.238735177865614,461.3187716653817,SOX18;EZR;MET,3,0.02200800884504488,0,0,1.65741924807487,58
endothelial_consensus,Endothelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,3,Establishment of Endothelial Barrier (GO:0061028),8.887739009987521e-05,40.23232323232323,375.2972809322434,RAP2B;SOX18;EZR,3,0.022722986068868096,0,0,1.6435345977841411,58
endothelial_consensus,Endothelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,4,Positive Regulation of Transcription by RNA Polymerase II (GO:0045944),0.00014289755839530852,4.396192164809186,38.92117103917132,ELK4;SMAD1;KAT2A;TBL1XR1;SP1;SOX18;TET2;CTNNB1;OGT;MET;SOX4,11,0.02740060682230041,0,0,1.5622398190533957,58
endothelial_consensus,Endothelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,5,Positive Regulation of RNA Biosynthetic Process (GO:1902680),0.00020580162724483534,5.59942238267148,47.531244673764135,PPM1A;KAT2A;TBL1XR1;SP1;SOX18;CTNNB1;OGT;SOX4,8,0.03156996961935774,0,0,1.500725836040999,58
endothelial_consensus,Endothelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,6,Positive Regulation of DNA-templated Transcription (GO:0045893),0.00030368714914983985,3.7656481356844798,30.499914149715803,ELK4;SMAD1;PPM1A;KAT2A;TBL1XR1;SP1;SOX18;TET2;CTNNB1;OGT;MET;SOX4,12,0.038821340566321194,0,0,1.4109294717682737,58
endothelial_consensus,Endothelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,7,Negative Regulation of Transcription by RNA Polymerase II (GO:0000122),0.0004678151064743964,4.435262629642021,34.00709861742683,ELK4;PPM1A;KAT2A;TBL1XR1;SOX18;EZR;CXXC5;OGT;SOX4,9,0.04689499193846854,0,0,1.3288735344623173,58
endothelial_consensus,Endothelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,8,Monoatomic Anion Transport (GO:0006820),0.0004891263826698153,21.700363636363637,165.4194773782111,SLC12A2;CLIC5;LRRC8C,3,0.04689499193846854,0,0,1.3288735344623173,58
endothelial_consensus,Endothelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,9,Sympathetic Nervous System Development (GO:0048485),0.0009662484885702349,50.83673469387755,352.9131632656073,CTNNB1;SOX4,2,0.07411125907333702,0,0,1.1301158084582679,58
endothelial_consensus,Endothelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,10,Regulation of Monocyte Differentiation (GO:0045655),0.0009662484885702349,50.83673469387755,352.9131632656073,FOXP1;ZFP36L1,2,0.07411125907333702,0,0,1.1301158084582679,58
endothelial_consensus,Endothelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,11,3'-UTR-mediated mRNA Destabilization (GO:0061158),0.0018393653781464217,35.575,224.06325588650645,RC3H1;ZFP36L1,2,0.09621594671069142,0,0,1.0167529425722852,58
endothelial_consensus,Endothelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,12,Regulation of Generation of Precursor Metabolites and Energy (GO:0043467),0.0018393653781464217,35.575,224.06325588650645,CXXC5;OGT,2,0.09621594671069142,0,0,1.0167529425722852,58
endothelial_consensus,Endothelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,13,Long-term Memory (GO:0007616),0.0018393653781464217,35.575,224.06325588650645,KAT2A;CAMK2N1,2,0.09621594671069142,0,0,1.0167529425722852,58
endothelial_consensus,Endothelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,14,"Regulation of Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:1900151)",0.0018393653781464217,35.575,224.06325588650645,RC3H1;ZFP36L1,2,0.09621594671069142,0,0,1.0167529425722852,58
endothelial_consensus,Endothelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,15,Regulation of Transcription by RNA Polymerase II (GO:0006357),0.002055273049312907,2.6678634099114547,16.506995516272706,SMAD1;TET2;CXXC5;FOXP1;ELK4;PPM1A;KAT2A;TBL1XR1;SP1;SOX18;CTNNB1;EZR;OGT;MET;SOX4,15,0.09621594671069142,0,0,1.0167529425722852,58
endothelial_consensus,Endothelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,16,Positive Regulation of Endothelial Cell Migration (GO:0010595),0.0021325568371339688,12.742459893048128,78.37165380589019,SP1;MET;FOXP1,3,0.09621594671069142,0,0,1.0167529425722852,58
endothelial_consensus,Endothelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,17,Protein O-linked Glycosylation (GO:0006493),0.0021325568371339688,12.742459893048128,78.37165380589019,TET2;OGT;COLGALT1,3,0.09621594671069142,0,0,1.0167529425722852,58
endothelial_consensus,Endothelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,18,Blood Vessel Endothelial Cell Migration (GO:0043534),0.0025686676947650664,29.639880952380953,176.7831551405804,EFNB2;SOX18,2,0.1094537845491559,0,0,0.9607692173724378,58
endothelial_consensus,Endothelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,19,Positive Regulation of Canonical Wnt Signaling Pathway (GO:0090263),0.002812998401694823,11.517214700193424,67.6464102690016,PPM1A;TBL1XR1;SOX4,3,0.11355630389999628,0,0,0.9447887515984466,58
endothelial_consensus,Endothelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,20,Regulation of Intracellular Signal Transduction (GO:1902531),0.0030220765625796394,5.521543227259927,32.03495067673116,PPM1A;DYRK2;VWF;ARHGEF15;EZR,5,0.11589663617492918,0,0,0.9359291689705441,58
endothelial_consensus,Endothelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,21,Cellular Response to Hexose Stimulus (GO:0071331),0.0031910131140572965,26.34259259259259,151.40185980157577,OGT;SOX4,2,0.11654795516580697,0,0,0.9334953417744375,58
endothelial_consensus,Endothelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,22,Negative Regulation of Mitotic Cell Cycle (GO:0045930),0.0034125952701803378,25.400510204081634,144.28206600498726,CTNNB1;ZFP36L1,2,0.1189754805558327,0,0,0.9245425323596324,58
endothelial_consensus,Endothelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,23,Regulation of Cellular Response to Stress (GO:0080135),0.004217204875741809,9.924770642201835,54.27442925480958,ETAA1;KAT2A;SOX4,3,0.11934619226973077,0,0,0.9231914325652654,58
endothelial_consensus,Endothelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,24,Epithelial Tube Morphogenesis (GO:0060562),0.004624658767778083,21.546536796536795,115.84178108088538,CTNNB1;MET,2,0.11934619226973077,0,0,0.9231914325652654,58
