gene_set,gene_set_label,library_short,library_name,rank,term,p_value,z_score,combined_score,overlap_genes,overlap_n,adjusted_p_value,old_p_value,old_adjusted_p_value,neg_log10_adjusted_p_value,gene_list_size
endothelial_consensus,Endothelial Cells Consensus,Reactome,Reactome_Pathways_2024,1,Cardiogenesis,6.442784571468747e-05,45.268181818181816,436.8363534746969,SMAD1;KAT2A;CTNNB1,3,0.02493357629158405,0,0,1.6032154249736421,58
endothelial_consensus,Endothelial Cells Consensus,Reactome,Reactome_Pathways_2024,2,Sensory Processing of Sound by Outer Hair Cells of the Cochlea,0.0005455315009318622,20.863636363636363,156.76414788296267,CLIC5;EPS8L2;EZR,3,0.08460158740112195,0,0,1.0726214881066019,58
endothelial_consensus,Endothelial Cells Consensus,Reactome,Reactome_Pathways_2024,3,Transcriptional Regulation by MECP2,0.0008122998449177647,18.074545454545454,128.6119770329774,TBL1XR1;LBR;MET,3,0.08460158740112195,0,0,1.0726214881066019,58
endothelial_consensus,Endothelial Cells Consensus,Reactome,Reactome_Pathways_2024,4,Sensory Processing of Sound by Inner Hair Cells of the Cochlea,0.0010586220505475,16.426446280991737,112.53408741150399,CLIC5;EPS8L2;EZR,3,0.08460158740112195,0,0,1.0726214881066019,58
endothelial_consensus,Endothelial Cells Consensus,Reactome,Reactome_Pathways_2024,5,Regulation of MITF-M-dependent Genes Involved in Cell Cycle and Proliferation,0.0010930437648723765,47.445238095238096,323.51906902748715,CTNNB1;MET,2,0.08460158740112195,0,0,1.0726214881066019,58
endothelial_consensus,Endothelial Cells Consensus,Reactome,Reactome_Pathways_2024,6,Sensory Processing of Sound,0.0014539536412038552,14.644717444717445,95.6808042756761,CLIC5;EPS8L2;EZR,3,0.09378000985764866,0,0,1.0278897259464743,58
endothelial_consensus,Endothelial Cells Consensus,Reactome,Reactome_Pathways_2024,7,Listeria Monocytogenes Entry Into Host Cells,0.0018393653781464217,35.575,224.06325588650645,CTNNB1;MET,2,0.10169062876323788,0,0,0.9927190673716222,58
endothelial_consensus,Endothelial Cells Consensus,Reactome,Reactome_Pathways_2024,8,Notch-HLH Transcription Pathway,0.0029764701916058,27.357142857142858,159.13696999571184,KAT2A;TBL1XR1,2,0.13284310536038624,0,0,0.8766609808219441,58
endothelial_consensus,Endothelial Cells Consensus,Reactome,Reactome_Pathways_2024,9,Regulation of CDH11 Expression and Function,0.0034125952701803378,25.400510204081634,144.28206600498726,SP1;CTNNB1,2,0.13284310536038624,0,0,0.8766609808219441,58
endothelial_consensus,Endothelial Cells Consensus,Reactome,Reactome_Pathways_2024,10,Regulation of MECP2 Expression and Activity,0.0038767126787624803,23.704761904761906,131.62703700438337,TBL1XR1;LBR,2,0.13284310536038624,0,0,0.8766609808219441,58
endothelial_consensus,Endothelial Cells Consensus,Reactome,Reactome_Pathways_2024,11,Regulation of Expression and Function of Type II Classical Cadherins,0.004119166057686395,22.9389400921659,125.98305723611935,SP1;CTNNB1,2,0.13284310536038624,0,0,0.8766609808219441,58
endothelial_consensus,Endothelial Cells Consensus,Reactome,Reactome_Pathways_2024,12,Regulation of Homotypic Cell-Cell Adhesion,0.004119166057686395,22.9389400921659,125.98305723611935,SP1;CTNNB1,2,0.13284310536038624,0,0,0.8766609808219441,58
endothelial_consensus,Endothelial Cells Consensus,Reactome,Reactome_Pathways_2024,13,Gene Expression (Transcription),0.006102143937985199,2.675730885552077,13.643859773584255,SMAD1;PPM1A;KAT2A;DYRK2;TBL1XR1;SP1;TET2;CTNNB1;OGT;LBR;MET,11,0.14479145870393156,0,0,0.8392570565584793,58
endothelial_consensus,Endothelial Cells Consensus,Reactome,Reactome_Pathways_2024,14,Signal Transduction,0.006413910301760271,2.3288039099844244,11.758797358016887,SMAD1;VWF;ARHGEF15;GNG12;CXXC5;MOB1B;PPM1A;KAT2A;TBL1XR1;SP1;LPAR6;CTNNB1;LBR;MET;SOX4,15,0.14479145870393156,0,0,0.8392570565584793,58
endothelial_consensus,Endothelial Cells Consensus,Reactome,Reactome_Pathways_2024,15,Deactivation of the Beta-Catenin Transactivating Complex,0.0066058178896844354,17.769642857142856,89.2001335295939,CTNNB1;SOX4,2,0.14479145870393156,0,0,0.8392570565584793,58
endothelial_consensus,Endothelial Cells Consensus,Reactome,Reactome_Pathways_2024,16,Formation of WDR5-containing Histone-Modifying Complexes,0.0066058178896844354,17.769642857142856,89.2001335295939,KAT2A;OGT,2,0.14479145870393156,0,0,0.8392570565584793,58
endothelial_consensus,Endothelial Cells Consensus,Reactome,Reactome_Pathways_2024,17,Activation of Gene Expression by SREBF (SREBP),0.006915223521981038,17.335365853658537,86.2266296466296,SP1;TBL1XR1,2,0.14479145870393156,0,0,0.8392570565584793,58
