gene_set,gene_set_label,library_short,library_name,rank,term,p_value,z_score,combined_score,overlap_genes,overlap_n,adjusted_p_value,old_p_value,old_adjusted_p_value,neg_log10_adjusted_p_value,gene_list_size
endothelial_consensus,Endothelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,1,Pleural Mesothelioma WP5087,0.00026054417703596264,6.228180574555403,51.399543280743075,MOB1B;MAP3K1;SP1;RASSF7;CTNNB1;OGT;MET,7,0.044863905016469606,0,0,1.3481029275142096,58
endothelial_consensus,Endothelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,2,BMP2 WNT4 FOXO1 Pathway Primary Endometrial Stromal Cell Diff WP3876,0.0006315820253314937,64.71103896103897,476.74452009710456,SMAD1;CTNNB1,2,0.044863905016469606,0,0,1.3481029275142096,58
endothelial_consensus,Endothelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,3,H19 Rb E2F1 And CDK Beta Catenin In Colorectal Cancer WP3969,0.00073547385272901,59.31547619047619,427.96089788083634,CTNNB1;SOX4,2,0.044863905016469606,0,0,1.3481029275142096,58
endothelial_consensus,Endothelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,4,MAP3K1 Role In Promoting And Blocking Gonadal Determination WP4872,0.0010930437648723765,47.445238095238096,323.51906902748715,MAP3K1;CTNNB1,2,0.04561845957190054,0,0,1.3408593839151024,58
endothelial_consensus,Endothelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,5,MECP2 And Associated Rett Syndrome WP3584,0.0012464059992322552,15.484675324675324,103.55362794959848,SP1;TET2;NREP,3,0.04561845957190054,0,0,1.3408593839151024,58
endothelial_consensus,Endothelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,6,BMP Signaling In Eyelid Development WP3927,0.001518540041667372,39.53174603174603,256.5612651652447,SMAD1;MAP3K1,2,0.04631547127085485,0,0,1.3342739125412342,58
endothelial_consensus,Endothelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,7,Wnt Beta Catenin Signaling In Leukemia WP3658,0.0025686676947650664,29.639880952380953,176.7831551405804,CTNNB1;RUNX1T1,2,0.060575919116669395,0,0,1.2176999876028465,58
endothelial_consensus,Endothelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,8,Neural Crest Differentiation WP2064,0.0031536068928685506,11.044897959183674,63.60986949967645,PRTG;SMAD1;CTNNB1,3,0.060575919116669395,0,0,1.2176999876028465,58
endothelial_consensus,Endothelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,9,Extracellular Vesicle Mediated Signaling In Recipient Cells WP2870,0.0031910131140572965,26.34259259259259,151.40185980157577,CTNNB1;MET,2,0.060575919116669395,0,0,1.2176999876028465,58
endothelial_consensus,Endothelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,10,Cancer Pathways WP5434,0.0034183350028093628,4.47742975587287,25.425540168424124,SP1;LPAR6;CTNNB1;GNG12;MET;RUNX1T1,6,0.060575919116669395,0,0,1.2176999876028465,58
endothelial_consensus,Endothelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,11,Gastric Cancer Network 2 WP2363,0.003641175466029308,24.523399014778324,137.7098895888601,CTNNB1;LBR,2,0.060575919116669395,0,0,1.2176999876028465,58
endothelial_consensus,Endothelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,12,Serotonin HTR1 Group And FOS Pathway WP722,0.0051573302062008,20.31326530612245,106.99679840392254,ELK4;MAP3K1,2,0.0725993405949805,0,0,1.13906732389029,58
endothelial_consensus,Endothelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,13,Genetic Causes Of Porto Sinusoidal Vascular Disease WP5269,0.0051573302062008,20.31326530612245,106.99679840392254,SP1;CXXC5,2,0.0725993405949805,0,0,1.13906732389029,58
endothelial_consensus,Endothelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,14,MAPK Signaling WP382,0.005635074353347226,6.029996939087848,31.227816116389977,ELK4;PPM1A;MAP3K1;GNG12,4,0.07365847190446731,0,0,1.1327772951246233,58
endothelial_consensus,Endothelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,15,Adipogenesis WP236,0.00651725279289561,8.443465909090909,42.49851674005635,SP1;CISD1;CTNNB1,3,0.07494183528317379,0,0,1.1252756754856779,58
endothelial_consensus,Endothelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,16,TGF Beta Signaling Pathway WP366,0.006655243115141736,8.377589852008457,41.99141497951987,PPM1A;SP1;MET,3,0.07494183528317379,0,0,1.1252756754856779,58
endothelial_consensus,Endothelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,17,Heart Development WP1591,0.007231107130371129,16.921768707482993,83.41354266746879,SMAD1;CTNNB1,2,0.07494183528317379,0,0,1.1252756754856779,58
endothelial_consensus,Endothelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,18,Brain Derived Neurotrophic Factor BDNF Signaling WP2380,0.007371328060640046,8.062957937584804,39.590392509162335,MARCKS;MAP3K1;CTNNB1,3,0.07494183528317379,0,0,1.1252756754856779,58
endothelial_consensus,Endothelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,19,Regulation Of Actin Cytoskeleton WP51,0.009440691841780053,7.345083487940631,34.24811184824394,RASSF7;GNG12;EZR,3,0.08799593571637264,0,0,1.0555373862215816,58
endothelial_consensus,Endothelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,20,TGF Beta Receptor Signaling WP560,0.010737768749685565,13.660714285714286,61.93751413619027,SMAD1;CTNNB1,2,0.08799593571637264,0,0,1.0555373862215816,58
endothelial_consensus,Endothelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,21,EGF EGFR Signaling WP437,0.011052870285298163,6.918181818181818,31.16685967501774,ELK4;MAP3K1;SP1,3,0.08799593571637264,0,0,1.0555373862215816,58
endothelial_consensus,Endothelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,22,Pathogenic Escherichia Coli Infection WP2272,0.011122382711878437,13.402291105121293,60.29417013614965,CTNNB1;EZR,2,0.08799593571637264,0,0,1.0555373862215816,58
endothelial_consensus,Endothelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,23,IL18 Signaling WP4754,0.011513019309769714,13.153439153439153,58.72059285932742,SP1;CTNNB1,2,0.08799593571637264,0,0,1.0555373862215816,58
