gene_set,gene_set_label,library_short,library_name,rank,term,p_value,z_score,combined_score,overlap_genes,overlap_n,adjusted_p_value,old_p_value,old_adjusted_p_value,neg_log10_adjusted_p_value,gene_list_size
epithelial_consensus,Epithelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,1,Positive Regulation of Programmed Cell Death (GO:0043068),1.9394678372515707e-05,6.645435403820123,72.10637553256821,FLCN;TNFAIP8;TFAP4;LRRK2;TNFSF10;CASP1;FAS;ECT2;TP53,9,0.02195477591768778,0,0,1.6584709911812434,118
epithelial_consensus,Epithelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,2,Positive Regulation of Apoptotic Process (GO:0043065),8.708150737357972e-05,5.426266855489194,50.72835652141492,FLCN;TNFAIP8;TFAP4;CASP10;TNFSF10;CASP1;FAS;ECT2;TP53,9,0.04488373124905528,0,0,1.347911046726988,118
epithelial_consensus,Epithelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,3,Extracellular Matrix Disassembly (GO:0022617),0.00011894981779784968,17.852451641925327,161.32919304498,ADAMTS5;MMP2;ADAM10;CTSS,4,0.04488373124905528,0,0,1.347911046726988,118
epithelial_consensus,Epithelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,4,Cellular Component Disassembly (GO:0022411),0.00016882340197518897,16.188494492044065,140.6239046342808,ADAMTS5;MMP2;ADAM10;CTSS,4,0.046026425884689956,0,0,1.3369927483044381,118
epithelial_consensus,Epithelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,5,Proteolysis (GO:0006508),0.0002751047052946839,4.621250755763518,37.88667173691889,FAM111A;ADAMTS5;MMP2;CFI;CASP1;ADAM10;WFDC2;CTSS;MALT1,9,0.046026425884689956,0,0,1.3369927483044381,118
epithelial_consensus,Epithelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,6,Positive Regulation of Canonical NF-kappaB Signal Transduction (GO:0043123),0.00031458844146985257,5.879210964519022,47.41139943781054,CASP10;TNFSF10;CASP1;FLOT2;ECT2;MALT1;TRIM22,7,0.046026425884689956,0,0,1.3369927483044381,118
epithelial_consensus,Epithelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,7,Intrinsic Apoptotic Signaling Pathway in Response to DNA Damage by P53 Class Mediator (GO:0042771),0.0003252750945914485,25.90695652173913,208.05460428724476,DYRK2;IFI16;TP53,3,0.046026425884689956,0,0,1.3369927483044381,118
epithelial_consensus,Epithelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,8,Positive Regulation of Release of Cytochrome C From Mitochondria (GO:0090200),0.0003252750945914485,25.90695652173913,208.05460428724476,CASP1;TNFSF10;TP53,3,0.046026425884689956,0,0,1.3369927483044381,118
epithelial_consensus,Epithelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,9,DNA Replication Initiation (GO:0006270),0.0003701480171554325,24.672049689440993,194.94885498719952,ORC5;ORC4;MCM7,3,0.046556395046661064,0,0,1.3320206553331515,118
epithelial_consensus,Epithelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,10,Regulation of Canonical NF-kappaB Signal Transduction (GO:0043122),0.00041933868657348714,4.8623022029165375,37.81330563131753,CASP10;STAT1;TNFSF10;CASP1;FLOT2;ECT2;MALT1;TRIM22,8,0.047469139320118744,0,0,1.3235886425582724,118
epithelial_consensus,Epithelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,11,Negative Regulation of Excitatory Postsynaptic Potential (GO:0090394),0.0005097796769637993,85.68103448275862,649.5934988584736,LRRK2;PTEN,2,0.050260415135935384,0,0,1.2987739285866302,118
epithelial_consensus,Epithelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,12,Cellular Response to Chemical Stress (GO:0062197),0.0005327959201689264,8.177570093457945,61.63738863639733,LRRK2;GPX8;ARNT;FAS;PAM,5,0.050260415135935384,0,0,1.2987739285866302,118
epithelial_consensus,Epithelial Cells Consensus,GO Biological Process,GO_Biological_Process_2026,13,Negative Regulation of Viral Process (GO:0048525),0.0006625922426746727,11.038150932887776,80.79209859149263,FAM111A;IFI16;STAT1;TRIM27,4,0.05769649374674843,0,0,1.2388505783989916,118
