gene_set,gene_set_label,library_short,library_name,rank,term,p_value,z_score,combined_score,overlap_genes,overlap_n,adjusted_p_value,old_p_value,old_adjusted_p_value,neg_log10_adjusted_p_value,gene_list_size
epithelial_consensus,Epithelial Cells Consensus,KEGG,KEGG_2026,1,HUMAN PAPILLOMAVIRUS INFECTION,0.0007368565128977768,4.445909090909091,32.06886411355676,FZD1;COL4A2;STAT1;STAT2;PTEN;ITGB8;ITGB6;TP53,8,0.11789704206364429,0,0,0.9284970908468271,118
epithelial_consensus,Epithelial Cells Consensus,KEGG,KEGG_2026,2,HEPATITIS B,0.0026765934481716783,5.595076015429997,33.14081241217897,MAP3K1;CASP10;STAT1;STAT2;TP53,5,0.12615346359045618,0,0,0.8991008212655262,118
epithelial_consensus,Epithelial Cells Consensus,KEGG,KEGG_2026,3,C-TYPE LECTIN RECEPTOR SIGNALING PATHWAY,0.0033637222277397008,6.941052631578947,39.52726178787516,STAT1;STAT2;CASP1;MALT1,4,0.12615346359045618,0,0,0.8991008212655262,118
epithelial_consensus,Epithelial Cells Consensus,KEGG,KEGG_2026,4,WNT SIGNALING PATHWAY,0.0033807499086986477,5.287476535264146,30.083931728459458,FZD1;VANGL1;TBL1XR1;GPC4;TP53,5,0.12615346359045618,0,0,0.8991008212655262,118
epithelial_consensus,Epithelial Cells Consensus,KEGG,KEGG_2026,5,PATHWAYS IN CANCER,0.0039422957372017555,3.0988905483251545,17.155433442274884,FZD1;RASSF3;COL4A2;STAT1;MMP2;STAT2;PTEN;TP53;RASGRP1,9,0.12615346359045618,0,0,0.8991008212655262,118
epithelial_consensus,Epithelial Cells Consensus,KEGG,KEGG_2026,6,APOPTOSIS,0.008640227026500759,5.249867091972355,24.94383221713089,CASP10;TNFSF10;TP53;CTSS,4,0.20368232714289863,0,0,0.691046651693435,118
epithelial_consensus,Epithelial Cells Consensus,KEGG,KEGG_2026,7,CYTOSKELETON IN MUSCLE CELLS,0.011796969292998356,3.865683382497542,17.16329643516838,FMNL2;COL4A2;SDC3;ITGB8;ITGB6,5,0.20368232714289863,0,0,0.691046651693435,118
epithelial_consensus,Epithelial Cells Consensus,KEGG,KEGG_2026,8,MTOR SIGNALING PATHWAY,0.013177316513280144,4.615672514619883,19.98243888360014,FZD1;FLCN;PTEN;SLC38A9,4,0.20368232714289863,0,0,0.691046651693435,118
epithelial_consensus,Epithelial Cells Consensus,KEGG,KEGG_2026,9,CELL CYCLE,0.014056120855699706,4.5244811374842335,19.295542626560106,ORC5;ORC4;MCM7;TP53,4,0.20368232714289863,0,0,0.691046651693435,118
epithelial_consensus,Epithelial Cells Consensus,KEGG,KEGG_2026,10,NECROPTOSIS,0.014357123154837281,4.494873547505127,19.07403668010271,STAT1;STAT2;TNFSF10;CASP1,4,0.20368232714289863,0,0,0.691046651693435,118
epithelial_consensus,Epithelial Cells Consensus,KEGG,KEGG_2026,11,PD-L1 EXPRESSION AND PD-1 CHECKPOINT PATHWAY IN CANCER,0.015276174535717398,6.0758056265984655,25.40574356761512,STAT1;PTEN;RASGRP1,3,0.20368232714289863,0,0,0.691046651693435,118
epithelial_consensus,Epithelial Cells Consensus,KEGG,KEGG_2026,12,ECM-RECEPTOR INTERACTION,0.015276174535717398,6.0758056265984655,25.40574356761512,COL4A2;ITGB8;ITGB6,3,0.20368232714289863,0,0,0.691046651693435,118
epithelial_consensus,Epithelial Cells Consensus,KEGG,KEGG_2026,13,SMALL CELL LUNG CANCER,0.017188917799205308,5.801563263312164,23.574596723054906,COL4A2;PTEN;TP53,3,0.21155591137483457,0,0,0.6745748349434033,118
epithelial_consensus,Epithelial Cells Consensus,KEGG,KEGG_2026,14,INFLUENZA A,0.018645827838745348,4.142241832125223,16.494957339856274,STAT1;STAT2;TNFSF10;CASP1,4,0.21309517529994684,0,0,0.6714263830606929,118
epithelial_consensus,Epithelial Cells Consensus,KEGG,KEGG_2026,15,AGE-RAGE SIGNALING PATHWAY IN DIABETIC COMPLICATIONS,0.021398747432376443,5.3209323173464815,20.455913996227693,COL4A2;STAT1;MMP2,3,0.21395655971343128,0,0,0.6696743939023009,118
