gene_set,gene_set_label,library_short,library_name,rank,term,p_value,z_score,combined_score,overlap_genes,overlap_n,adjusted_p_value,old_p_value,old_adjusted_p_value,neg_log10_adjusted_p_value,gene_list_size
epithelial_consensus,Epithelial Cells Consensus,MSigDB Hallmark,MSigDB_Hallmark_2020,1,Interferon Gamma Response,0.00018606236426110687,6.433412687298698,55.25933924533761,APOL6;DDX58;STAT1;STAT2;TNFSF10;CASP1;FAS,7,0.0022327483711332826,0,0,2.6511602187942187,118
epithelial_consensus,Epithelial Cells Consensus,MSigDB Hallmark,MSigDB_Hallmark_2020,2,Apical Junction,0.00018606236426110687,6.433412687298698,55.25933924533761,CDH6;ADAMTS5;MDK;MMP2;SDC3;PTEN;TNFRSF11B,7,0.0022327483711332826,0,0,2.6511602187942187,118
epithelial_consensus,Epithelial Cells Consensus,MSigDB Hallmark,MSigDB_Hallmark_2020,3,Complement,0.00018606236426110687,6.433412687298698,55.25933924533761,DYRK2;COL4A2;CASP10;CASP1;RASGRP1;CTSS;DGKH,7,0.0022327483711332826,0,0,2.6511602187942187,118
epithelial_consensus,Epithelial Cells Consensus,MSigDB Hallmark,MSigDB_Hallmark_2020,4,Epithelial Mesenchymal Transition,0.001208705310714787,5.436671575846834,36.52467679212233,CDH6;MCM7;COL4A2;MMP2;FAS;TNFRSF11B,6,0.008702678237146468,0,0,2.0603470732873976,118
epithelial_consensus,Epithelial Cells Consensus,MSigDB Hallmark,MSigDB_Hallmark_2020,5,Inflammatory Response,0.001208705310714787,5.436671575846834,36.52467679212233,RNF144B;GABBR1;TPBG;TNFSF10;ITGB8;RASGRP1,6,0.008702678237146468,0,0,2.0603470732873976,118
epithelial_consensus,Epithelial Cells Consensus,MSigDB Hallmark,MSigDB_Hallmark_2020,6,Hypoxia,0.006691071343524027,4.4672112548218745,22.367243111636004,MAP3K1;TPBG;SDC3;GPC4;PAM,5,0.04014642806114416,0,0,1.3963530890488938,118
epithelial_consensus,Epithelial Cells Consensus,MSigDB Hallmark,MSigDB_Hallmark_2020,7,IL-6/JAK/STAT3 Signaling,0.014817895402837225,6.148447204968944,25.8967657828411,STAT1;STAT2;FAS,3,0.06878059372978884,0,0,1.1625340795686998,118
epithelial_consensus,Epithelial Cells Consensus,MSigDB Hallmark,MSigDB_Hallmark_2020,8,Apoptosis,0.015284576384397522,4.408313778075763,18.430767735878852,MMP2;TNFSF10;CASP1;FAS,4,0.06878059372978884,0,0,1.1625340795686998,118
epithelial_consensus,Epithelial Cells Consensus,MSigDB Hallmark,MSigDB_Hallmark_2020,9,Interferon Alpha Response,0.019759837048319764,5.491581868640148,21.54953746127627,SAMD9;STAT2;CASP1,3,0.07402421115370425,0,0,1.1306262120159174,118
epithelial_consensus,Epithelial Cells Consensus,MSigDB Hallmark,MSigDB_Hallmark_2020,10,Wnt-beta Catenin Signaling,0.025486960213130374,8.552586206896551,31.384470466015173,FZD1;TP53,2,0.07402421115370425,0,0,1.1306262120159174,118
