gene_set,gene_set_label,library_short,library_name,rank,term,p_value,z_score,combined_score,overlap_genes,overlap_n,adjusted_p_value,old_p_value,old_adjusted_p_value,neg_log10_adjusted_p_value,gene_list_size
epithelial_consensus,Epithelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,1,Apoptosis WP254,1.0368113122168792e-05,13.601648351648352,156.1030646666937,MAP3K1;CASP10;TNFSF10;CASP1;FAS;TP53,6,0.0032763237466053386,0,0,2.4846131904228175,118
epithelial_consensus,Epithelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,2,Pleural Mesothelioma WP5087,5.615402458319233e-05,4.695186696503005,45.95372757237675,CDH6;FZD1;MAP3K1;RASSF3;COL4A2;MDK;STAT1;MMP2;CASP1;PTEN;TP53,11,0.008872335884144388,0,0,2.0519620252595674,118
epithelial_consensus,Epithelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,3,Apoptosis Modulation And Signaling WP1772,0.00018356402672597304,10.428782132321956,89.7182602909684,CASP10;TNFSF10;CASP1;FAS;TP53,5,0.016987498764050733,0,0,1.7698705618571515,118
epithelial_consensus,Epithelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,4,Photodynamic Therapy Induced AP 1 Survival Signaling WP3611,0.00021503162992469283,15.130434782608695,127.77236729588898,MMP2;TNFSF10;FAS;TP53,4,0.016987498764050733,0,0,1.7698705618571515,118
epithelial_consensus,Epithelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,5,G1 To S Cell Cycle Control WP45,0.0005567687931830731,11.591812865497076,86.86163261772049,ORC5;ORC4;MCM7;TP53,4,0.03101557984733971,0,0,1.5084200951327082,118
epithelial_consensus,Epithelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,6,T Cell Receptor And Co Stimulatory Signaling WP2583,0.000588903414822906,20.720347826086957,154.10237308263643,DYRK2;PTEN;RASGRP1,3,0.03101557984733971,0,0,1.5084200951327082,118
epithelial_consensus,Epithelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,7,Cancer Pathways WP5434,0.0008482045126667018,3.61148371711752,25.541816922448604,FZD1;COL4A2;STAT1;MMP2;STAT2;PTEN;FAS;ARNT;TP53;RASGRP1,10,0.038290375143239685,0,0,1.416910378707397,118
epithelial_consensus,Epithelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,8,Type III Interferon Signaling WP2113,0.0015058881139702425,42.831896551724135,278.3376163563692,STAT1;STAT2,2,0.04996175251009499,0,0,1.3013623362683802,118
epithelial_consensus,Epithelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,9,T Cell Activation SARS CoV 2 WP5098,0.0018333506790188586,8.26984126984127,52.11331456165759,PTEN;TP53;RASGRP1;MALT1,4,0.04996175251009499,0,0,1.3013623362683802,118
epithelial_consensus,Epithelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,10,DNA Replication WP466,0.0019434567648324995,13.272909698996656,82.86658529204179,ORC5;ORC4;MCM7,3,0.04996175251009499,0,0,1.3013623362683802,118
epithelial_consensus,Epithelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,11,Hepatitis B Infection WP4666,0.00202625347304805,5.98133107043278,37.09362401207852,MAP3K1;CASP10;STAT1;STAT2;FAS,5,0.04996175251009499,0,0,1.3013623362683802,118
epithelial_consensus,Epithelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,12,Fas Ligand Pathway And Stress Induction Of Heat Shock Proteins WP314,0.002080295409013854,12.940434782608696,79.91036000024108,MAP3K1;CASP10;FAS,3,0.04996175251009499,0,0,1.3013623362683802,118
epithelial_consensus,Epithelial Cells Consensus,WikiPathways,WikiPathways_2024_Human,13,IL10 Anti Inflammatory Signaling WP4495,0.002191656893273637,34.262068965517244,209.7899870781372,STAT1;STAT2,2,0.04996175251009499,0,0,1.3013623362683802,118
