gene_set,gene_set_label,library_short,library_name,rank,term,p_value,z_score,combined_score,overlap_genes,overlap_n,adjusted_p_value,old_p_value,old_adjusted_p_value,neg_log10_adjusted_p_value,gene_list_size
immune_consensus,Immune Cells Consensus,GO Biological Process,GO_Biological_Process_2026,1,Intracellular Signaling Cassette (GO:0141124),7.003966290926956e-06,24.989814107461168,296.6049522051786,MAP3K1;ZMIZ2;TLR7;CCR2;ZFP36L1,5,0.001718841387007431,0,0,2.764764197731587,16
immune_consensus,Immune Cells Consensus,GO Biological Process,GO_Biological_Process_2026,2,Inflammatory Response to Wounding (GO:0090594),8.983080444348457e-06,713.5714285714286,8291.819666343177,TNF;CCR2,2,0.001718841387007431,0,0,2.764764197731587,16
immune_consensus,Immune Cells Consensus,GO Biological Process,GO_Biological_Process_2026,3,Positive Regulation of Response to External Stimulus (GO:0032103),9.710968288177576e-06,38.395348837209305,443.1688901957764,CD180;TLR7;TNF;CCR2,4,0.001718841387007431,0,0,2.764764197731587,16
immune_consensus,Immune Cells Consensus,GO Biological Process,GO_Biological_Process_2026,4,Positive Regulation of Apoptotic Signaling Pathway (GO:2001235),2.4222021168103504e-05,66.60535117056857,707.8982152080423,SP1;TNF;TP53,3,0.00321547331006574,0,0,2.4927550909138296,16
immune_consensus,Immune Cells Consensus,GO Biological Process,GO_Biological_Process_2026,5,Cellular Response to Tumor Necrosis Factor (GO:0071356),5.2165874228061145e-05,51.01025641025641,503.01632269432554,TNF;TP53;ZFP36L1,3,0.0055400158430200935,0,0,2.2564889932993024,16
immune_consensus,Immune Cells Consensus,GO Biological Process,GO_Biological_Process_2026,6,Regulation of Bicellular Tight Junction Assembly (GO:2000810),0.00010179008516647866,167.78991596638656,1542.4252214039523,MYO1C;TNF,2,0.008289505596397266,0,0,2.081471370916488,16
immune_consensus,Immune Cells Consensus,GO Biological Process,GO_Biological_Process_2026,7,Positive Regulation of Amyloid-Beta Formation (GO:1902004),0.00011304743026189121,158.46031746031747,1440.0403167035038,SP1;TNF,2,0.008289505596397266,0,0,2.081471370916488,16
immune_consensus,Immune Cells Consensus,GO Biological Process,GO_Biological_Process_2026,8,Regulation of Lymphocyte Differentiation (GO:0045619),0.0001248889732037253,150.11278195488723,1349.2265083047014,CCR2;ZFP36L1,2,0.008289505596397266,0,0,2.081471370916488,16
immune_consensus,Immune Cells Consensus,GO Biological Process,GO_Biological_Process_2026,9,Positive Regulation of Inflammatory Response (GO:0050729),0.00014448669755253173,35.79807692307692,316.53816298179186,TLR7;TNF;CCR2,3,0.008524715155599372,0,0,2.0693201235868584,16
immune_consensus,Immune Cells Consensus,GO Biological Process,GO_Biological_Process_2026,10,Positive Regulation of Amyloid Precursor Protein Catabolic Process (GO:1902993),0.00017808064838669893,123.98136645962732,1070.3651111926358,SP1;TNF,2,0.00879509847587135,0,0,2.05575929352453,16
immune_consensus,Immune Cells Consensus,GO Biological Process,GO_Biological_Process_2026,11,Positive Regulation of Defense Response (GO:0031349),0.00018720778562133052,32.70989010989011,280.7585186363618,TLR7;TNF;CCR2,3,0.00879509847587135,0,0,2.05575929352453,16
immune_consensus,Immune Cells Consensus,GO Biological Process,GO_Biological_Process_2026,12,Cellular Response to Oxygen-Containing Compound (GO:1901701),0.000198759287590313,17.289241622574956,147.3633999791886,CD180;TNF;TP53;ZFP36L1,4,0.00879509847587135,0,0,2.05575929352453,16
immune_consensus,Immune Cells Consensus,GO Biological Process,GO_Biological_Process_2026,13,Regulation of Cytokine Production Involved in Immune Response (GO:0002718),0.00022406816820398208,109.65934065934066,921.5288740201692,TNF;CCR2,2,0.00915232287048573,0,0,2.0384686674849477,16
immune_consensus,Immune Cells Consensus,GO Biological Process,GO_Biological_Process_2026,14,Response to Glucocorticoid (GO:0051384),0.00037205718620846284,83.82352941176471,661.9093976190027,TNF;ZFP36L1,2,0.013170824391779584,0,0,1.8803870407105283,16
immune_consensus,Immune Cells Consensus,GO Biological Process,GO_Biological_Process_2026,15,Positive Regulation of Mononuclear Cell Migration (GO:0071677),0.00037205718620846284,83.82352941176471,661.9093976190027,TNF;CCR2,2,0.013170824391779584,0,0,1.8803870407105283,16
immune_consensus,Immune Cells Consensus,GO Biological Process,GO_Biological_Process_2026,16,Negative Regulation of Catalytic Activity (GO:0043086),0.0004369986555224512,77.01544401544402,595.7591622638189,TP53;CCR2,2,0.013649781534260092,0,0,1.8648742994821697,16
immune_consensus,Immune Cells Consensus,GO Biological Process,GO_Biological_Process_2026,17,Regulation of Amyloid-Beta Formation (GO:1902003),0.0004369986555224512,77.01544401544402,595.7591622638189,SP1;TNF,2,0.013649781534260092,0,0,1.8648742994821697,16
immune_consensus,Immune Cells Consensus,GO Biological Process,GO_Biological_Process_2026,18,Tumor Necrosis Factor-Mediated Signaling Pathway (GO:0033209),0.0004831376724596641,73.05860805860806,557.8177351120347,TNF;TP53,2,0.014252561337560091,0,0,1.846107081282851,16
immune_consensus,Immune Cells Consensus,GO Biological Process,GO_Biological_Process_2026,19,Regulation of Apoptotic Signaling Pathway (GO:2001233),0.0006083945147130895,64.74025974025975,479.3813605520194,SP1;TNF,2,0.015383689872030976,0,0,1.81293948385429,16
immune_consensus,Immune Cells Consensus,GO Biological Process,GO_Biological_Process_2026,20,Regulation of Chemokine Production (GO:0032642),0.0006083945147130895,64.74025974025975,479.3813605520194,TLR7;TNF,2,0.015383689872030976,0,0,1.81293948385429,16
immune_consensus,Immune Cells Consensus,GO Biological Process,GO_Biological_Process_2026,21,Positive Regulation of Myeloid Leukocyte Differentiation (GO:0002763),0.0006083945147130895,64.74025974025975,479.3813605520194,TNF;ZFP36L1,2,0.015383689872030976,0,0,1.81293948385429,16
immune_consensus,Immune Cells Consensus,GO Biological Process,GO_Biological_Process_2026,22,Positive Regulation of miRNA Transcription (GO:1902895),0.0006624440420557845,61.91925465838509,453.2225955056137,TNF;TP53,2,0.015892847902962526,0,0,1.7987982728543652,16
immune_consensus,Immune Cells Consensus,GO Biological Process,GO_Biological_Process_2026,23,Cellular Response to Radiation (GO:0071478),0.0007187392304892979,59.333333333333336,429.45537567816734,TNF;TP53,2,0.015892847902962526,0,0,1.7987982728543652,16
immune_consensus,Immune Cells Consensus,GO Biological Process,GO_Biological_Process_2026,24,Positive Regulation of Leukocyte Cell-Cell Adhesion (GO:1903039),0.0007477269425466376,58.119533527696795,418.3718752445384,TNF;CCR2,2,0.015892847902962526,0,0,1.7987982728543652,16
immune_consensus,Immune Cells Consensus,GO Biological Process,GO_Biological_Process_2026,25,"Regulation of Synaptic Transmission, Glutamatergic (GO:0051966)",0.0008380409440356887,54.75824175824176,387.9316753410176,TNF;CCR2,2,0.015892847902962526,0,0,1.7987982728543652,16
immune_consensus,Immune Cells Consensus,GO Biological Process,GO_Biological_Process_2026,26,Positive Regulation of miRNA Metabolic Process (GO:2000630),0.0008380409440356887,54.75824175824176,387.9316753410176,TNF;TP53,2,0.015892847902962526,0,0,1.7987982728543652,16
immune_consensus,Immune Cells Consensus,GO Biological Process,GO_Biological_Process_2026,27,Cellular Response to Ionizing Radiation (GO:0071479),0.0008380409440356887,54.75824175824176,387.9316753410176,TNF;TP53,2,0.015892847902962526,0,0,1.7987982728543652,16
