gene_set,gene_set_label,source_file,gene_rank,gene
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,1,PROM1
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,2,DYRK2
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,3,MAP3K1
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,4,ITGB8
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,5,GALNT3
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,6,CDH6
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,7,WFDC2
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,8,CLDN1
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,9,SAMD12
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,10,VCAM1
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,11,LRRK2
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,12,TBL1XR1
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,13,RASGRP1
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,14,CXADR
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,15,ARRDC3
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,16,TNFRSF11B
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,17,SESN3
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,18,KANSL1L
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,19,HOXA3
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,20,GPX8
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,21,ITGB6
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,22,ENPP5
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,23,TMEM159
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,24,SLC35F5
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,25,TNFAIP8
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,26,AP1G2
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,27,GALNT7
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,28,SEMA4D
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,29,TPBG
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,30,DSC2
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,31,STX7
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,32,MMP7
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,33,STAT1
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,34,MACC1
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,35,TMEM139
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,36,PLEKHA1
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,37,ZDHHC2
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,38,TNFSF10
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,39,SEL1L3
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,40,F2RL1
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,41,XRCC4
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Using ML\results\consensus_traditional_ml_rf_biomarkers.csv,42,MDM4
