gene_set,gene_set_label,library_short,library_name,rank,term,p_value,z_score,combined_score,overlap_genes,overlap_n,adjusted_p_value,old_p_value,old_adjusted_p_value,neg_log10_adjusted_p_value,gene_list_size
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,1,Nervous System Development (GO:0007399),5.026858623493179e-07,11.557669441141499,167.62435171410203,MARCKS;FLRT3;NR2F1;NR2F2;KCTD12;AGRN;PAX2;ITM2B;SOX4,9,0.0002443053291017685,0,0,3.6120670595339353,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,2,Cellular Response to Hexose Stimulus (GO:0071331),2.2345191734545304e-05,65.72307692307692,703.821818697053,OGT;SOX4;PAX2,3,0.005100334349995683,0,0,2.2924013530003817,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,3,Metanephric Mesenchymal Cell Differentiation (GO:0072162),3.502360104483773e-05,369.6111111111111,3792.0209099703466,STAT1;PAX2,2,0.005100334349995683,0,0,2.2924013530003817,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,4,Cellular Response to Glucose Stimulus (GO:0071333),5.0983396072319205e-05,48.800816326530615,482.34778319838193,OGT;SOX4;PAX2,3,0.005100334349995683,0,0,2.2924013530003817,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,5,Mesenchymal Cell Differentiation Involved in Kidney Development (GO:0072161),5.247257561723954e-05,277.19444444444446,2731.8122034074886,STAT1;PAX2,2,0.005100334349995683,0,0,2.2924013530003817,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,6,Regulation of Nephron Tubule Epithelial Cell Differentiation (GO:0072182),9.771451414336942e-05,184.77777777777777,1706.1383034595449,PROM1;PAX2,2,0.006924901749796202,0,0,2.159586383970958,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,7,Response to Glucose (GO:0009749),0.00012373119495713632,35.56071428571428,319.95393970551675,OGT;PAX2;SOX4,3,0.006924901749796202,0,0,2.159586383970958,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,8,Lipoprotein Catabolic Process (GO:0042159),0.00012548254326066126,158.37301587301587,1422.719267111456,ABHD10;CTSD,2,0.006924901749796202,0,0,2.159586383970958,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,9,Intracellular Glucose Homeostasis (GO:0001678),0.00013113467416834147,34.8332361516035,311.3842503635518,OGT;PAX2;SOX4,3,0.006924901749796202,0,0,2.159586383970958,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,10,Negative Regulation of DNA-templated Transcription (GO:0045892),0.00014248769032502474,5.5066537153958235,48.768329201071246,MUC1;STAT1;NR2F1;MITF;NR2F2;OGT;PAX2;SOX4;RUNX1T1,9,0.006924901749796202,0,0,2.159586383970958,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,11,Metanephric Mesenchyme Development (GO:0072075),0.00019125062201490235,123.16666666666667,1054.5438650851984,STAT1;PAX2,2,0.008449800209022048,0,0,2.0731535595881825,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,12,Synapse Organization (GO:0050808),0.00027109561562575497,14.379084967320262,118.09598524886276,CDH6;FLRT3;NEDD4L;AGRN,4,0.010979372432843077,0,0,1.959422482904361,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,13,Negative Regulation of Cell Migration (GO:0030336),0.00042605646511902583,12.715525554484088,98.68441402650377,COL3A1;MITF;NR2F2;OGT,4,0.015927957080603582,0,0,1.797839923226889,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,14,Positive Regulation of Transcription by RNA Polymerase II (GO:0045944),0.0005509589833382558,4.998615232443125,37.50885987162561,MUC1;STAT1;MITF;NR2F2;AGRN;OGT;PAX2;SOX4,8,0.019126147564456596,0,0,1.7183724978235233,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,15,Positive Regulation of RNA Biosynthetic Process (GO:1902680),0.000615527557674256,6.544289568345324,48.38213460804594,STAT1;MITF;NR2F2;OGT;PAX2;SOX4,6,0.01975361741916363,0,0,1.7043533617426243,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,16,Neuromuscular Junction Development (GO:0007528),0.0006535983868982156,61.55555555555556,451.387965030658,NEDD4L;AGRN,2,0.01975361741916363,0,0,1.7043533617426243,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,17,Negative Regulation of Transcription by RNA Polymerase II (GO:0000122),0.0006909701566374109,5.444065733414486,39.618719770362986,MUC1;STAT1;NR2F1;MITF;NR2F2;OGT;SOX4,7,0.01975361741916363,0,0,1.7043533617426243,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,18,Positive Regulation of Programmed Cell Death (GO:0043068),0.0013164219505324031,9.313961729270021,61.77799804379087,TNFSF10;CTSD;SOX4;BOK,4,0.03554339266437488,0,0,1.449241120562935,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,19,Positive Regulation of Epithelial Cell Differentiation (GO:0030858),0.0014785875016258675,39.551587301587304,257.74456480935885,PROM1;PAX2,2,0.037820711883693243,0,0,1.4222703008677624,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,20,Regulation of Dendrite Morphogenesis (GO:0048814),0.0016818998191634993,36.91111111111111,235.78195012588583,NEDD4L;KCTD12,2,0.04087016560567303,0,0,1.3885936025261296,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,21,Regulation of Apoptotic Process (GO:0042981),0.0022312699872215425,5.03997905027933,30.77000124536811,STAT1;TNFSF10;CTSD;PAX2;SOX4;BOK,6,0.04774591671208771,0,0,1.3210637638757459,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,22,Circulatory System Development (GO:0072359),0.0024155012485923924,12.31304347826087,74.19653404520922,COL3A1;FLRT3;SOX4,3,0.04774591671208771,0,0,1.3210637638757459,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,23,Negative Regulation of Cell Motility (GO:2000146),0.0024644179160998357,12.223843782117163,73.41395657243886,MITF;SPINT2;OGT,3,0.04774591671208771,0,0,1.3210637638757459,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,24,Negative Regulation of Endothelial Cell Proliferation (GO:0001937),0.00249172839958229,29.91741741741742,179.34829588302824,STAT1;NR2F2,2,0.04774591671208771,0,0,1.3210637638757459,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,25,Camera-type Eye Development (GO:0043010),0.0026197382113525482,29.128654970760234,173.1605584259493,PAX2;SOX4,2,0.04774591671208771,0,0,1.3210637638757459,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,26,Positive Regulation of Apoptotic Process (GO:0043065),0.002664018330299422,7.633080955154339,45.24829055039738,TNFSF10;CTSD;SOX4;BOK,4,0.04774591671208771,0,0,1.3210637638757459,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,27,Positive Regulation of DNA-templated Transcription (GO:0045893),0.002694642003374451,3.8407407407407406,22.723703880932085,MUC1;STAT1;MITF;NR2F2;AGRN;OGT;PAX2;SOX4,8,0.04774591671208771,0,0,1.3210637638757459,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,28,Regulation of Sodium Ion Transport (GO:0002028),0.0027507935554289212,28.38034188034188,167.32668831405715,NEDD4L;PRSS8,2,0.04774591671208771,0,0,1.3210637638757459,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,29,Plasma Membrane Bounded Cell Projection Organization (GO:0120036),0.0030434195459841298,11.321142857142856,65.60345912866329,FLRT3;NEDD4L;PROM1,3,0.05100351377063058,0,0,1.2923999031446363,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,30,Regulation of Dendrite Development (GO:0050773),0.003451354834066117,25.1489898989899,142.56933249952365,NEDD4L;KCTD12,2,0.055911948311871094,0,0,1.2524953740201301,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,31,Heart Development (GO:0007507),0.004798677911906388,9.581113801452785,51.15754115797769,COL3A1;FLRT3;SOX4,3,0.07523088597375822,0,0,1.1236038235822665,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,32,Positive Regulation of Developmental Growth (GO:0048639),0.005252650000704313,20.108080808080807,105.5477699545341,NEDD4L;AGRN,2,0.07735720910128169,0,0,1.1114992071486491,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,33,Response to Peptide Hormone (GO:0043434),0.005252650000704313,20.108080808080807,105.5477699545341,STAT1;OGT,2,0.07735720910128169,0,0,1.1114992071486491,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,34,Signal Transduction by P53 Class Mediator (GO:0072331),0.005617709933126759,19.400584795321638,100.5305552672347,MUC1;BOK,2,0.07891907603575371,0,0,1.1028180079981869,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,35,Renal System Development (GO:0072001),0.005804496030931983,19.06513409961686,98.1687106523921,STAT1;PAX2,2,0.07891907603575371,0,0,1.1028180079981869,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,36,Negative Regulation of Cell Adhesion (GO:0007162),0.008043091643804933,16.016908212560388,77.24861511434972,MUC1;SPINT2,2,0.07891907603575371,0,0,1.1028180079981869,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,37,Positive Regulation of Apoptotic Signaling Pathway (GO:2001235),0.008263045380087023,15.787301587301588,75.7152995895438,TNFSF10;BOK,2,0.07891907603575371,0,0,1.1028180079981869,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,38,Kidney Development (GO:0001822),0.008263045380087023,15.787301587301588,75.7152995895438,PAX2;SOX4,2,0.07891907603575371,0,0,1.1028180079981869,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,39,Negative Regulation of Epithelial Cell Proliferation (GO:0050680),0.008939034814588506,15.136225266362253,71.40253408974247,STAT1;NR2F2,2,0.07891907603575371,0,0,1.1028180079981869,38
stroma_consensus,Stroma Cells Consensus,GO Biological Process,GO_Biological_Process_2026,53,Monoatomic Cation Homeostasis (GO:0055080),0.009638997494562276,14.536549707602338,67.47776494938404,SLC40A1;SLC39A10,2,0.07891907603575371,0,0,1.1028180079981869,38
