gene_set,gene_set_label,library_short,library_name,rank,term,p_value,z_score,combined_score,overlap_genes,overlap_n,adjusted_p_value,old_p_value,old_adjusted_p_value,neg_log10_adjusted_p_value,gene_list_size
stroma_consensus,Stroma Cells Consensus,Reactome,Reactome_Pathways_2024,1,Metal Ion SLC Transporters,0.0009449004432908564,50.35353535353536,350.6837219229394,SLC40A1;SLC39A10,2,0.11342268916554916,0,0,0.9453000601366545,38
stroma_consensus,Stroma Cells Consensus,Reactome,Reactome_Pathways_2024,2,Downregulation of SMAD2 3 SMAD4 Transcriptional Activity,0.001578668841776688,38.18582375478927,246.34336634964797,STAT1;NEDD4L,2,0.11342268916554916,0,0,0.9453000601366545,38
stroma_consensus,Stroma Cells Consensus,Reactome,Reactome_Pathways_2024,3,Regulation of Necroptotic Cell Death,0.0016818998191634993,36.91111111111111,235.78195012588583,TNFSF10;OGT,2,0.11342268916554916,0,0,0.9453000601366545,38
stroma_consensus,Stroma Cells Consensus,Reactome,Reactome_Pathways_2024,4,RIPK1-mediated Regulated Necrosis,0.00189776395514496,34.60069444444444,216.8452838625928,TNFSF10;OGT,2,0.11342268916554916,0,0,0.9453000601366545,38
stroma_consensus,Stroma Cells Consensus,Reactome,Reactome_Pathways_2024,5,Diseases of Glycosylation,0.0026662244187144776,11.87952047952048,70.41100940460493,SPON2;MUC1;AGRN,3,0.11342268916554916,0,0,0.9453000601366545,38
stroma_consensus,Stroma Cells Consensus,Reactome,Reactome_Pathways_2024,6,NCAM1 Interactions,0.0028848830180678835,27.669444444444444,161.81840754317565,COL3A1;AGRN,2,0.11342268916554916,0,0,0.9453000601366545,38
stroma_consensus,Stroma Cells Consensus,Reactome,Reactome_Pathways_2024,7,Signaling by Receptor Tyrosine Kinases,0.0032808215874332407,5.544427324088341,31.71224697275137,COL3A1;STAT1;FLRT3;SPINT2;CTSD,5,0.11342268916554916,0,0,0.9453000601366545,38
stroma_consensus,Stroma Cells Consensus,Reactome,Reactome_Pathways_2024,8,Transcriptional Activity of SMAD2 SMAD3 SMAD4 Heterotrimer,0.004226355178565091,22.577097505668934,123.41579162471118,STAT1;NEDD4L,2,0.1222250587349126,0,0,0.9128397453650693,38
stroma_consensus,Stroma Cells Consensus,Reactome,Reactome_Pathways_2024,9,Signaling by PDGF,0.005433757630856095,19.748015873015873,102.98835886453806,COL3A1;STAT1,2,0.1222250587349126,0,0,0.9128397453650693,38
stroma_consensus,Stroma Cells Consensus,Reactome,Reactome_Pathways_2024,10,Non-integrin membrane-ECM Interactions,0.005617709933126759,19.400584795321638,100.5305552672347,COL3A1;AGRN,2,0.1222250587349126,0,0,0.9128397453650693,38
stroma_consensus,Stroma Cells Consensus,Reactome,Reactome_Pathways_2024,11,Regulated Necrosis,0.00599410507431672,18.74105461393597,95.89757878042748,TNFSF10;OGT,2,0.1222250587349126,0,0,0.9128397453650693,38
stroma_consensus,Stroma Cells Consensus,Reactome,Reactome_Pathways_2024,12,NCAM Signaling for Neurite Out-Growth,0.006381748754061208,18.124772313296905,91.60827449650567,COL3A1;AGRN,2,0.1222250587349126,0,0,0.9128397453650693,38
