gene_set,gene_set_label,library_short,library_name,rank,term,p_value,z_score,combined_score,overlap_genes,overlap_n,adjusted_p_value,old_p_value,old_adjusted_p_value,neg_log10_adjusted_p_value,gene_list_size
stroma_consensus,Stroma Cells Consensus,WikiPathways,WikiPathways_2024_Human,1,TP53 Network WP1742,0.0005889435697258123,65.1797385620915,484.753460150888,TNFSF10;BOK,2,0.07656266406435559,0,0,1.1159829633148124,38
stroma_consensus,Stroma Cells Consensus,WikiPathways,WikiPathways_2024_Human,2,Ectoderm Differentiation WP2858,0.0022723928683624894,12.588571428571429,76.62565081186298,CDH6;NR2F2;OGT,3,0.10256027447856145,0,0,0.9890208255362063,38
stroma_consensus,Stroma Cells Consensus,WikiPathways,WikiPathways_2024_Human,3,Nuclear Receptors WP170,0.0023667755648898794,30.75,185.92147321833002,NR2F1;NR2F2,2,0.10256027447856145,0,0,0.9890208255362063,38
stroma_consensus,Stroma Cells Consensus,WikiPathways,WikiPathways_2024_Human,4,RANKL RANK Signaling WP2018,0.0040654672914765,23.04861111111111,126.88782669928547,STAT1;MITF,2,0.11847900432267204,0,0,0.9263586042082039,38
stroma_consensus,Stroma Cells Consensus,WikiPathways,WikiPathways_2024_Human,5,Kit Receptor Signaling WP304,0.004556884781641232,21.68954248366013,116.93084061899421,STAT1;MITF,2,0.11847900432267204,0,0,0.9263586042082039,38
stroma_consensus,Stroma Cells Consensus,WikiPathways,WikiPathways_2024_Human,6,Primary Focal Segmental Glomerulosclerosis FSGS WP2572,0.008263045380087023,15.787301587301588,75.7152995895438,AGRN;PAX2,2,0.1426683666054777,0,0,0.8456723109192466,38
stroma_consensus,Stroma Cells Consensus,WikiPathways,WikiPathways_2024_Human,7,Prolactin Signaling WP2037,0.008711027426752983,15.347222222222221,72.79441551211283,STAT1;CTSD,2,0.1426683666054777,0,0,0.8456723109192466,38
stroma_consensus,Stroma Cells Consensus,WikiPathways,WikiPathways_2024_Human,9,Apoptosis WP254,0.011109725682823321,13.468834688346883,60.60887209282556,TNFSF10;BOK,2,0.1426683666054777,0,0,0.8456723109192466,38
stroma_consensus,Stroma Cells Consensus,WikiPathways,WikiPathways_2024_Human,10,Network Map Of SARS CoV 2 Signaling WP5115,0.012307978378173498,6.731132612407513,29.60020667329044,STAT1;TNFSF10;CTSD,3,0.1426683666054777,0,0,0.8456723109192466,38
stroma_consensus,Stroma Cells Consensus,WikiPathways,WikiPathways_2024_Human,11,Apoptosis Modulation And Signaling WP1772,0.012406134468090541,12.691570881226054,55.710465353757,TNFSF10;BOK,2,0.1426683666054777,0,0,0.8456723109192466,38
stroma_consensus,Stroma Cells Consensus,WikiPathways,WikiPathways_2024_Human,13,Neural Crest Differentiation WP2064,0.01577227115390671,11.146464646464647,46.25227590562789,CDH6;MITF,2,0.1426683666054777,0,0,0.8456723109192466,38
stroma_consensus,Stroma Cells Consensus,WikiPathways,WikiPathways_2024_Human,20,Adipogenesis WP236,0.025665456157879487,8.541343669250645,31.283604839394577,STAT1;NR2F1,2,0.1426683666054777,0,0,0.8456723109192466,38
stroma_consensus,Stroma Cells Consensus,WikiPathways,WikiPathways_2024_Human,22,Brain Derived Neurotrophic Factor BDNF Signaling WP2380,0.027881288198832576,8.15925925925926,29.208512127193195,MARCKS;STAT1,2,0.1426683666054777,0,0,0.8456723109192466,38
stroma_consensus,Stroma Cells Consensus,WikiPathways,WikiPathways_2024_Human,23,Neuroinflammation And Glutamatergic Signaling WP5083,0.029017270162921747,7.980676328502415,28.250509656037302,STAT1;GLS,2,0.1426683666054777,0,0,0.8456723109192466,38
stroma_consensus,Stroma Cells Consensus,WikiPathways,WikiPathways_2024_Human,38,Pleural Mesothelioma WP5087,0.0497569043398657,3.8567478604344965,11.572580941383473,CDH6;STAT1;OGT,3,0.14825027635638324,0,0,0.8290044883856869,38
stroma_consensus,Stroma Cells Consensus,WikiPathways,WikiPathways_2024_Human,61,Cancer Pathways WP5434,0.07111925557716907,3.309183673469388,8.747486707718634,STAT1;MITF;RUNX1T1,3,0.14825027635638324,0,0,0.8290044883856869,38
