gene_set,gene_set_label,library_short,library_name,rank,term,p_value,z_score,combined_score,overlap_genes,overlap_n,adjusted_p_value,old_p_value,old_adjusted_p_value,neg_log10_adjusted_p_value,gene_list_size
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,GO Biological Process,GO_Biological_Process_2026,1,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),2.944381652222003e-28,48.414987741178976,3069.1463248042523,COX8A;NDUFB9;NDUFA8;COX7B;NDUFB7;NDUFA6;NDUFB6;UQCRB;NDUFA12;NDUFB3;NDUFA1;NDUFB1;COX7A2;COX5B;COX6C;COX7C;COX5A;UQCRH;COX6B1;NDUFS6;NDUFAB1;CYCS;CYC1,23,3.857139964410824e-25,0,0,24.413734601562165,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,GO Biological Process,GO_Biological_Process_2026,2,Cellular Respiration (GO:0045333),2.572951995537715e-27,37.89180537772087,2319.9160701074443,COX8A;NDUFB9;NDUFA8;COX7B;NDUFB7;NDUFA6;NDUFB6;UQCRB;NDUFA12;NDUFB3;NDUFA1;NDUFB1;COX7A2;COX5B;COX6C;COX7C;COX5A;UQCRH;COX6B1;NR4A3;NDUFS6;NDUFAB1;CYCS;CYC1,24,1.6852835570772033e-24,0,0,23.77332701650582,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,GO Biological Process,GO_Biological_Process_2026,3,Aerobic Electron Transport Chain (GO:0019646),1.3935197933673744e-26,45.19475655430712,2690.6869894664733,COX8A;NDUFB9;NDUFA8;COX7B;NDUFB7;NDUFA6;NDUFB6;UQCRB;NDUFB3;NDUFA1;NDUFB1;COX7A2;COX5B;COX6C;COX7C;COX5A;UQCRH;COX6B1;NDUFS6;NDUFAB1;CYCS;CYC1,22,6.0850364310375355e-24,0,0,23.215736817310464,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,GO Biological Process,GO_Biological_Process_2026,4,Energy Derivation by Oxidation of Organic Compounds (GO:0015980),2.668256387518348e-16,44.33275832327066,1589.769888021562,COX8A;COX7B;UQCRB;COX7A2;COX5B;COX6C;COX5A;COX7C;UQCRH;COX6B1;NR4A3;CYCS;CYC1,13,8.738539669122589e-14,0,0,13.058561137918435,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,GO Biological Process,GO_Biological_Process_2026,5,Oxidative Phosphorylation (GO:0006119),4.122924723882878e-16,28.083926031294453,994.8674261383461,NDUFB9;NDUFA8;NDUFB7;NDUFA6;NDUFB6;UQCRB;NDUFA12;NDUFB3;NDUFA1;NDUFB1;COX7A2;COX7A1;UQCRH;NDUFS6;NDUFAB1,15,1.0802062776573141e-13,0,0,12.966493303129619,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,GO Biological Process,GO_Biological_Process_2026,6,Aerobic Respiration (GO:0009060),5.794689296195947e-16,17.866619618913198,626.8399800508179,NDUFB9;NDUFA8;NDUFB7;NDUFA6;UQCRB;NDUFB6;NDUFA12;IDH2;PGAM2;NDUFB3;NDUFA1;NDUFB1;COX7A2;COX7A1;UQCRH;NDUFS6;NDUFAB1;ACO2,18,1.2651738296694486e-13,0,0,12.89784980011681,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,GO Biological Process,GO_Biological_Process_2026,7,"Mitochondrial Electron Transport, Cytochrome C to Oxygen (GO:0006123)",1.8925816885845434e-14,116.57591623036649,3683.5948788275136,COX8A;COX7B;CYCS;COX7A2;COX5B;COX6C;COX5A;COX7C;COX6B1,9,3.5418314457796454e-12,0,0,11.45077211053996,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,GO Biological Process,GO_Biological_Process_2026,8,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",8.886510963712234e-12,32.51315789473684,827.3456370485211,NDUFB9;NDUFA8;NDUFB7;NDUFA6;NDUFB6;NDUFS6;NDUFB3;NDUFAB1;NDUFA1;NDUFB1,10,1.4551661703078784e-09,0,0,8.837087410302043,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,GO Biological Process,GO_Biological_Process_2026,9,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),2.96769899390792e-11,22.102971102971104,535.7903670148396,NDUFB9;NDUFA8;NDUFB7;NDUFA6;NDUFB6;NDUFA12;NDUFS6;NDUFB3;NDUFAB1;NDUFA1;NDUFB1,11,4.319650757799306e-09,0,0,8.364551364317457,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,GO Biological Process,GO_Biological_Process_2026,10,Proton Motive Force-Driven ATP Synthesis (GO:0015986),9.812636393194685e-11,19.473679490628644,448.7663683253984,NDUFB9;NDUFA8;NDUFB7;NDUFA6;NDUFB6;NDUFA12;NDUFS6;NDUFB3;NDUFAB1;NDUFA1;NDUFB1,11,1.2854553675085037e-08,0,0,7.89094299796416,200
