gene_set,gene_set_label,library_short,library_name,rank,term,p_value,z_score,combined_score,overlap_genes,overlap_n,adjusted_p_value,old_p_value,old_adjusted_p_value,neg_log10_adjusted_p_value,gene_list_size
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,MSigDB Hallmark,MSigDB_Hallmark_2020,1,Oxidative Phosphorylation,2.2175352805757028e-29,22.258503401360546,1468.5842548483754,ISCA1;COX7B;SLC25A3;NDUFB7;UQCRB;NDUFB6;COX17;NDUFB3;NDUFB1;COX7A2;MRPL15;COX5B;COX7C;COX5A;UQCRH;MPC1;PDK4;CYC1;COX8A;HSPA9;NDUFA8;NDUFA6;IDH2;NDUFA1;COX6C;COX6B1;NDUFS6;NDUFAB1;CYCS;ACO2;SLC25A5;SLC25A4,32,8.87014112230281e-28,0,0,27.05206947056852,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,MSigDB Hallmark,MSigDB_Hallmark_2020,2,TNF-alpha Signaling via NF-kB,4.888253113827215e-28,21.30741220545499,1339.9282844918898,BTG2;CDKN1A;CEBPB;CEBPD;ZFP36;NFIL3;IER3;MCL1;KLF10;EGR1;JUN;GADD45B;GADD45A;TIPARP;DUSP1;FOS;FOSL2;EIF1;RHOB;NFKBIA;PER1;NR4A1;RCAN1;KLF6;NR4A3;ID2;MAFF;BHLHE40;KLF9;SGK1;ATF3,31,9.77650622765443e-27,0,0,26.009816318743823,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,MSigDB Hallmark,MSigDB_Hallmark_2020,3,Hypoxia,5.206243618723061e-18,14.406109355549171,573.3152242717215,ERRFI1;JUN;CDKN1A;TIPARP;DUSP1;PGAM2;ADM;FOS;FOXO3;NDRG1;FOSL2;TPST2;MT2A;ZFP36;KLF6;NFIL3;DDIT3;DDIT4;BHLHE40;MAFF;ATF3;IER3;MT1E,23,6.941658158297416e-17,0,0,16.158536776953934,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,MSigDB Hallmark,MSigDB_Hallmark_2020,4,Apoptosis,8.834399129086195e-09,9.230958230958231,171.18454564710808,JUN;CDKN1A;BTG2;GADD45B;GADD45A;NEDD9;PLAT;RHOB;DDIT3;TIMP3;ATF3;IER3;MCL1,13,8.834399129086195e-08,0,0,7.0538229836553965,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,MSigDB Hallmark,MSigDB_Hallmark_2020,5,Adipogenesis,1.4671284327189212e-08,7.93721817551162,143.16657037615133,COX8A;PPP1R15B;COX7B;NDUFB7;GADD45A;CHCHD10;MRPL15;TOB1;NDUFAB1;UBC;SNCG;PIM3;CYC1;ACO2,14,9.780856218126142e-08,0,0,7.0096231253216965,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,MSigDB Hallmark,MSigDB_Hallmark_2020,6,p53 Pathway,1.4671284327189212e-08,7.93721817551162,143.16657037615133,JUN;CDKN1A;BTG2;GADD45A;ZBTB16;SLC3A2;FOS;FOXO3;NDRG1;TOB1;DDIT3;DDIT4;ATF3;IER3,14,9.780856218126142e-08,0,0,7.0096231253216965,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,MSigDB Hallmark,MSigDB_Hallmark_2020,7,IL-2/STAT5 Signaling,5.422894003133796e-06,6.071484858718901,73.61603101727053,SOCS2;GABARAPL1;KLF6;GADD45B;NFIL3;CISH;BHLHE40;MAFF;NDRG1;DHRS3;RHOB,11,2.8444984274624757e-05,0,0,4.545994301989216,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,MSigDB Hallmark,MSigDB_Hallmark_2020,8,Estrogen Response Late,5.688996854924951e-06,6.039052658100277,72.93349778920441,ZFP36;CISH;ID2;IDH2;FOS;CKB;SGK1;COX6C;TOB1;SERPINA5;FKBP5,11,2.8444984274624757e-05,0,0,4.545994301989216,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,MSigDB Hallmark,MSigDB_Hallmark_2020,9,Estrogen Response Early,3.4600949670423796e-05,5.43213296398892,55.79685681599258,KLF10;CISH;TIPARP;BHLHE40;RHOBTB3;SH3BP5;FOS;TOB1;DHRS3;FKBP5,10,0.00013840379868169518,0,0,3.8588519899091835,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,MSigDB Hallmark,MSigDB_Hallmark_2020,10,mTORC1 Signaling,3.4600949670423796e-05,5.43213296398892,55.79685681599258,HSPA9;IDI1;CDKN1A;BTG2;NFIL3;IGFBP5;GOT1;DDIT3;DDIT4;BHLHE40,10,0.00013840379868169518,0,0,3.8588519899091835,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,MSigDB Hallmark,MSigDB_Hallmark_2020,11,Xenobiotic Metabolism,0.00019001668226546373,4.837614100490667,41.45060631295679,MT2A;GABARAPL1;ARG2;PINK1;SERTAD1;ID2;PDK4;ACO2;NDRG2,9,0.0006909697536925954,0,0,3.1605409628890446,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,MSigDB Hallmark,MSigDB_Hallmark_2020,12,Myogenesis,0.0009340556104345935,4.255208333333333,29.684225172013964,GABARAPL2;CDKN1A;GADD45B;PGAM2;BHLHE40;CKB;COX7A1;PVALB,8,0.0027589713622728712,0,0,2.559252807411867,200
