gene_set,gene_set_label,library_short,library_name,rank,term,p_value,z_score,combined_score,overlap_genes,overlap_n,adjusted_p_value,old_p_value,old_adjusted_p_value,neg_log10_adjusted_p_value,gene_list_size
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,Reactome,Reactome_Pathways_2024,1,Aerobic Respiration and Respiratory Electron Transport,2.6805859809312747e-33,20.686353019686354,1551.4614302282303,NDUFB9;ISCA1;COX7B;NDUFB7;UQCRB;NDUFB6;MRPS36;NDUFA12;COX17;NDUFB3;NDUFB1;COX7A2;COX5B;COX7C;COX5A;COX7A1;UQCRH;MT-ND1;MPC1;UBC;PDK4;CYC1;COX8A;HSPA9;NDUFA8;NDUFA6;GOT1;IDH2;NDUFA1;COX6C;COX6B1;NDUFS6;NDUFAF4;NDUFAB1;CYCS;ACO2;MT-CYB;SLC25A4,38,2.056009447374288e-30,0,0,29.686974894086735,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,Reactome,Reactome_Pathways_2024,2,Respiratory Electron Transport,6.468696291980592e-30,27.121323529411764,1822.8398360174199,NDUFB9;COX7B;NDUFB7;UQCRB;NDUFB6;NDUFA12;COX17;NDUFB3;NDUFB1;COX7A2;COX5B;COX7A1;COX7C;COX5A;UQCRH;MT-ND1;CYC1;HSPA9;COX8A;NDUFA8;NDUFA6;GOT1;NDUFA1;COX6C;COX6B1;NDUFS6;NDUFAF4;NDUFAB1;CYCS;MT-CYB,30,2.480745027974557e-27,0,0,26.60541787040497,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,Reactome,Reactome_Pathways_2024,3,Complex I Biogenesis,4.848881206486995e-15,27.523297491039425,907.1686668464897,HSPA9;NDUFB9;NDUFA8;NDUFB7;NDUFA6;NDUFB6;NDUFA12;NDUFB3;NDUFA1;NDUFB1;MT-ND1;NDUFS6;NDUFAF4;NDUFAB1,14,1.239697295125175e-12,0,0,11.906684346374512,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,Reactome,Reactome_Pathways_2024,4,Cellular Responses to Stimuli,2.9383806664497893e-12,4.71745625266752,125.26338236958539,COX7B;CDKN1A;CEBPB;MT1M;ADM;COX7A2;COX5B;FOXO3;COX7C;COX5A;COX7A1;RPL7;HERPUD1;MT2A;CSRP1;GNG7;HSF1;UBC;SH3BP4;COX8A;HSPA9;JUN;FOS;COX6C;COX6B1;NFKBIA;DDIT3;RPL37A;ERF;CYCS;RPS20;ATF3;MT1E;ATF4;FKBP5,35,5.634344927917471e-10,0,0,9.249156569543036,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,Reactome,Reactome_Pathways_2024,5,Complex IV Assembly,3.750046766425251e-11,27.371191135734072,657.0910904767483,COX8A;COX7B;COX17;COX7A2;COX5B;COX6C;COX5A;COX7A1;COX7C;COX6B1,10,5.752571739696336e-09,0,0,8.240137956586311,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,Reactome,Reactome_Pathways_2024,6,Transcriptional Regulation by TP53,1.0509238664362548e-10,6.694719769327807,153.8190950377759,COX8A;JUN;BTG2;COX7B;CDKN1A;GADD45A;USP2;COX7A2;FOS;COX6C;COX5B;COX7C;COX5A;NDRG1;COX7A1;COX6B1;RGCC;UBC;DDIT4;CYCS;SGK1,21,1.3434310092610123e-08,0,0,7.871784631476124,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,Reactome,Reactome_Pathways_2024,7,Cytoprotection by HMOX1,3.274774919016314e-10,21.214822771213747,463.323281373675,COX8A;COX7B;CYCS;COX7A2;COX5B;COX6C;COX7C;COX5A;COX7A1;COX6B1,10,3.588217661265018e-08,0,0,7.445121220527835,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,Reactome,Reactome_Pathways_2024,8,TP53 Regulates Metabolic Genes,9.653778493980058e-10,15.306878306878307,317.7478568668387,COX8A;COX7B;DDIT4;CYCS;COX7A2;COX5B;COX6C;COX7C;COX5A;COX7A1;COX6B1,11,9.255560131103381e-08,0,0,7.033597293336113,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,Reactome,Reactome_Pathways_2024,9,Metabolism,4.588660100230427e-09,2.8394933358540504,54.517357085988195,ISCA1;COX7B;NDUFA12;COX7C;MT-ND1;RPL7;GUK1;MPC1;PDK4;NUDT16;GLUL;COX8A;ARG2;PGAM2;COX6B1;TPST2;NDUFS6;RPL37A;SLC25A4;IDI1;NDUFB9;NDUFB7;UQCRB;NDUFB6;MRPS36;COX17;NDUFB3;NDUFB1;COX7A2;SLC3A2;COX5B;COX5A;COX7A1;UQCRH;GNG7;UBC;CKB;CYC1;HSPA9;NDUFA8;NDUFA6;GOT1;IDH2;NDUFA1;COX6C;NDUFAF4;NDUFAB1;CYCS;RPS20;ACO2;MT-CYB,51,3.9105581076408196e-07,0,0,6.4077612564732735,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,Reactome,Reactome_Pathways_2024,10,Cellular Responses to Stress,5.593181599802563e-09,4.0839231547017185,77.60155429180377,COX7B;CDKN1A;CEBPB;COX7A2;COX5B;FOXO3;COX7C;COX5A;COX7A1;RPL7;HERPUD1;HSF1;UBC;SH3BP4;COX8A;HSPA9;JUN;FOS;COX6C;COX6B1;DDIT3;RPL37A;ERF;CYCS;RPS20;ATF3;ATF4;FKBP5,28,4.2899702870485657e-07,0,0,6.367545715790925,200
