gene_set,gene_set_label,library_short,library_name,rank,term,p_value,z_score,combined_score,overlap_genes,overlap_n,adjusted_p_value,old_p_value,old_adjusted_p_value,neg_log10_adjusted_p_value,gene_list_size
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,GO Biological Process,GO_Biological_Process_2026,1,Pronephros Development (GO:0048793),3.3473033797170354e-05,75.36548223350253,776.6239908457204,PAX8;HNF1B;PAX2,3,0.043860920475742554,0,0,1.357922258355236,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,GO Biological Process,GO_Biological_Process_2026,2,Branching Morphogenesis of an Epithelial Tube (GO:0048754),5.3196992693441544e-05,14.076923076923077,138.53816081158314,PKHD1;PAX8;NPNT;MET;PAX2,5,0.043860920475742554,0,0,1.357922258355236,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,GO Biological Process,GO_Biological_Process_2026,3,Cell-cell Junction Organization (GO:0045216),9.0483142653988e-05,9.108939836897985,84.80739062557714,CDH6;PKHD1;CXADR;CDH2;F2RL1;CLDN1,6,0.04675010665831328,0,0,1.3302173939665636,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,GO Biological Process,GO_Biological_Process_2026,4,Cell Junction Assembly (GO:0034329),0.00011340232057807951,7.004266991770802,63.6307447024975,CDH6;CDC42;CDH2;FLRT3;CAPZA1;PTEN;ZDHHC2,7,0.04675010665831328,0,0,1.3302173939665636,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,GO Biological Process,GO_Biological_Process_2026,5,Positive Regulation of T Cell Activation (GO:0050870),0.00018606236426110687,6.433412687298698,55.25933924533761,PYCARD;VCAM1;PTPRC;MDK;FLOT2;CD47;ARID1B,7,0.04928289093832829,0,0,1.3073038243473165,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,GO Biological Process,GO_Biological_Process_2026,6,Positive Regulation of Endocytosis (GO:0045807),0.00021051995052031558,7.7206055069816,65.36210680281118,PYCARD;CDC42;PTPRC;CYBA;CD47;CLU,6,0.04928289093832829,0,0,1.3073038243473165,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,GO Biological Process,GO_Biological_Process_2026,7,Positive Regulation of Epithelial Cell Differentiation (GO:0030858),0.00021690636844734666,15.521193092621663,130.93747995826848,PAX8;PROM1;WFDC2;PAX2,4,0.04928289093832829,0,0,1.3073038243473165,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,GO Biological Process,GO_Biological_Process_2026,8,Integrin-mediated Signaling Pathway (GO:0007229),0.00023909225440062242,7.529209621993127,62.78352722931161,CDC42;FYB1;ITGB8;ADAM10;ITGB6;CD47,6,0.04928289093832829,0,0,1.3073038243473165,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,GO Biological Process,GO_Biological_Process_2026,9,Protein Stabilization (GO:0050821),0.0004102985525292372,4.333087530418111,33.7921268493366,TESC;LAMP2;PTEN;FLOT2;MDM4;PFN1;TSPAN1;CLU;SOX4,9,0.05515812259962235,0,0,1.2583905241948825,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,GO Biological Process,GO_Biological_Process_2026,10,Positive Regulation of Myeloid Cell Differentiation (GO:0045639),0.0005488816438829229,11.864345738295318,89.07309099917518,SCIN;STAT1;TESC;ARNT,4,0.05515812259962235,0,0,1.2583905241948825,200
