gene_set,gene_set_label,library_short,library_name,rank,term,p_value,z_score,combined_score,overlap_genes,overlap_n,adjusted_p_value,old_p_value,old_adjusted_p_value,neg_log10_adjusted_p_value,gene_list_size
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,1,P53 SIGNALING PATHWAY,0.0009311205889878056,7.227106227106227,50.43885435146444,SESN3;CCNG2;PTEN;MDM4;TP53,5,0.11022014779744434,0,0,0.9577390109518883,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,2,CELL ADHESION MOLECULE (CAM) INTERACTION,0.0009626213781436187,4.81599215796107,33.45116102108894,VCAN;CXADR;VCAM1;PTPRC;CDH2;ITGB8;CLDN1,7,0.11022014779744434,0,0,0.9577390109518883,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,3,WNT SIGNALING PATHWAY,0.0016417160119961388,4.369465017959884,28.017067526816344,FZD1;RNF43;MMP7;TBL1XR1;GPC4;PRKACB;TP53,7,0.12531765558237193,0,0,0.9019877384086131,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,4,COMPLEMENT AND COAGULATION CASCADES,0.011332124720651236,4.848045242193263,21.71979386421627,AKR1C1;CFI;TFPI;CLU,4,0.4181972589357391,0,0,0.3786188180821546,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,5,ECM-RECEPTOR INTERACTION,0.01178108546087795,4.790087463556851,21.274023659747563,ITGB8;ITGB6;CD47;NPNT,4,0.4181972589357391,0,0,0.3786188180821546,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,6,FC GAMMA R-MEDIATED PHAGOCYTOSIS,0.016905547622331568,4.278332609639601,17.456082420924414,CDC42;MARCKS;SCIN;PTPRC,4,0.4181972589357391,0,0,0.3786188180821546,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,7,HUMAN PAPILLOMAVIRUS INFECTION,0.01768351754733478,2.5364583333333335,10.234919546478446,FZD1;CDC42;STAT1;PTEN;ITGB8;ITGB6;TP53;PRKACB,8,0.4181972589357391,0,0,0.3786188180821546,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,8,INTEGRIN SIGNALING,0.018954053076025063,3.404712404712405,13.502195618148978,CDC42;VCAM1;ITGB8;ITGB6;NPNT,5,0.4181972589357391,0,0,0.3786188180821546,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,9,LIPID AND ATHEROSCLEROSIS,0.02087121280428336,2.9131641554321965,11.272152075325952,PYCARD;CDC42;VCAM1;TNFSF10;CYBA;TP53,6,0.4181972589357391,0,0,0.3786188180821546,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,10,MICRORNAS IN CANCER,0.022498548001687938,3.249793217535153,12.330705045977473,MARCKS;PTEN;MDM4;TP53;SOX4,5,0.4181972589357391,0,0,0.3786188180821546,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,11,HUMAN T-CELL LEUKEMIA VIRUS 1 INFECTION,0.023064331952287628,2.8440540148105127,10.720570388897398,XPO1;MAP3K1;MMP7;PTEN;TP53;PRKACB,6,0.4181972589357391,0,0,0.3786188180821546,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,12,AUTOPHAGY - ANIMAL,0.02644756750521714,3.1082621082621085,11.291045241981207,LAMP2;STX7;PTEN;EPG5;PRKACB,5,0.4181972589357391,0,0,0.3786188180821546,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,13,REGULATION OF ACTIN CYTOSKELETON,0.027392677985212974,2.7275006965728616,9.81212791884465,CDC42;SCIN;AKR1C1;ITGB8;ITGB6;PFN1,6,0.4181972589357391,0,0,0.3786188180821546,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,14,CYTOSKELETON IN MUSCLE CELLS,0.02842272421746434,2.7028718703976438,9.623754509175262,VCAN;COL27A1;CAPZA1;ITGB8;ITGB6;LBR,6,0.4181972589357391,0,0,0.3786188180821546,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,15,INFLUENZA A,0.0288909145265973,3.0327463700957678,10.748744933976464,PYCARD;XPO1;STAT1;TMPRSS4;TNFSF10,5,0.4181972589357391,0,0,0.3786188180821546,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,16,LEUKOCYTE TRANSENDOTHELIAL MIGRATION,0.029219022458392252,3.587463556851312,12.674276737042403,CDC42;VCAM1;CYBA;CLDN1,4,0.4181972589357391,0,0,0.3786188180821546,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,17,THYROID HORMONE SYNTHESIS,0.03428251691018052,4.418931024186325,14.905583581524706,PAX8;GPX8;PRKACB,3,0.46180566896654934,0,0,0.3355407401373806,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,18,SALMONELLA INFECTION,0.0363514209236416,2.5420601230182793,8.42571416673488,PYCARD;DYNC2LI1;CDC42;PTPRC;TNFSF10;PFN1,6,0.46215935669885533,0,0,0.33520824998095,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,19,MUCIN TYPE O-GLYCAN BIOSYNTHESIS,0.04055549332201731,6.656565656565657,21.334852328849312,GALNT3;GALNT1,2,0.46215935669885533,0,0,0.33520824998095,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,20,PANCREATIC CANCER,0.04203162961868534,4.059404582247222,12.865604326296655,CDC42;STAT1;TP53,3,0.46215935669885533,0,0,0.33520824998095,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,21,LYSOSOME,0.04368612166772128,3.1364795918367347,9.819454472009996,LAPTM4A;AP1G2;LAMP2;CTSS,4,0.46215935669885533,0,0,0.33520824998095,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,22,YERSINIA INFECTION,0.04998167087837628,2.9951264087724643,8.973695008153785,PYCARD;CDC42;FYB1;ARHGEF28,4,0.46215935669885533,0,0,0.33520824998095,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,23,THYROID CANCER,0.05019950084615693,5.872251931075461,17.568310863627904,PAX8;TP53,2,0.46215935669885533,0,0,0.33520824998095,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,24,AMINO SUGAR AND NUCLEOTIDE SUGAR METABOLISM,0.05272745114535424,5.704184704184704,16.785242657704043,SLPI;GFPT1,2,0.46215935669885533,0,0,0.33520824998095,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,25,AFRICAN TRYPANOSOMIASIS,0.05272745114535424,5.704184704184704,16.785242657704043,VCAM1;F2RL1,2,0.46215935669885533,0,0,0.33520824998095,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,26,ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY,0.05514889117814504,3.6175769066112164,10.482720030479646,CDH2;ITGB8;ITGB6,3,0.46215935669885533,0,0,0.33520824998095,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,27,LONGEVITY REGULATING PATHWAY,0.056713777507364435,3.574329224075417,10.257388785645555,SESN3;PRKACB;TP53,3,0.46215935669885533,0,0,0.33520824998095,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,28,PD-L1 EXPRESSION AND PD-1 CHECKPOINT PATHWAY IN CANCER,0.058299639030035655,3.5320991340698717,10.038788675236006,STAT1;PTEN;RASGRP1,3,0.46215935669885533,0,0,0.33520824998095,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,30,GNRH SIGNALING PATHWAY,0.061533687302421126,3.450551374059163,9.62072552614985,CDC42;MAP3K1;PRKACB,3,0.4633185033021744,0,0,0.33412035526507955,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,31,FERROPTOSIS,0.06327253922506833,5.118104118104118,14.127522570834804,SLC40A1;TP53,2,0.4633185033021744,0,0,0.33412035526507955,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,32,PHAGOSOME,0.06523642510205846,2.7284464806330697,7.447942126063196,LAMP2;STX7;CYBA;CTSS,4,0.4633185033021744,0,0,0.33412035526507955,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,33,VASOPRESSIN-REGULATED WATER REABSORPTION,0.06878964677848877,4.867947770386794,13.030045670347697,DYNC2LI1;PRKACB,2,0.4633185033021744,0,0,0.33412035526507955,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,34,OTHER TYPES OF O-GLYCAN BIOSYNTHESIS,0.06878964677848877,4.867947770386794,13.030045670347697,GALNT3;GALNT1,2,0.4633185033021744,0,0,0.33412035526507955,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,35,VARIOUS TYPES OF N-GLYCAN BIOSYNTHESIS,0.07160561148891219,4.7518037518037515,12.52851945708889,TUSC3;STT3B,2,0.4685052865988826,0,0,0.3292855041833128,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,36,MAPK SIGNALING PATHWAY,0.07743872219041296,2.0806967650195523,5.322980652411488,CDC42;MAP3K1;MAP3K21;TP53;PRKACB;RASGRP1,6,0.4726070367331274,0,0,0.32549981636506126,200
whole_ckd_up_traditional,Whole Dataset CKD Up Traditional,KEGG,KEGG_2026,37,AGE-RAGE SIGNALING PATHWAY IN DIABETIC COMPLICATIONS,0.0789086435328542,3.0932544874143075,7.855209980826792,CDC42;VCAM1;STAT1,3,0.4726070367331274,0,0,0.32549981636506126,200
