gene_set,gene_set_label,library_short,library_name,rank,term,p_value,z_score,combined_score,overlap_genes,overlap_n,adjusted_p_value,old_p_value,old_adjusted_p_value,neg_log10_adjusted_p_value,gene_list_size
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,1,WNT SIGNALING PATHWAY,0.00020137047970699446,7.7643587726199845,66.07752065385722,FZD1;MMP7;TBL1XR1;GPC4;TP53;PRKACB,6,0.03705216826608698,0,0,1.4311863723420477,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,2,HUMAN PAPILLOMAVIRUS INFECTION,0.005814870464100087,3.9228611500701263,20.192287439103634,FZD1;STAT1;ITGB8;ITGB6;TP53;PRKACB,6,0.334895334659468,0,0,0.47509090246240826,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,3,P53 SIGNALING PATHWAY,0.00613911562812676,8.606336805555555,43.83271522595941,SESN3;MDM4;TP53,3,0.334895334659468,0,0,0.47509090246240826,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,4,CELL ADHESION MOLECULE (CAM) INTERACTION,0.007391232462686639,5.507145346810735,27.026099818755092,VCAM1;CXADR;ITGB8;CLDN1,4,0.334895334659468,0,0,0.47509090246240826,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,5,LONGEVITY REGULATING PATHWAY,0.009234978369006441,7.372395833333333,34.53788304314035,SESN3;PRKACB;TP53,3,0.334895334659468,0,0,0.47509090246240826,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,6,MUCIN TYPE O-GLYCAN BIOSYNTHESIS,0.010922659437504534,13.657044673539518,61.68772086834981,GALNT3;GALNT1,2,0.334895334659468,0,0,0.47509090246240826,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,7,AFRICAN TRYPANOSOMIASIS,0.014433523800833282,11.703092783505154,49.60006815590735,VCAM1;F2RL1,2,0.334895334659468,0,0,0.47509090246240826,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,8,DILATED CARDIOMYOPATHY,0.014560666724324697,6.1878125,26.170928767943153,ITGB8;ITGB6;PRKACB,3,0.334895334659468,0,0,0.47509090246240826,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,9,OTHER TYPES OF O-GLYCAN BIOSYNTHESIS,0.019198403941144727,9.98742770932864,39.47958395321927,GALNT3;GALNT1,2,0.35643129470393237,0,0,0.44802417186141863,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,10,"GROWTH HORMONE SYNTHESIS, SECRETION AND ACTION",0.0208444029993732,5.376630434782609,20.81116109296224,MAP3K1;STAT1;PRKACB,3,0.35643129470393237,0,0,0.44802417186141863,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,11,THYROID HORMONE SIGNALING PATHWAY,0.021308392618169872,5.330010775862069,20.513368700965213,STAT1;TP53;PRKACB,3,0.35643129470393237,0,0,0.44802417186141863,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,12,HUMAN T-CELL LEUKEMIA VIRUS 1 INFECTION,0.023489312284436518,3.8552753977968175,14.46194669079852,MAP3K1;MMP7;TP53;PRKACB,4,0.3601694550280266,0,0,0.44349312126459123,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,13,ETHER LIPID METABOLISM,0.026425496302907345,8.353460972017674,30.35168200032022,AGPS;CEPT1,2,0.36127155834355446,0,0,0.4421662275840811,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,15,APOPTOSIS,0.03006054613860629,4.644736842105263,16.277674071949523,TNFSF10;CASP2;TP53,3,0.36127155834355446,0,0,0.4421662275840811,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,16,HEDGEHOG SIGNALING PATHWAY,0.03141491811683082,7.578083237877053,26.223747886770177,PRKACB;CSNK1G1,2,0.36127155834355446,0,0,0.4421662275840811,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,17,BASAL CELL CARCINOMA,0.037848381018999164,6.818213058419244,22.323968696801245,FZD1;TP53,2,0.380017981753403,0,0,0.42019585287921013,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,18,INTEGRIN SIGNALING,0.04043155118150202,4.114791666666667,13.200847607722539,VCAM1;ITGB8;ITGB6,3,0.380017981753403,0,0,0.42019585287921013,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,19,CELL CYCLE,0.04310292696998395,4.0071022727272725,12.59898820504381,ORC4;MCM7;TP53,3,0.380017981753403,0,0,0.42019585287921013,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,20,HEPATITIS C,0.043784326894421514,3.981048387096774,12.45462770660305,STAT1;TP53;CLDN1,3,0.380017981753403,0,0,0.42019585287921013,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,21,MICRORNAS IN CANCER,0.04516330417116722,3.929936305732484,12.172861288524787,MARCKS;MDM4;TP53,3,0.380017981753403,0,0,0.42019585287921013,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,22,HEPATITIS B,0.04586085478237694,3.9048655063291138,12.035355302854477,MAP3K1;STAT1;TP53,3,0.380017981753403,0,0,0.42019585287921013,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,23,THYROID HORMONE SYNTHESIS,0.04834257781862479,5.926191543403556,17.95305698878134,GPX8;PRKACB,2,0.380017981753403,0,0,0.42019585287921013,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,24,AUTOPHAGY - ANIMAL,0.05015814200322705,3.7608612804878048,11.254657283007145,STX7;EPG5;PRKACB,3,0.380017981753403,0,0,0.42019585287921013,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,25,TIGHT JUNCTION,0.051632877955625406,3.7151731927710845,11.010274790068166,MAP3K1;CLDN1;PRKACB,3,0.380017981753403,0,0,0.42019585287921013,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,26,PANCREATIC CANCER,0.05585569933284799,5.450446735395189,15.724450052187713,STAT1;TP53,2,0.39121349305550096,0,0,0.4075861746960641,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,27,MAPK SIGNALING PATHWAY,0.059501369847819646,2.8275414563806778,7.978631911570572,MAP3K1;TP53;RASGRP1;PRKACB,4,0.39121349305550096,0,0,0.4075861746960641,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,29,TRANSCRIPTIONAL MISREGULATION IN CANCER,0.06751000922147593,3.312331989247312,8.928322667270274,BMP2K;PROM1;TP53,3,0.39121349305550096,0,0,0.4075861746960641,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,30,ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY,0.06782697482760588,4.864261168384879,13.088731111004433,ITGB8;ITGB6,2,0.39121349305550096,0,0,0.4075861746960641,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,31,PD-L1 EXPRESSION AND PD-1 CHECKPOINT PATHWAY IN CANCER,0.07059348565548233,4.750659314313114,12.593130418927519,STAT1;RASGRP1,2,0.39121349305550096,0,0,0.4075861746960641,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,32,BILE SECRETION,0.07059348565548233,4.750659314313114,12.593130418927519,ABCC3;PRKACB,2,0.39121349305550096,0,0,0.4075861746960641,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,33,ECM-RECEPTOR INTERACTION,0.07059348565548233,4.750659314313114,12.593130418927519,ITGB8;ITGB6,2,0.39121349305550096,0,0,0.4075861746960641,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,34,GNRH SIGNALING PATHWAY,0.07339645331006248,4.642221180880974,12.124923100711902,MAP3K1;PRKACB,2,0.39121349305550096,0,0,0.4075861746960641,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,35,PROTEOGLYCANS IN CANCER,0.07441561009207899,3.174452319587629,8.24751138606652,FZD1;TP53;PRKACB,3,0.39121349305550096,0,0,0.4075861746960641,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,36,MELANOGENESIS,0.08201444581874723,4.344593112524676,10.865218604443312,FZD1;PRKACB,2,0.41135458887807425,0,0,0.38578365354604577,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,37,INFLAMMATORY MEDIATOR REGULATION OF TRP CHANNELS,0.08348003075258471,4.2986435160065115,10.674167311796651,F2RL1;PRKACB,2,0.41135458887807425,0,0,0.38578365354604577,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,38,HYPERTROPHIC CARDIOMYOPATHY,0.0849536650943849,4.253651202749141,10.48801205800616,ITGB8;ITGB6,2,0.41135458887807425,0,0,0.38578365354604577,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,39,AGE-RAGE SIGNALING PATHWAY IN DIABETIC COMPLICATIONS,0.08792462838146668,4.166421207658321,10.129717084781953,VCAM1;STAT1,2,0.41435972810419236,0,0,0.3826224605794815,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,40,LIPID AND ATHEROSCLEROSIS,0.09007820176178095,2.9161729857819907,7.019453148013268,VCAM1;TNFSF10;TP53,3,0.41435972810419236,0,0,0.3826224605794815,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,42,CYTOSKELETON IN MUSCLE CELLS,0.10596717728316428,2.7084251101321586,6.079401099204884,COL27A1;ITGB8;ITGB6,3,0.4617813758396988,0,0,0.33556358664871083,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,44,LEUKOCYTE TRANSENDOTHELIAL MIGRATION,0.11273029067528327,3.5787665038885876,7.8115780722634005,VCAM1;CLDN1,2,0.46683566444590896,0,0,0.33083597293429756,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,46,NEUROTROPHIN SIGNALING PATHWAY,0.11756598434966731,3.4864745792580845,7.463689749994849,MAP3K1;TP53,2,0.46683566444590896,0,0,0.33083597293429756,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,47,PATHWAYS IN CANCER,0.11924606646172675,1.9825081833060556,4.215934765779214,FZD1;STAT1;TP53;RASGRP1;PRKACB,5,0.46683566444590896,0,0,0.33083597293429756,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,48,PLATELET ACTIVATION,0.1273900891192433,3.3153968653088595,6.831379658014698,RASGRP1;PRKACB,2,0.4883286749570993,0,0,0.31128777293071375,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,50,PARKINSON DISEASE,0.1418318655646382,2.3606971153846152,4.610708150134551,LRRK2;TP53;PRKACB,3,0.5057048359301091,0,0,0.2961028932970199,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,KEGG,KEGG_2026,51,OSTEOCLAST DIFFERENTIATION,0.14247080119771446,3.0879412683536396,6.017218568843845,STAT1;TNFRSF11B,2,0.5057048359301091,0,0,0.2961028932970199,99
