gene_set,gene_set_label,library_short,library_name,rank,term,p_value,z_score,combined_score,overlap_genes,overlap_n,adjusted_p_value,old_p_value,old_adjusted_p_value,neg_log10_adjusted_p_value,gene_list_size
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,MSigDB Hallmark,MSigDB_Hallmark_2020,1,Inflammatory Response,0.0004805502438833025,6.553708014632524,50.074122316048125,SEMA4D;TPBG;TNFSF10;ITGB8;RASGRP1;MET,6,0.016338708292032284,0,0,1.786782280962545,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,MSigDB Hallmark,MSigDB_Hallmark_2020,2,Apical Junction,0.017483341012795233,4.2330827067669174,17.129197930647717,CDH6;VCAM1;TNFRSF11B;RHOF,4,0.09737880946746741,0,0,1.0115355393492746,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,MSigDB Hallmark,MSigDB_Hallmark_2020,3,Epithelial Mesenchymal Transition,0.017483341012795233,4.2330827067669174,17.129197930647717,CDH6;VCAM1;MCM7;TNFRSF11B,4,0.09737880946746741,0,0,1.0115355393492746,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,MSigDB Hallmark,MSigDB_Hallmark_2020,4,Glycolysis,0.017483341012795233,4.2330827067669174,17.129197930647717,TPBG;GPC4;MET;DSC2,4,0.09737880946746741,0,0,1.0115355393492746,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,MSigDB Hallmark,MSigDB_Hallmark_2020,5,KRAS Signaling Up,0.017483341012795233,4.2330827067669174,17.129197930647717,MAP3K1;GALNT3;F2RL1;TSPAN1,4,0.09737880946746741,0,0,1.0115355393492746,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,MSigDB Hallmark,MSigDB_Hallmark_2020,6,Wnt-beta Catenin Signaling,0.01836394521075394,10.237628865979381,40.92354991919948,FZD1;TP53,2,0.09737880946746741,0,0,1.0115355393492746,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,MSigDB Hallmark,MSigDB_Hallmark_2020,7,Apical Surface,0.020048578419772704,9.74914089347079,38.11521227729213,FLOT2;ADAM10,2,0.09737880946746741,0,0,1.0115355393492746,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,MSigDB Hallmark,MSigDB_Hallmark_2020,8,Cholesterol Homeostasis,0.05204996006648986,5.678407789232532,16.782825245925853,TP53INP1;GPX8,2,0.22121233028258191,0,0,0.6551906693002468,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,MSigDB Hallmark,MSigDB_Hallmark_2020,9,TNF-alpha Signaling via NF-kB,0.07708358232084961,3.1256345177664975,8.010579186959143,MARCKS;TNFAIP8;F2RL1,3,0.23237426315311716,0,0,0.6338119743434129,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,MSigDB Hallmark,MSigDB_Hallmark_2020,10,Hypoxia,0.07708358232084961,3.1256345177664975,8.010579186959143,MAP3K1;TPBG;GPC4,3,0.23237426315311716,0,0,0.6338119743434129,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,MSigDB Hallmark,MSigDB_Hallmark_2020,11,Interferon Gamma Response,0.07708358232084961,3.1256345177664975,8.010579186959143,VCAM1;STAT1;TNFSF10,3,0.23237426315311716,0,0,0.6338119743434129,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,MSigDB Hallmark,MSigDB_Hallmark_2020,12,Protein Secretion,0.08201444581874723,4.344593112524676,10.865218604443312,STX7;ADAM10,2,0.23237426315311716,0,0,0.6338119743434129,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,MSigDB Hallmark,MSigDB_Hallmark_2020,14,Coagulation,0.14929159520156135,2.9965130382049727,5.698929920372418,MMP7;CFI,2,0.36256530263236325,0,0,0.44061376007592423,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,MSigDB Hallmark,MSigDB_Hallmark_2020,15,Apoptosis,0.18962373671345423,2.560072618816054,4.256667312890014,TNFSF10;CASP2,2,0.4217958161398614,0,0,0.37489773241157015,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,MSigDB Hallmark,MSigDB_Hallmark_2020,16,Mitotic Spindle,0.25868657149272617,2.062274321000576,2.7884796795616,MARCKS;RHOF,2,0.4217958161398614,0,0,0.37489773241157015,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,MSigDB Hallmark,MSigDB_Hallmark_2020,17,IL-2/STAT5 Signaling,0.25868657149272617,2.062274321000576,2.7884796795616,TNFSF10;CDC42SE2,2,0.4217958161398614,0,0,0.37489773241157015,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,MSigDB Hallmark,MSigDB_Hallmark_2020,18,Estrogen Response Early,0.2605209452628556,2.0517546600020826,2.7597577787968723,TPBG;RASGRP1,2,0.4217958161398614,0,0,0.37489773241157015,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,MSigDB Hallmark,MSigDB_Hallmark_2020,19,Complement,0.2605209452628556,2.0517546600020826,2.7597577787968723,DYRK2;RASGRP1,2,0.4217958161398614,0,0,0.37489773241157015,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,MSigDB Hallmark,MSigDB_Hallmark_2020,20,E2F Targets,0.2605209452628556,2.0517546600020826,2.7597577787968723,MCM7;TP53,2,0.4217958161398614,0,0,0.37489773241157015,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,MSigDB Hallmark,MSigDB_Hallmark_2020,21,Allograft Rejection,0.2605209452628556,2.0517546600020826,2.7597577787968723,STAT1;GALNT1,2,0.4217958161398614,0,0,0.37489773241157015,99
