gene_set,gene_set_label,library_short,library_name,rank,term,p_value,z_score,combined_score,overlap_genes,overlap_n,adjusted_p_value,old_p_value,old_adjusted_p_value,neg_log10_adjusted_p_value,gene_list_size
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Reactome,Reactome_Pathways_2024,1,Signal Transduction,0.00012281663201884078,2.5108758700696057,22.609980510605293,LRRK2;RAP1GDS1;RASGRP1;NLN;FLRT3;STK38;TNFSF10;FLOT2;CASP2;ITGB8;ITGB6;TRIM27;PRKACB;FZD1;MMP7;COL27A1;GALNT3;STAT1;WDR19;ADAM10;RHOF;UBXN11;TBL1XR1;F2RL1;TP53;MET;CDC42SE2,27,0.06644379792219286,0,0,1.1775455512731732,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Reactome,Reactome_Pathways_2024,2,Sema4D Mediated Inhibition of Cell Attachment and Migration,0.0006660973651765811,68.36769759450172,500.0464475569458,SEMA4D;MET,2,0.16770356071824963,0,0,0.7754577162617106,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Reactome,Reactome_Pathways_2024,3,Regulation of TP53 Activity Through Phosphorylation,0.0011308225144808495,9.479904306220096,64.31934974557537,DYRK2;TP53INP1;MDM4;TP53,4,0.16770356071824963,0,0,0.7754577162617106,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Reactome,Reactome_Pathways_2024,4,TP53 Regulates Transcription of Cell Death Genes,0.0013447855059515812,15.137195121951219,100.07987970271886,TP53INP1;CASP2;TP53,3,0.16770356071824963,0,0,0.7754577162617106,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Reactome,Reactome_Pathways_2024,5,TP53 Regulates Transcription of Caspase Activators and Caspases,0.0015499404872296638,41.01237113402062,265.33112403993107,CASP2;TP53,2,0.16770356071824963,0,0,0.7754577162617106,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Reactome,Reactome_Pathways_2024,6,Rap1 Signalling,0.0027819620672849227,29.288659793814432,172.35201288039633,RASGRP1;PRKACB,2,0.21386266030265175,0,0,0.6698650351577771,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Reactome,Reactome_Pathways_2024,7,Regulated Necrosis,0.0034392003706440267,10.691271551724139,60.646411984638426,TNFSF10;FLOT2;TP53,3,0.21386266030265175,0,0,0.6698650351577771,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Reactome,Reactome_Pathways_2024,8,Extracellular Matrix Organization,0.003783879496487965,4.302611367127496,23.995687146261588,VCAM1;MMP7;COL27A1;ADAM10;ITGB8;ITGB6,6,0.21386266030265175,0,0,0.6698650351577771,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Reactome,Reactome_Pathways_2024,9,Regulation of TP53 Activity Through Methylation,0.003926182004198906,24.116434202546998,133.6071635204122,MDM4;TP53,2,0.21386266030265175,0,0,0.6698650351577771,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,Reactome,Reactome_Pathways_2024,10,O-linked Glycosylation of Mucins,0.0041150040179141634,9.999495967741936,54.928385977074,GALNT7;GALNT3;GALNT1,3,0.21386266030265175,0,0,0.6698650351577771,99
