gene_set,gene_set_label,library_short,library_name,rank,term,p_value,z_score,combined_score,overlap_genes,overlap_n,adjusted_p_value,old_p_value,old_adjusted_p_value,neg_log10_adjusted_p_value,gene_list_size
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,1,Hippo Merlin Signaling Dysregulation WP4541,0.0003262366056370165,9.151711378353376,73.46891080271067,CDH6;ITGB8;ITGB6;PRKACB;MET,5,0.09591356205728285,0,0,1.0181199797927623,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,2,Apoptosis WP254,0.0008047871293697965,10.432105263157895,74.32804845219222,MAP3K1;TNFSF10;CASP2;TP53,4,0.09973154208013948,0,0,1.0011674657113683,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,3,ATM Signaling WP2516,0.0010176687967361172,16.777027027027028,115.59775546680237,CASP2;MDM4;TP53,3,0.09973154208013948,0,0,1.0011674657113683,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,4,Wnt Signaling And Pluripotency WP399,0.0015973619541370153,8.59641888225719,55.35579513053687,FZD1;MMP7;LRRK2;TP53,4,0.11740610362907063,0,0,0.9303093246938516,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,5,Apoptosis Modulation By HSP70 WP384,0.003926182004198906,24.116434202546998,133.6071635204122,MAP3K1;CASP2,2,0.13754419071857676,0,0,0.8615577476381238,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,6,TP53 Network WP1742,0.003926182004198906,24.116434202546998,133.6071635204122,TNFSF10;TP53,2,0.13754419071857676,0,0,0.8615577476381238,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,7,G1 To S Cell Cycle Control WP45,0.003939082649828978,10.163934426229508,56.2757474740969,ORC4;MCM7;TP53,3,0.13754419071857676,0,0,0.8615577476381238,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,8,Ether Lipid Biosynthesis WP5275,0.004348408989517873,22.77548682703322,123.85185041479878,AGPS;CEPT1,2,0.13754419071857676,0,0,0.8615577476381238,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,9,Unfolded Protein Response WP4925,0.005734661369621297,19.518900343642613,100.74146719605555,CASP2;TP53,2,0.13754419071857676,0,0,0.8615577476381238,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,10,Arrhythmogenic Right Ventricular Cardiomyopathy WP2118,0.005914528961844121,8.727992957746478,44.77760123392785,ITGB8;ITGB6;DSC2,3,0.13754419071857676,0,0,0.8615577476381238,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,11,Pleural Mesothelioma WP5087,0.006020573788214956,3.445323559150657,17.614467207516572,CDH6;FZD1;MAP3K1;STAT1;MDM4;TP53;MET,7,0.13754419071857676,0,0,0.8615577476381238,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,12,miRNA Regulation Of P53 Pathway In Prostate Cancer WP3982,0.0062359246796265325,18.63074039362699,94.59625050266868,SESN3;TP53,2,0.13754419071857676,0,0,0.8615577476381238,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,13,MAPK Signaling WP382,0.007576438875160143,4.33918954709985,21.187012850675284,MAP3K1;LRRK2;TP53;RASGRP1;PRKACB,5,0.13754419071857676,0,0,0.8615577476381238,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,14,Glioblastoma Signaling WP2261,0.007853921762697473,7.8409810126582276,38.00321422472152,MDM4;MET;TP53,3,0.13754419071857676,0,0,0.8615577476381238,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,15,T Cell Receptor And Co Stimulatory Signaling WP2583,0.008431539185493001,15.761300555114989,75.2724399640349,DYRK2;RASGRP1,2,0.13754419071857676,0,0,0.8615577476381238,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,16,Acute Viral Myocarditis WP4298,0.008666702863437143,7.5529725609756095,35.863529253556464,CXADR;STAT1;CASP2,3,0.13754419071857676,0,0,0.8615577476381238,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,17,Extracellular Vesicle Mediated Signaling In Recipient Cells WP2870,0.009027099356921118,15.176785032455136,71.44508260735158,PROM1;MET,2,0.13754419071857676,0,0,0.8615577476381238,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,18,PDGFR Beta Pathway WP3972,0.009027099356921118,15.176785032455136,71.44508260735158,MAP3K1;STAT1,2,0.13754419071857676,0,0,0.8615577476381238,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,19,Hair Follicle Development Cytodifferentiation Stage 3 Of 3 WP2840,0.009234978369006441,7.372395833333333,34.53788304314035,FZD1;PROM1;DSC2,3,0.13754419071857676,0,0,0.8615577476381238,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,20,Glycerophospholipid Biosynthetic Pathway WP2533,0.009640933700327758,14.6340206185567,67.92727962001706,AGPS;CEPT1,2,0.13754419071857676,0,0,0.8615577476381238,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,21,Apoptosis Modulation And Signaling WP1772,0.009824585051326912,7.200218023255814,33.28565285637053,TNFSF10;CASP2;TP53,3,0.13754419071857676,0,0,0.8615577476381238,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,22,Fluoropyrimidine Activity WP1601,0.01159017163358524,13.215829730628533,58.91085370390265,ABCC3;TP53,2,0.14687399031783901,0,0,0.8330551059222189,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,23,Type I Collagen Synthesis Osteogenesis Imperfecta WP4786,0.01159017163358524,13.215829730628533,58.91085370390265,FZD1;TNFRSF11B,2,0.14687399031783901,0,0,0.8330551059222189,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,24,Hippo Signaling Regulation WP4540,0.012745655260533006,6.5151315789473685,28.422683884777385,CDH6;PRKACB;MET,3,0.14687399031783901,0,0,0.8330551059222189,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,25,P38 MAPK Signaling WP400,0.012977557188192254,12.41362074351765,53.9313946964376,MAP3K1;STAT1,2,0.14687399031783901,0,0,0.8330551059222189,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,26,Cancer Pathways WP5434,0.012988856286611613,2.9523260869565218,12.823911057681899,FZD1;STAT1;ARNT;TP53;RASGRP1;PRKACB;MET,7,0.14687399031783901,0,0,0.8330551059222189,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,27,Photodynamic Therapy Induced HIF 1 Survival Signaling WP3614,0.014433523800833282,11.703092783505154,49.60006815590735,ARNT;TP53,2,0.15155199990874946,0,0,0.8194383282267225,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,28,Serotonin HTR1 Group And FOS Pathway WP722,0.014433523800833282,11.703092783505154,49.60006815590735,MAP3K1;RASGRP1,2,0.15155199990874946,0,0,0.8194383282267225,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,29,Parkinson 39 S Disease Pathway WP2371,0.015186767465819753,11.377434135166094,47.64108028526383,LRRK2;CASP2,2,0.15396240120520713,0,0,0.812585324246456,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,30,Macrophage Stimulating Protein MSP Signaling WP5353,0.016514828127813498,5.891666666666667,24.176434295422705,FZD1;TP53;CLDN1,3,0.15878724056849491,0,0,0.7991843984664035,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,31,PDGF Pathway WP2526,0.0167428723048413,10.777536625067825,44.077782248456614,MAP3K1;STAT1,2,0.15878724056849491,0,0,0.7991843984664035,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,32,DNA Replication WP466,0.01836394521075394,10.237628865979381,40.92354991919948,ORC4;MCM7,2,0.16871874662380185,0,0,0.7728366595392462,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,33,Hedgehog Signaling WP4249,0.019198403941144727,9.98742770932864,39.47958395321927,PRKACB;CSNK1G1,2,0.17104032602110755,0,0,0.7669014843228963,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,34,Integrated Cancer Pathway WP1971,0.020048578419772704,9.74914089347079,38.11521227729213,STAT1;TP53,2,0.1733612369239169,0,0,0.7610480030073707,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,35,TROP2 Regulatory Signaling WP5300,0.0209142959495074,9.52193718532726,36.824400369482454,STAT1;CLDN1,2,0.17568008597586215,0,0,0.7552774646911055,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,36,Cell Cycle WP179,0.02177803493090635,5.284188034188034,20.22181288730443,ORC4;MCM7;TP53,3,0.1778539519357352,0,0,0.7499364802965071,99
whole_consensus_ml_rf,Whole Dataset Consensus ML RF,WikiPathways,WikiPathways_2024_Human,37,Mechanoreg And Pathology Of YAP TAZ Hippo And Non Hippo Mechs WP4534,0.022691675852434673,9.097823596792669,34.44215049702341,ITGB8;ITGB6,2,0.1803068297463728,0,0,0.7439878225566566,99
