gene,rank_score,adj_p_value,diff_mean_log_expr,cohen_d,pct_expr_case,pct_expr_control,traditional_rank,combined_ml_biomarker_score,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,ml_rank,random_forest_importance,rf_rank,traditional_score_scaled,ml_score_scaled,rf_score_scaled,consensus_score,mean_rank
PROM1,0.6971012219548752,0.012635594169472,0.1869801566248675,1.963864902851639,0.1637611346866995,0.0592609699769053,9,0.4955535033226081,0.9083333333333332,0.9222222222222222,2,0.0117489217653443,20,0.3195596887108355,1.0,1.0,0.7731865629036118,10.333333333333334
DYRK2,0.2340317783148884,0.0044562553580607,0.0456783057223727,2.179248158487828,0.071414917612876,0.0423094688221709,63,0.4935347875130379,0.9416666666666668,0.9583333333333331,3,0.0099999999999999,27,0.08506966426936956,0.9943031140064631,0.8511419345302663,0.6435049042686997,31.0
MAP3K1,1.2140945006723722,0.0005733932015604,0.1342241365919468,2.790419436427797,0.1816530947738655,0.1115473441108545,3,0.3949289778192851,0.9083333333333332,0.9666666666666666,8,0.0041052631578947,63,0.581355771841705,0.7160341008731637,0.34941616259663605,0.5489353451038349,24.666666666666668
ITGB8,1.4808660810546963,0.0027316851941731,0.2424911509166755,2.3821813502610247,0.2645372175708223,0.1499769053117783,2,0.3679030891811697,0.9083333333333332,0.9361111111111112,19,0.0019518240044555,128,0.7164440944751742,0.6397661062820164,0.1661279259014882,0.5074460422195596,49.666666666666664
GALNT3,0.231306663009328,0.0207521818637028,0.0805385138471395,1.7065415647036433,0.1302328248652368,0.089284064665127,64,0.4583745730563192,0.9666666666666666,0.9666666666666666,4,0.0059999999999999,48,0.08368971496936033,0.8950797699782242,0.5106851607181564,0.4964848818885803,38.666666666666664
CDH6,0.5557351332782497,0.0109361174699046,0.146357586386128,1.9361754901926,0.1303857476010246,0.0576443418013856,16,0.3776050316314808,0.85,0.9333333333333332,13,0.0066821200196753,44,0.2479744479996216,0.6671453241953315,0.5687432560309913,0.4946210094086481,24.333333333333332
WFDC2,2.0408305218660825,0.0207521818637028,0.7291309249503034,1.6631589641903657,0.5678403486638376,0.3615242494226328,1,0.266806331181329,0.8083333333333333,0.8472222222222221,87,3.5487485965696973e-19,449,1.0,0.35446755068003344,3.02048874564593e-17,0.45148918356001116,179.0
CLDN1,0.128921986643072,0.0297006818958177,0.0521551317535306,1.618543879941515,0.0590664066980158,0.0256812933025404,160,0.3582914696240274,0.8083333333333332,0.9666666666666666,21,0.0079999999999999,39,0.03184395923381215,0.6126417827042733,0.6809135476242113,0.44179976318743225,73.33333333333333
SAMD12,0.3991979420684075,0.0016743700338718,0.0599864985166735,2.3971327150612525,0.1073326451810222,0.0765357967667436,27,0.3794792136789277,0.8833333333333332,0.9333333333333332,12,0.0049999999999999,56,0.16870683426060812,0.6724343309018829,0.42557096726512894,0.42223737747587325,31.666666666666668
VCAM1,0.3992864589753166,0.0214392844514902,0.1423372656553319,1.6809869792781444,0.1400581106395993,0.0700230946882217,26,0.3729078121367097,0.8749999999999998,0.9222222222222222,16,0.0049999999999999,55,0.16875165762770714,0.6538896079516336,0.42557096726512894,0.41607074428148993,32.333333333333336
LRRK2,0.8802791359083698,0.0027316851941731,0.1490339767159879,2.3040401761783382,0.17566999273617,0.1030484988452655,5,0.333092312704589,0.8499999999999999,0.9111111111111112,30,0.003232277788583,75,0.4123176845363726,0.5415288883470197,0.27511271699137735,0.4096530966249232,36.666666666666664
TBL1XR1,0.937512014911631,0.0011592476120147,0.1363970067696523,2.3412188763036816,0.272450969147838,0.2255889145496535,4,0.3761429748532844,0.9416666666666668,0.9416666666666668,14,0.001,195,0.44129938346005276,0.6630193492849572,0.08511419345302748,0.3964776420660125,71.0
RASGRP1,0.2503734036144454,0.0011040354811954,0.0385204177518141,2.1980794604187106,0.0596398669572198,0.036581986143187,58,0.3894467901233685,0.9166666666666666,0.925,9,0.003893691588785,71,0.09334476894003217,0.7005631771548537,0.33140841913427244,0.3751054550763861,46.0
CXADR,0.290041492372337,0.0215203443536671,0.1060292023443997,1.6408155226000518,0.1836793210230531,0.1340877598152424,47,0.3691637412167017,0.9083333333333332,0.9277777777777778,18,0.0028734087694483,91,0.11343197449880774,0.6433237100268817,0.24456786987244825,0.3337745181327125,52.0
ARRDC3,0.4701311036589663,0.0106583380796775,0.1375117032006143,1.7334209258758353,0.2523225140497763,0.2012471131639722,21,0.3299366455826585,0.8583333333333332,0.8833333333333332,31,0.0028036545644517,92,0.20462610948709448,0.5326234863375028,0.2386307969742055,0.3252934642662676,48.0
TNFRSF11B,0.8269723313919218,0.005705841309885,0.1719002271316976,2.1441420389914208,0.1663417058531177,0.0930254041570438,6,0.2891868159318283,0.8166666666666667,0.9,61,0.002016522402334,103,0.3853240790077893,0.4176260544670661,0.1716346778546198,0.32486160377649176,56.666666666666664
SESN3,0.5309839759809721,0.0015706268160175,0.0857002792205267,2.209695732166867,0.1304813243108919,0.1014780600461893,18,0.3707815382226302,0.9416666666666668,0.95,17,0.0008941454760496,245,0.23544090781616386,0.6478891892586622,0.076104471023635,0.31981152269948704,93.33333333333333
KANSL1L,0.4003555477899718,0.0069336969009158,0.0939245600134934,1.97427192354833,0.1719425010513438,0.1362586605080831,25,0.3237992525798058,0.85,0.9083333333333332,36,0.0028927710843373,86,0.16929302494468668,0.5153035505302798,0.24621587768760902,0.31027081772085846,49.0
HOXA3,0.3068973314074203,0.0039928577413511,0.0582187197742808,2.197614943356628,0.0737278739916657,0.0392609699769053,43,0.3243540557441808,0.85,0.9444444444444444,35,0.0029999999999999,83,0.12196746774200042,0.5168692242924379,0.2553425803590739,0.2980597574645041,53.666666666666664
GPX8,0.1260029950322222,0.0165645654450486,0.0395250397758986,1.7901463591137217,0.0653553542072867,0.031824480369515,166,0.3492853497914115,0.8833333333333332,0.925,25,0.0029999999999999,82,0.03036583446532765,0.5872262003388354,0.2553425803590739,0.29097820505441235,91.0
ITGB6,0.528968306553548,0.0102130048074036,0.1423894080725626,1.8660109982749724,0.1604541805252896,0.0908083140877598,19,0.3063461066653719,0.8416666666666666,0.9361111111111112,46,0.0020184586628628,102,0.23442020912875475,0.46605016774518104,0.17179948110784354,0.29075661932725977,55.666666666666664
ENPP5,0.2139403449886707,0.0037336479284036,0.0418056667240556,2.107816066503541,0.0901479527468746,0.0677598152424942,75,0.3545942975689918,0.9083333333333332,0.902777777777778,22,0.0018744855967078,145,0.07489572436373497,0.602208235002226,0.15954532970310137,0.27888309635635405,80.66666666666667
TMEM159,0.2894772806554895,0.005705841309885,0.0610568138865478,2.1130966886391542,0.1088618725388997,0.069838337182448,48,0.3093502993071659,0.8333333333333333,0.9444444444444444,44,0.0028905380333951,87,0.11314626784920942,0.47452810352087915,0.24602581335772414,0.27790006157593755,59.666666666666664
SLC35F5,0.3900531037305409,0.0195469981594299,0.1351466021658784,1.6888726109259282,0.2454601062813013,0.1891916859122402,31,0.3443054712256411,0.9083333333333332,0.9194444444444444,28,0.001,172,0.1640760528631063,0.5731728103983804,0.08511419345302748,0.2741210189048381,77.0
