gene,knn_permutation_importance_mean,knn_permutation_importance_std
ABCC3,0.0,0.0
AC005697.2,0.0,0.0
AC025048.4,0.0,0.0
AC078795.1,0.0,0.0
AC079601.1,0.0,0.0
AC079630.1,0.0,0.0
AC084782.1,0.0,0.0
AC090198.1,0.0,0.0
ACO2,0.0,0.0
ADAM10,0.0,0.0
ADAM12,0.0,0.0
ADAMTS8,0.0,0.0
ADCY1,0.0,0.0
ADIPOR2,0.0,0.0
AGPS,0.0,0.0
AGRP,0.0,0.0
AL451064.1,0.0,0.0
ALDH1L1-AS2,0.0,0.0
ANKRD45,0.0,0.0
ANKRD9,0.0,0.0
ANKS1A,0.0,0.0
ANO9,0.0,0.0
AP1G2,0.0,0.0
APOLD1,0.0,0.0
ARG2,0.0,0.0
ARMC3,0.0,0.0
ARNT,0.0,0.0
ARRDC2,0.0,0.0
ARRDC3,0.0,0.0
ASCL2,0.0,0.0
ATF3,0.0,0.0
ATF4,0.0,0.0
ATP1B2,0.0,0.0
ATP4B,0.0,0.0
AVPI1,0.0,0.0
B3GALT5,0.0,0.0
BAIAP2,0.0,0.0
BCL2L15,0.0,0.0
BEX1,0.0,0.0
BEX5,0.0,0.0
BMP2K,0.0,0.0
BMP4,0.0,0.0
BRSK2,0.0,0.0
BTG2,0.0,0.0
C11orf96,0.0,0.0
C14orf132,0.0,0.0
C17orf107,0.0,0.0
C1orf115,0.0,0.0
C7orf57,0.0,0.0
C9orf139,0.0,0.0
C9orf24,0.0,0.0
CASP2,0.0,0.0
CASP9,0.0,0.0
CCDC151,0.0,0.0
CCDC40,0.0,0.0
CCDC51,0.0,0.0
CCNB1IP1,0.0,0.0
CDADC1,0.0,0.0
CDC42EP4,0.0,0.0
CDC42SE2,0.0,0.0
CDCA2,0.0,0.0
CDH6,0.0,0.0
CDKN1A,0.0,0.0
CDT1,0.0,0.0
CEBPB,0.0,0.0
CEBPD,0.0,0.0
CEPT1,0.0,0.0
CFI,0.0,0.0
CHL1,0.0,0.0
CHRM3,0.0,0.0
CHSY1,0.0,0.0
CISH,0.0,0.0
CLDN1,0.0,0.0
CLEC1A,0.0,0.0
CLN8,0.0,0.0
CMTM8,0.0,0.0
CNBP,0.0,0.0
COL18A1-AS1,0.0,0.0
COL27A1,0.0,0.0
COQ10A,0.0,0.0
COX5B,0.0,0.0
COX6C,0.0,0.0
COX7A1,0.0,0.0
COX7B,0.0,0.0
CRABP1,0.0,0.0
CREM,0.0,0.0
CRHBP,0.0,0.0
CRK,0.0,0.0
CRY2,0.0,0.0
CSDC2,0.0,0.0
CSNK1G1,0.0,0.0
CSRNP1,0.0,0.0
CSRP1,0.0,0.0
CTH,0.0,0.0
CTIF,0.0,0.0
CTNNAL1,0.0,0.0
CTXN1,0.0,0.0
CX3CR1,0.0,0.0
CXADR,0.0,0.0
CYCS,0.0,0.0
DCDC1,0.0,0.0
DCX,0.0,0.0
DDIAS,0.0,0.0
DDIT4,0.0,0.0
DESI1,0.0,0.0
DHRS3,0.0,0.0
DIRAS1,0.0,0.0
DLGAP1-AS1,0.0,0.0
DNAJC19,0.0,0.0
DNAJC22,0.0,0.0
DNMT3B,0.0,0.0
DOC2A,0.0,0.0
DOCK11,0.0,0.0
DSC2,0.0,0.0
DSEL,0.0,0.0
DTX4,0.0,0.0
DUSP1,0.0,0.0
DUSP26,0.0,0.0
DUSP3,0.0,0.0
DUSP6,0.0,0.0
DUSP8,0.0,0.0
DYRK2,0.0,0.0
E2F8,0.0,0.0
ECSIT,0.0,0.0
ECT2,0.0,0.0
EFCAB12,0.0,0.0
EFHC1,0.0,0.0
EGFLAM,0.0,0.0
EHD3,0.0,0.0
EIF1,0.0,0.0
EIF1B,0.0,0.0
EIF4H,0.0,0.0
ELL2,0.0,0.0
EMD,0.0,0.0
ENPP5,0.0,0.0
EPAS1,0.0,0.0
EPG5,0.0,0.0
EPHA7,0.0,0.0
ERF,0.0,0.0
ERRFI1,0.0,0.0
ESM1,0.0,0.0
ETV1,0.0,0.0
ETV4,0.0,0.0
EXOC3L1,0.0,0.0
F2RL1,0.0,0.0
F2RL3,0.0,0.0
FAM117B,0.0,0.0
FAM131A,0.0,0.0
FAM181B,0.0,0.0
FAM227A,0.0,0.0
FAM71E1,0.0,0.0
FAS,0.0,0.0
FCN3,0.0,0.0
FERMT2,0.0,0.0
FILIP1,0.0,0.0
FKBP5,0.0,0.0
FLOT2,0.0,0.0
FLRT3,0.0,0.0
FLT1,0.0,0.0
FLVCR2,0.0,0.0
FOXO1,0.0,0.0
FOXO3,0.0,0.0
FXYD6,0.0,0.0
FZD1,0.0,0.0
GABARAPL1,0.0,0.0
GAD1,0.0,0.0
GADD45A,0.0,0.0
GADD45B,0.0,0.0
GADD45G,0.0,0.0
GALNT1,0.0,0.0
GALNT3,0.0,0.0
GALNT7,0.0,0.0
GAS6,0.0,0.0
GATA6,0.0,0.0
GEM,0.0,0.0
GLUL,0.0,0.0
GNA11,0.0,0.0
GNG7,0.0,0.0
GOT1,0.0,0.0
GPC4,0.0,0.0
GPR180,0.0,0.0
GPX8,0.0,0.0
GRAMD1B,0.0,0.0
GRASP,0.0,0.0
GRHL3,0.0,0.0
GRPEL1,0.0,0.0
GSTCD,0.0,0.0
HAPLN2,0.0,0.0
HERPUD1,0.0,0.0
HES4,0.0,0.0
HEY1,0.0,0.0
HIST1H2BH,0.0,0.0
HNF1B,0.0,0.0
HOXA3,0.0,0.0
HRK,0.0,0.0
HSF1,0.0,0.0
HSPA9,0.0,0.0
