gene,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score
APOLD1,1.0,1.0,1.0,0.5
TIPARP,1.0,1.0,1.0,0.5
PER1,1.0,1.0,1.0,0.5
PDK4,1.0,1.0,1.0,0.5
SLC25A33,1.0,1.0,1.0,0.5
ELL2,1.0,1.0,1.0,0.5
ERRFI1,1.0,1.0,1.0,0.5
KLF9,1.0,1.0,1.0,0.5
F2RL3,0.9714285714285715,0.975,0.975,0.475
LRRC10B,0.9714285714285715,0.975,0.975,0.475
ITPRIP,0.9714285714285715,0.975,0.975,0.475
ZFAND5,0.9714285714285715,0.975,1.0,0.475
NFIL3,0.9714285714285715,0.975,1.0,0.475
ADCY1,0.9714285714285715,0.975,1.0,0.475
TLR1,0.9714285714285715,0.975,1.0,0.475
TSC22D3,0.9714285714285715,0.975,0.975,0.475
CSRNP1,0.9714285714285715,0.975,0.975,0.475
USP2,0.9666666666666666,0.9666666666666666,0.9666666666666666,0.46666666666666656
C9orf139,0.9714285714285715,0.9666666666666666,0.9666666666666666,0.46666666666666656
ZNF331,0.9666666666666666,0.9666666666666666,1.0,0.46666666666666656
GALNT3,0.9714285714285715,0.9666666666666666,0.9666666666666666,0.46666666666666656
GRHL3,0.9714285714285715,0.9666666666666666,0.9666666666666666,0.46666666666666656
CREM,0.9428571428571428,0.95,0.9833333333333332,0.44999999999999996
CEBPD,0.9428571428571428,0.95,1.0,0.44999999999999996
SH3RF3-AS1,0.9428571428571428,0.95,0.95,0.44999999999999996
NR4A3,0.9428571428571428,0.95,0.975,0.44999999999999996
SLC3A2,0.9428571428571428,0.95,0.9333333333333332,0.44999999999999996
TBL1XR1,0.9428571428571428,0.9416666666666667,0.9416666666666667,0.44166666666666665
TOB2,0.9428571428571428,0.9416666666666667,0.975,0.44166666666666665
MIR22HG,0.9428571428571428,0.9416666666666667,0.975,0.44166666666666665
NFKBIA,0.9380952380952381,0.9416666666666667,0.975,0.44166666666666665
MEPCE,0.9380952380952381,0.9416666666666667,0.9666666666666666,0.44166666666666665
LINC00473,0.9380952380952381,0.9416666666666667,0.9416666666666667,0.44166666666666665
SESN3,0.9380952380952381,0.9416666666666667,0.95,0.44166666666666665
CDADC1,0.9380952380952381,0.9416666666666667,0.95,0.44166666666666665
BRSK2,0.9428571428571428,0.9416666666666667,0.975,0.44166666666666665
