gene,mean_expr_CKD,mean_expr_Ref,diff_mean_log_expr,direction,cohen_d,t_stat,p_value,adj_p_value,f_classif_score,f_classif_p_value,statistical_rank_score,random_forest_importance,knn_permutation_importance_mean,knn_permutation_importance_std,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score,rf_importance_scaled,knn_permutation_importance_scaled,knn_single_gene_importance_scaled,statistical_score_scaled,combined_ml_biomarker_score
TLR1,0.039319711028651935,0.011836180309643871,0.027483530719008064,up_in_CKD,2.050007942846147,5.384443002622505,7.289627912363061e-05,0.006447320296879646,34.384357355991476,1.8087883096308513e-06,0.12342276341350883,0.01811044417767106,0.0,0.0,0.9714285714285715,0.975,1.0,0.475,0.6244980750921055,0.0,0.95,0.005727164644086006,0.6309446629656594
PROM1,0.24432366462331837,0.057343507998450796,0.18698015662486756,up_in_CKD,1.9638649028516397,5.122089666268675,0.00014658767668992252,0.009885614532265018,31.555352918065747,3.657872191954431e-06,0.7362422046774291,0.011748921765344398,0.0,0.0,0.9095238095238095,0.9083333333333332,0.9222222222222222,0.4083333333333332,0.4051352332877379,0.0,0.8166666666666664,0.0341637167042315,0.4955535033226081
DYRK2,0.08655637913577865,0.04087807341340592,0.04567830572237273,up_in_CKD,2.1792481584878294,5.7707244945200165,2.643948702193554e-05,0.0034864069023015907,38.85645711495759,6.32515105266659e-07,0.2446424107912561,0.009999999999999998,0.0,0.0,0.9428571428571428,0.9416666666666667,0.9583333333333333,0.44166666666666665,0.3448275862068965,0.0,0.8833333333333333,0.011352098484729706,0.4935347875130379
GALNT3,0.15364201078626563,0.07310349693912606,0.08053851384713957,up_in_CKD,1.706541564703643,4.508032327246676,0.0003586953718214684,0.016235728043851618,23.827779098682207,3.0167725905821097e-05,0.2459569144785074,0.005999999999999995,0.0,0.0,0.9714285714285715,0.9666666666666666,0.9666666666666666,0.46666666666666656,0.20689655172413776,0.0,0.9333333333333331,0.011413095166653961,0.4583745730563192
C9orf139,0.0023138887297189073,0.0,0.0023138887297189073,up_in_CKD,1.801432493014981,4.688638964928898,0.0003486032570236457,0.01613489746409808,26.55130112910139,1.385901418171021e-05,0.007470593813402503,0.003999999999999998,0.0,0.0,0.9714285714285715,0.9666666666666666,0.9666666666666666,0.46666666666666656,0.13793103448275856,0.0,0.9333333333333331,0.00034665664238209346,0.42857507845491316
IKBKE,0.01655419803977991,0.007347110543959161,0.00920708749582075,up_in_CKD,2.0729572056892054,5.668841307636711,1.0802484701904924e-05,0.0019977316603494006,35.15851289960835,1.5000577874943432e-06,0.05152167355655965,0.008786462673122388,0.0,0.0,0.8714285714285716,0.875,0.9333333333333333,0.375,0.3029814714869789,0.0,0.75,0.0023907510983907617,0.42167073881446976
GRHL3,0.00153005421805724,0.0,0.00153005421805724,up_in_CKD,2.4138410178675844,6.282571839578488,2.013408279166457e-05,0.002921065976348714,47.672414668963775,9.642676562314798e-08,0.009360535412826824,0.0028756868131868114,0.0,0.0,0.9714285714285715,0.9666666666666666,0.9666666666666666,0.46666666666666656,0.09916161424782109,0.0,0.9333333333333331,0.0004343552678888501,0.4130848500860395
MAP3K1,0.23565418905579014,0.1014300524638433,0.13422413659194682,up_in_CKD,2.7904194364277957,7.457572963970682,7.113292144493698e-07,0.0004486013154603526,63.707241527951034,5.185904646894896e-09,1.254017641871597,0.004105263157894735,0.0,0.0,0.9095238095238095,0.9083333333333332,0.9666666666666666,0.4083333333333332,0.14156079854809434,0.0,0.8166666666666664,0.058189958666903734,0.3949289778192851
RASGRP1,0.06881902888903942,0.03029861113722533,0.038520417751814084,up_in_CKD,2.198079460418709,6.09842896180831,2.3525470037835117e-06,0.0008637559144951415,39.53089075348311,5.43129980254552e-07,0.25939864806950425,0.0038936915887850462,0.0,0.0,0.9142857142857143,0.9166666666666666,0.925,0.41666666666666663,0.13426522719948436,0.0,0.8333333333333333,0.012036829551207164,0.3894467901233685
TLR7,0.007975983873467506,0.00015225414973155555,0.00782372972373595,up_in_CKD,2.147598291411499,5.59676244604196,6.315730885644533e-05,0.005929428899435208,37.736005264965726,8.174809442670313e-07,0.03741834689037803,0.005875512995896029,0.0,0.0,0.8857142857142858,0.8833333333333332,0.9666666666666666,0.3833333333333332,0.2026038964102079,0.0,0.7666666666666664,0.0017363169274758194,0.38805548861624495
