gene,original_gene_index
ABCC3,52
AC005697.2,308
AC025048.4,1194
AC078795.1,1490
AC079601.1,1530
AC079630.1,1533
AC084782.1,1581
AC090198.1,1643
ACO2,2579
ADAM10,2657
ADAM12,2659
ADAMTS8,2689
ADCY1,2708
ADIPOR2,2759
AGPS,2864
AGRP,2868
AL451064.1,3750
ALDH1L1-AS2,3945
ANKRD45,4117
ANKRD9,4129
ANKS1A,4130
ANO9,4147
AP1G2,4398
APOLD1,4473
ARG2,4521
ARMC3,4631
ARNT,4649
ARRDC2,4666
ARRDC3,4667
ASCL2,4716
ATF3,4769
ATF4,4770
ATP1B2,4821
ATP4B,4836
AVPI1,4923
B3GALT5,4943
BAIAP2,4993
BCL2L15,5062
BEX1,5101
BEX5,5105
BMP2K,5150
BMP4,5152
BRSK2,5229
BTG2,5258
C11orf96,5338
C14orf132,5361
C17orf107,5390
C1orf115,5436
C7orf57,5609
C9orf139,5630
C9orf24,5637
CASP2,5822
CASP9,5830
CCDC151,5932
CCDC40,5979
CCDC51,5984
CCNB1IP1,6056
CDADC1,6201
CDC42EP4,6227
CDC42SE2,6230
CDCA2,6236
CDH6,6263
CDKN1A,6307
CDT1,6330
CEBPB,6343
CEBPD,6345
CEPT1,6428
CFI,6484
CHL1,6541
CHRM3,6567
CHSY1,6593
CISH,6621
CLDN1,6655
CLEC1A,6688
CLN8,6731
CMTM8,6774
CNBP,6779
COL18A1-AS1,6870
COL27A1,6880
COQ10A,6944
COX5B,6976
COX6C,6981
COX7A1,6982
COX7B,6985
CRABP1,7045
CREM,7073
CRHBP,7075
CRK,7084
CRY2,7105
CSDC2,7121
CSNK1G1,7142
CSRNP1,7151
CSRP1,7154
CTH,7192
CTIF,7194
CTNNAL1,7199
CTXN1,7233
CX3CR1,7267
CXADR,7268
CYCS,7317
DCDC1,7456
DCX,7490
DDIAS,7501
DDIT4,7503
DESI1,7599
DHRS3,7639
DIRAS1,7679
DLGAP1-AS1,7712
DNAJC19,7796
DNAJC22,7799
DNMT3B,7839
DOC2A,7846
DOCK11,7850
DSC2,7930
DSEL,7939
DTX4,7960
DUSP1,7971
DUSP26,7983
DUSP3,7985
DUSP6,7988
DUSP8,7990
DYRK2,8015
E2F8,8030
ECSIT,8061
ECT2,8062
EFCAB12,8103
EFHC1,8114
EGFLAM,8133
EHD3,8147
EIF1,8159
EIF1B,8163
EIF4H,8209
ELL2,8237
EMD,8278
ENPP5,8328
EPAS1,8349
EPG5,8364
EPHA7,8375
ERF,8423
ERRFI1,8455
ESM1,8470
ETV1,8498
ETV4,8501
EXOC3L1,8528
F2RL1,8570
F2RL3,8572
FAM117B,8621
FAM131A,8637
FAM181B,8692
FAM227A,8752
FAM71E1,8797
FAS,8863
FCN3,8977
FERMT2,9001
FILIP1,9071
FKBP5,9089
FLOT2,9107
FLRT3,9110
FLT1,9111
FLVCR2,9116
FOXO1,9195
FOXO3,9196
FXYD6,9305
FZD1,9313
GABARAPL1,9337
GAD1,9360
GADD45A,9361
GADD45B,9362
GADD45G,9363
GALNT1,9378
GALNT3,9389
GALNT7,9392
GAS6,9422
GATA6,9435
GEM,9503
GLUL,9641
GNA11,9663
GNG7,9692
GOT1,9746
GPC4,9774
GPR180,9823
GPX8,9871
GRAMD1B,9873
GRASP,9881
GRHL3,9892
GRPEL1,9936
GSTCD,9967
HAPLN2,10079
HERPUD1,10199
HES4,10203
HEY1,10214
HIST1H2BH,10279
HNF1B,10381
HOXA3,10431
HRK,10482
HSF1,10516
HSPA9,10538
HTRA3,10566
ID2,10603
IDI1,10615
IER3,10624
IKBKE,10750
IKZF2,10753
IL1RL1,10790
ING2,10853
IP6K3,10913
IQGAP3,10941
IRF5,10959
IRS2,10966
ISCA1,10973
ITGA8,11006
ITGB6,11024
ITGB8,11026
ITPRIP,11050
JMJD6,11087
JOSD1,11092
JPH2,11095
KANSL1L,11116
KCNA5,11149
KCNIP4,11183
KCNK9,11213
KIF5A,11372
KLF15,11411
KLF6,11417
KLF9,11420
LACTB2-AS1,11583
LINC00473,11826
LINC00635,11870
LINC00900,11926
LINC01122,11991
LINC01410,12068
LINC01933,12236
LINC02471,12394
LONRF1,12491
LRRC10B,12560
LRRK2,12628
MACC1,12742
MAP1LC3A,12828
MAP2K3,12836
MAP3K1,12841
MAP3K6,12856
MAPK15,12879
MARCH1,12903
MARCKS,12913
MBNL1-AS1,12960
MBTD1,12967
MCL1,12986
MCM7,12995
MDM4,13025
MED9,13066
MEF2D,13072
MEGF11,13078
MEPCE,13099
MESP1,13102
MET,13106
MGP,13185
MIDN,13212
MILR1,13225
MIR22HG,13250
MLIP,13298
MMP7,13341
MPC1,13397
MRPL15,13463
MRPL47,13494
MRPL54,13501
MRPL55,13502
MRPS36,13529
MSMP,13566
MST1R,13575
MT1M,13585
MT2A,13587
MTFR2,13609
MVD,13682
MYOM1,13773
NAP1L5,13849
NDEL1,13946
NDUFA8,13973
NDUFAF4,13978
NDUFB6,13991
NDUFB7,13992
NDUFV3,14008
NEDD9,14027
NEXN,14071
NFIL3,14091
NFKBIA,14095
NLN,14175
NOD2,14223
NR0B2,14330
