gene,mean_expr_case,mean_expr_control,diff_mean_log_expr,cohen_d,t_stat,p_value,adj_p_value,pct_expr_case,pct_expr_control,pct_expr_diff,n_case_groups,n_control_groups,passes_expression_filter,direction,rank_score,diff_mean_log_expr_CKD_vs_AKI,adj_p_value_CKD_vs_AKI,pct_expr_CKD,pct_expr_AKI,ckd_specificity_score,combined_biomarker_score
WFDC2,1.487985768992105,0.7588548440418016,0.7291309249503034,1.6631589641903657,4.429956049296078,0.00035607337666367046,0.020752181863702836,0.5678403486638376,0.3615242494226328,0.2063160992412048,15,18,True,up_in_case,2.0408305218660825,-0.268015222693168,0.9725079514753338,0.5678403486638376,0.5676831483914246,0.0,2.0408305218660825
ITGB8,0.4141085393672916,0.171617388450616,0.24249115091667559,2.3821813502610247,6.280766872906988,1.1934546964834088e-05,0.0027316851941731357,0.2645372175708223,0.1499769053117783,0.11456031225904403,15,18,True,up_in_case,1.4808660810546963,0.03331829736715464,1.0,0.2645372175708223,0.25038432512508035,-0.0,1.4808660810546963
MAP3K1,0.23565418905579022,0.10143005246384335,0.13422413659194687,2.790419436427797,7.457572963970688,7.113292144493628e-07,0.0005733932015604863,0.18165309477386551,0.1115473441108545,0.07010575066301102,15,18,True,up_in_case,1.2140945006723722,0.020086029613721246,0.9920295156674457,0.18165309477386551,0.17279257623612937,0.0034754061716213668,1.2183139721929406
TBL1XR1,0.36524492809980375,0.22884792133015142,0.13639700676965233,2.3412188763036816,6.3740209817451605,2.5323370165371683e-06,0.0011592476120147925,0.27245096914783806,0.22558891454965357,0.04686205459818449,15,18,True,up_in_case,0.937512014911631,0.028955034927650725,0.9725079514753338,0.27245096914783806,0.25136260726164855,0.012106839084267055,0.9488623220157332
LRRK2,0.25476655039627977,0.10573257368029182,0.14903397671598795,2.3040401761783382,6.120611009061765,1.1877155294085493e-05,0.0027316851941731357,0.17566999273617004,0.10304849884526558,0.07262149389090446,15,18,True,up_in_case,0.8802791359083698,0.06264819329603485,0.9725079514753338,0.17566999273617004,0.14366771948458507,0.012106839084267055,0.8909365337560502
TNFRSF11B,0.2701250342831234,0.09822480715142576,0.17190022713169764,2.1441420389914208,5.645172909398382,4.1110129948617796e-05,0.005705841309885092,0.16634170585311772,0.09302540415704388,0.07331630169607384,15,18,True,up_in_case,0.8269723313919218,0.03568376433044454,1.0,0.16634170585311772,0.15604997624171954,-0.0,0.8269723313919218
TSPAN1,0.6393737659368703,0.3115907907431899,0.32778297519368044,1.6023160086664803,4.205071914861593,0.0007584132263369839,0.031428471389245136,0.3588331995259395,0.22859122401847576,0.13024197550746375,15,18,True,up_in_case,0.7892237193375666,-0.11318789940602325,0.9725079514753338,0.3588331995259395,0.37124409536853287,0.0,0.7892237193375666
PIGR,0.7973596806372779,0.4055808196354714,0.39177886100180653,1.4663357496879252,3.8423266692462468,0.001623867761949963,0.048419106506452515,0.4306877700042054,0.30521939953810623,0.12546837046609916,15,18,True,up_in_case,0.7554307104701635,0.004763175151251353,1.0,0.4306877700042054,0.3828996282527881,-0.0,0.7554307104701635
PROM1,0.24432366462331837,0.05734350799845086,0.1869801566248675,1.963864902851639,5.122089666268673,0.00014658767668992306,0.012635594169472079,0.16376113468669953,0.05926096997690531,0.10450016470979423,15,18,True,up_in_case,0.6971012219548752,-0.034507181223078415,1.0,0.16376113468669953,0.20110685636023143,0.0,0.6971012219548752
MMP7,0.4280564001405527,0.14754696377971607,0.2805094363608366,1.5819513000485945,4.211205012095624,0.0005779389479176637,0.02717791019559018,0.21630920977176282,0.0895150115473441,0.12679419822441873,15,18,True,up_in_case,0.6948201741600796,-0.26678723858705744,0.9725079514753338,0.21630920977176282,0.2984040025714845,0.0,0.6948201741600796
